Galeota 1996 Specimen BB4B	
-19.79	-162.7361
-20.28	-164.4941
-20.81	-165.8126
-21.34	-165.4358
-21.87	-165.4358
-22.3	-166.4403
-22.84	-167.7588
-23.43	-166.6288
-23.62	-165.8126
-23.55	-164.2429
-23.4	-162.6105
-23.23	-161.041
-23.06	-159.7225
-22.9	-158.1529
-22.73	-156.6461
-22.51	-155.0137
-22.35	-153.5069
-22.18	-151.6861
-22.01	-150.556
-21.84	-148.8609
-21.67	-147.5424
-21.51	-146.2867
-21.34	-144.7799
-21.16	-143.6498
-20.99	-142.3313
-20.83	-140.5106
-20.66	-139.5689
-20.42	-137.6225
-20.25	-136.2413
-20.08	-134.9229
-19.85	-133.1649
-19.63	-131.4069
-19.4	-129.4607
-19.22	-128.0793
-19.05	-126.8865
-18.88	-125.4424
-18.65	-123.7473
-18.49	-122.1776
-18.26	-120.7337
-18.03	-118.9757
-17.85	-117.4689
-17.68	-116.0248
-17.49	-114.518
-17.28	-113.1995
-17.09	-111.63
-16.9	-110.2487
-16.7	-108.4908
-16.51	-107.2351
-16.31	-105.6655
-16.12	-103.9703
-15.93	-102.903
-15.72	-100.9567
-15.53	-99.63821
-15.35	-98.38255
-15.15	-96.37344
-14.96	-95.36889
-14.76	-93.61095
-14.57	-91.91578
-14.31	-89.96947
-14.11	-88.77657
-13.92	-87.26976
-13.74	-85.70016
-13.53	-84.13056
-13.31	-82.30982
-13.1	-80.92859
-12.88	-79.23341
-12.68	-77.53824
-12.45	-75.84308
-12.32	-74.5246
-12.1	-73.26892
-11.89	-71.25984
-11.67	-69.8158
-11.45	-68.24621
-11.31	-67.05331
-11.09	-65.54651
-10.87	-63.78854
-10.64	-62.28172
-10.41	-61.02605
-10.18	-59.45645
-9.94	-57.94963
-9.71	-56.31725
-9.49	-54.99878
-9.26	-53.49197
-9.02	-51.60845
-8.71	-50.28999
-8.47	-48.78316
-8.25	-47.27635
-8.11	-46.02068
-7.89	-44.63942
-7.68	-42.56755
-7.49	-40.87239
-7.28	-39.30278
-7.08	-37.54483
-6.89	-35.72409
-6.69	-34.09172
-6.56	-32.83603
-6.37	-31.07808
-6.24	-29.69683
-6.04	-27.93888
-5.91	-26.55763
-5.72	-24.92525
-5.59	-23.48121
-5.4	-21.84883
-5.27	-20.4048
-5.08	-18.70963
-4.95	-17.32839
-4.83	-16.07271
-4.64	-14.18919
-4.46	-12.30567
-4.28	-10.54771
-4.16	-9.229248
-3.98	-7.659648
-3.8	-5.65056
-3.63	-3.892608
-3.47	-2.385792
-3.36	-1.067328
-3.16	0.188352
-3	1.88352
-2.91	3.013632
-2.75	4.771584
-2.59	6.717888
-2.44	8.350272
-2.26	10.17101
-2.13	11.74061
-1.91	12.93351
-1.79	14.37753
-1.66	15.88435
-1.52	17.64231
-1.38	19.33747
-1.23	20.84429
-1.08	22.53945
-0.97	23.85792
-0.8	25.30195
-0.64	26.87155
-0.49	28.50393
-0.33	29.63405
-0.22	30.88973
-0.04	32.45932
0.07	33.90336
0.2	35.03347
0.32	36.47751
0.51	38.29824
0.64	39.93063
0.78	41.31187
0.92	42.56755
1.06	44.07437
1.2	45.5184
1.34	47.088
1.5	48.53204
1.65	50.10163
1.81	51.54567
1.96	53.30361
2.13	54.936
2.29	56.5056
2.45	58.26355
2.61	59.51923
2.77	61.27719
2.93	63.09792
3.11	64.66752
3.26	66.11156
3.42	67.4928
3.58	69.12518
3.74	70.69479
3.91	72.01324
4.07	73.70841
4.24	74.96409
4.4	76.65926
4.56	77.97774
4.72	79.23341
4.95	81.11693
5.12	82.74931
5.29	84.13056
5.46	85.63738
5.64	87.01862
5.81	88.27431
6.07	90.47175
6.24	91.72742
6.42	93.17146
6.68	95.18054
6.85	96.49901
7.02	97.88025
7.2	99.38705
7.47	100.9567
7.65	102.4635
7.83	104.0331
8.09	105.5399
8.34	107.4234
8.61	109.1185
8.88	110.8765
9.15	112.6973
9.33	114.2041
9.59	115.9621
9.87	117.4689
10.15	119.4152
10.43	121.3615
10.71	122.9311
10.9	124.1239
11.09	125.8192
11.37	127.326
11.66	129.0211
11.94	131.0302
12.23	132.4743
12.51	134.4833
12.7	135.5506
12.98	137.2459
13.27	138.941
13.55	140.4478
13.84	142.3941
14.12	144.1521
14.42	145.6589
14.6	146.9774
14.89	148.233
15.16	149.9281
15.45	151.8117
15.73	153.1302
16.03	154.5114
16.31	156.1438
16.87	157.0856
17.16	158.2785
17.53	159.9736
17.91	161.5433
18.39	162.9872
18.87	164.3058
19.39	162.4222
19.69	158.1529
20.17	150.6189
20.76	152.1257
21.19	153.8208
21.77	155.1393
22.32	156.5833
22.86	158.0901
23.4	159.3457
23.94	160.2248
24.48	161.2921
25.02	161.9827
25.55	162.5478
26.12	163.1757
26.66	163.6151
27.2	164.0546
27.73	164.6825
28.28	164.9964
28.83	165.3731
29.39	165.2475
29.93	164.7452
30.58	164.3685
31.13	163.7407
31.68	163.6779
32.19	163.1757
32.7	162.1711
33.28	161.1037
33.87	159.9736
34.24	158.7807
34.79	157.5879
35.25	156.0811
35.79	154.637
36.08	153.3185
36.11	151.4978
36.13	149.991
36.41	146.9145
36.25	145.0311
36.09	143.3358
35.93	141.7035
35.76	140.2595
35.59	138.5643
35.41	137.0574
35.27	135.5506
35.09	134.1694
34.91	132.6626
34.76	131.093
34.58	129.9001
34.41	128.0793
34.25	126.9492
34.08	125.3797
33.91	123.9356
33.74	122.68
33.58	121.1731
33.41	119.8546
33.24	118.4107
33.06	117.0922
32.9	115.5225
32.74	114.2041
32.58	112.76
32.4	111.3161
32.23	110.1859
32.05	108.6791
31.9	107.3607
31.74	105.9166
31.56	104.5981
31.4	103.3424
31.22	101.8356
31.07	100.58
30.9	99.19874
30.64	97.12688
30.48	95.87117
30.24	94.05043
30.05	92.6064
29.9	91.35072
