Galeota 1996 Specimen BB4B	
-25.14	-13.93805
-24.82	-12.30567
-24.51	-11.11277
-24.19	-9.4176
-23.88	-8.099136
-23.46	-6.403968
-23.15	-5.085504
-22.84	-3.45312
-22.42	-1.88352
-21.88	-1.5696
-21.5	-0.251136
-21.22	1.25568
-20.65	2.82528
-20.35	4.457664
-20.05	5.776128
-19.74	7.345728
-19.44	8.78976
-19.06	10.48493
-18.67	11.99175
-18.14	12.24288
-17.91	13.49856
-17.59	14.81703
-17.32	16.57497
-17.04	18.01901
-16.75	19.40025
-16.43	20.84429
-16.11	21.9744
-15.58	22.91616
-15.26	24.54855
-14.93	25.61588
-14.61	26.99712
-14.29	28.19001
-13.96	29.57127
-13.52	31.14087
-13.18	32.58489
-12.62	33.33831
-12.29	34.65677
-11.93	36.28915
-11.58	37.79596
-11.21	39.05165
-10.83	40.43289
-10.45	41.81414
-9.87	42.69312
-9.51	44.19993
-9.13	45.76953
-8.74	47.088
-8.35	48.46925
-7.96	49.78771
-7.38	50.66669
-7	52.1735
-6.61	53.93145
-6.23	55.24992
-5.84	56.69395
-5.45	58.01241
-4.92	59.95872
-4.35	60.71212
-3.97	62.34451
-3.58	64.03967
-3.19	65.23258
-2.94	66.42547
-2.55	67.68115
-2.16	68.93684
-1.59	70.00416
-1.21	71.38541
-0.83	72.95502
-0.44	74.5246
-0.06	75.78029
0.33	77.09875
0.89	77.91493
1.26	79.48454
1.64	80.99136
2.02	82.43539
2.39	83.75385
2.87	85.51181
3.4	86.20244
3.65	87.58368
4.02	89.09049
4.41	90.5973
4.91	92.16691
5.3	93.48537
5.68	94.86662
6.24	95.43168
6.62	96.9385
6.99	98.57086
7.37	99.88936
7.88	101.5217
8.39	103.0913
8.93	103.7819
9.32	105.2887
9.69	106.4816
10.2	108.0513
10.72	109.7464
11.28	109.6837
11.65	111.4416
12.02	112.6973
12.53	114.0785
13.04	115.5225
13.43	116.7783
13.94	117.9084
14.5	117.9084
15	119.6035
15.51	121.1103
16.01	122.2405
16.51	123.6845
17.04	124.4379
17.6	124.1868
18.1	125.8819
18.6	127.1376
19.11	128.2677
19.63	129.3351
20.14	130.214
20.69	130.214
21.2	131.2814
21.71	132.1603
22.23	133.1649
22.74	133.8555
23.29	134.0438
23.83	135.0483
24.38	135.8018
24.88	136.2413
25.47	135.6762
25.99	136.8063
26.52	137.6225
27.06	138.5015
27.58	138.8154
28.12	139.2549
28.71	138.7527
29.23	139.6316
29.75	140.0711
30.29	140.4478
30.82	140.6361
31.42	139.6316
31.95	140.4478
32.49	140.699
33.04	140.9501
33.57	141.1384
34.12	140.699
34.72	138.2504
35.23	139.4433
35.25	138.1248
35.75	138.8154
35.79	135.739
35.49	132.7253
35.33	130.9675
35.17	129.9001
35.02	128.3933
34.85	126.8865
34.7	125.4424
34.53	124.3123
34.37	122.8683
34.04	120.043
33.72	117.3433
33.41	114.8947
33.08	112.3206
32.76	109.6837
32.6	108.2396
32.43	106.7955
32.11	104.5354
31.95	103.468
31.79	101.8356
31.46	99.44989
31.14	96.81293
30.98	95.7456
30.67	93.42259
30.5	92.35526
30.34	90.84845
30.02	88.3371
29.7	85.9513
29.55	84.88396
29.23	82.74931
28.91	80.30073
28.59	77.97774
28.42	76.9104
28.1	74.71296
27.78	72.57829
27.46	70.2553
27.31	68.99962
26.99	67.17888
26.67	65.04423
26.35	62.784
26.04	60.77491
25.88	59.26809
25.56	57.51014
25.24	55.62663
24.92	53.30361
24.61	51.48288
24.28	49.22265
23.94	47.21357
23.64	45.26727
23.35	43.19539
23.04	41.50023
22.76	39.49113
22.46	37.85875
22.17	36.03801
21.89	34.34285
21.61	32.64768
21.33	30.76416
21.05	29.06899
20.77	27.24825
20.51	25.61588
20.12	23.41843
19.85	21.66048
19.6	20.34201
19.41	19.14912
19.1	17.14003
18.84	15.94713
18.62	14.81703
18.28	13.24743
17.94	11.42669
17.7	9.919874
17.35	8.538624
17	6.90624
16.67	5.399424
16.27	4.08096
15.97	2.950848
15.65	1.5696
15.21	-0.251136
14.94	-1.506816
14.44	-2.636928
14.05	-4.269312
13.65	-6.215616
13.25	-7.722432
12.84	-9.292032
12.56	-10.54771
12.14	-12.24288
11.87	-13.56135
11.61	-14.81703
11.23	-16.76333
10.82	-18.27015
10.56	-19.58861
10.14	-21.53491
9.64	-22.16275
9.37	-23.60679
9.1	-25.17639
8.82	-26.24371
8.55	-27.56217
8.26	-29.13177
7.98	-30.26188
7.55	-31.7687
6.92	-33.27552
6.65	-34.5312
6.37	-36.03801
6.09	-37.2937
5.81	-38.4866
5.38	-40.30732
4.95	-42.12806
4.45	-42.69312
4.04	-44.45108
3.63	-46.64851
3.21	-48.15533
2.78	-49.97607
2.26	-50.47833
1.84	-52.36186
1.56	-53.86868
1.13	-55.37548
0.7	-57.32179
0.4	-58.45191
-0.11	-58.82861
-0.4	-60.27264
-0.83	-61.84224
-1.11	-63.16071
-1.55	-65.23258
-1.99	-66.80218
-2.44	-68.43456
-2.97	-68.74848
-3.4	-71.13428
-3.99	-73.26892
-4.59	-75.40359
-5.29	-75.96864
-5.59	-77.47546
-6.03	-79.23341
-6.49	-80.99136
-6.78	-82.05869
-7.31	-82.62373
-7.76	-84.63284
-8.21	-86.13965
-8.66	-87.64645
-9.24	-89.34164
-9.84	-90.78567
-10.45	-92.73196
-10.92	-94.5527
-11.38	-95.80839
-11.94	-95.7456
-12.09	-96.81293
-12.56	-98.50813
-13.03	-99.88936
-13.51	-101.3333
-14.1	-101.5845
-14.42	-102.7147
-14.91	-104.347
-15.38	-105.8539
-15.86	-107.2351
-16.36	-108.8675
-16.93	-108.6791
-17.41	-109.9976
-17.9	-112.0694
-18.38	-113.1995
-18.97	-113.0112
-19.3	-114.2669
-19.94	-116.0248
-20.61	-117.8455
-21.2	-117.4061
-21.69	-118.7873
-22.19	-120.043
-22.69	-121.7382
-23.31	-121.1103
-23.94	-122.68
-24.44	-124.1239
-24.96	-125.2541
-25.57	-124.9401
-26.07	-126.2586
-26.72	-127.6399
-27.25	-128.5816
-27.84	-128.2677
-28.35	-129.5234
-28.85	-130.214
-29.47	-130.4023
-29.97	-131.4069
-30.49	-132.3487
-31.01	-132.9765
-31.6	-132.537
-32.11	-133.5415
-32.64	-135.0483
-33.26	-134.2321
-33.76	-135.0483
-34.27	-135.6762
-34.81	-136.3041
-35.36	-137.0574
-35.98	-136.4297
-36.49	-137.183
-37.01	-137.9365
-37.68	-137.2459
-38.18	-137.9365
-38.7	-138.7527
-39.27	-139.1921
-39.54	-138.2504
-40.08	-138.3131
-40.61	-139.1921
-41.17	-139.4433
-41.8	-138.8154
-42.35	-139.4433
-42.88	-139.6316
-43.57	-138.3759
-44.11	-138.8154
-44.7	-139.1293
-45.28	-139.1921
-45.92	-138.5015
-46.49	-138.5015
-47.04	-138.6898
-47.65	-138.6898
-48.15	-137.4969
-48.64	-135.739
-48.73	-134.2321
-48.46	-132.2859
-48.12	-129.7746
-47.79	-127.3887
-47.55	-125.6307
-47.37	-124.3123
-47.2	-122.9938
-46.85	-120.922
-46.68	-119.4779
-46.49	-118.1595
-46.14	-115.9621
-45.78	-113.7647
-45.44	-111.3161
-45.11	-109.2441
-44.92	-108.2396
-44.58	-105.7283
-44.21	-103.5309
-43.86	-101.2079
-43.51	-99.38705
-43.35	-98.13139
-42.98	-95.93394
-42.65	-93.86208
-42.29	-91.53908
-41.93	-89.40442
-41.59	-87.14419
-41.28	-85.19788
-40.99	-83.69107
-40.74	-82.18426
-40.45	-80.55186
-40.2	-78.8567
-39.93	-77.34988
-39.68	-75.84308
-39.41	-74.33626
-39.14	-72.76665
-38.87	-71.07149
-38.61	-69.75303
-38.36	-68.12064
-37.93	-66.17434
-37.65	-64.60473
-37.38	-63.16071
-37.12	-61.59111
-36.84	-60.27264
-36.57	-59.20531
-36.13	-57.19622
-35.83	-56.00333
-35.54	-54.62208
-35.26	-53.49197
-34.99	-51.98516
-34.55	-50.28999
-34.1	-48.59481
-33.8	-47.27635
-33.48	-45.89511
-33.19	-44.51385
-32.91	-42.69312
-32.62	-41.43744
-32.32	-39.74227
-32.02	-38.29824
-31.74	-36.97978
-31.45	-35.28461
-31.14	-33.90336
-30.86	-32.1454
-30.57	-30.76416
-30.29	-29.57127
-29.98	-28.12723
-29.69	-26.55763
-29.4	-25.05081
-29.1	-23.79513
-28.81	-22.35111
-28.53	-21.03264
-28.23	-19.58861
-27.79	-17.57952
-27.5	-16.13549
-27.06	-14.18919
-26.75	-12.93351
-26.32	-10.9872
-26.04	-9.605952
-25.73	-8.413056
-25.45	-6.90624
-25.03	-5.085504
-24.57	-3.1392
-24.17	-1.318464
-23.71	-0.251136
-23.43	1.130112
-22.9	1.067328
-22.6	2.82528
-22.34	4.08096
-22.06	5.524992
-21.62	7.282944
-21.21	9.166464
-20.61	10.54771
-20.38	11.67783
-19.93	12.68237
-19.37	14.56589
-19	16.57497
-18.72	18.01901
-18.47	19.14912
-18.2	20.4048
-17.77	21.91161
-17.25	22.79059
-16.97	23.92071
-16.7	25.30195
-16.27	26.80877
-15.85	28.56672
-15.41	29.88519
-14.89	30.51303
-14.6	32.01984
-14.31	33.33831
-13.85	34.78234
-13.54	36.28915
-13	37.16813
-12.68	38.29824
-12.37	39.80506
-11.88	41.62579
-11.38	43.32096
-10.82	44.19993
-10.49	45.58119
-10.16	46.77408
-9.66	48.53204
-9.09	49.66214
-8.59	51.35732
-8.08	53.49197
-7.5	55.06157
-7.01	56.12889
-6.68	57.51014
-6.34	58.82861
-5.77	60.58656
-5.27	61.15161
-4.93	63.09792
-4.42	64.47916
-3.91	66.11156
-3.36	67.17888
-3.02	68.30899
-2.68	69.62745
-2.17	71.51098
-1.61	72.13881
-1.11	74.08512
-0.6	75.84308
-0.27	77.09875
0.29	77.72659
0.61	79.10784
1.12	80.99136
1.62	82.87488
2.17	82.93765
2.5	84.88396
2.99	86.39078
3.5	88.02318
4.04	89.09049
4.36	90.28339
4.84	91.97856
5.31	93.42259
5.85	94.30157
6.18	95.93394
6.68	97.50352
7.18	99.19874
7.73	99.51263
8.22	101.3962
8.55	102.5263
9.05	104.0959
9.59	104.8493
10.09	106.4816
10.59	107.8629
11.14	108.2396
11.64	109.7464
12.13	111.5044
12.64	112.76
13.17	113.1995
13.5	114.518
14.01	115.5225
14.57	115.5854
15.05	117.0922
15.54	118.4107
16.05	119.7919
16.58	120.1058
16.92	121.2987
17.42	122.3661
18.13	122.1776
18.45	123.7473
18.95	124.8145
19.46	125.6936
20	125.6936
20.51	127.1376
21.01	127.9537
21.51	129.0211
22.05	128.7072
22.56	129.9001
23.06	130.8419
23.61	130.0884
24.12	131.6581
24.63	132.4743
25.19	131.4069
25.68	132.9138
26.19	133.6044
26.71	134.1694
27.23	134.7345
27.76	134.9229
28.29	134.6717
28.82	135.739
29.33	135.9274
29.89	135.1112
30.39	136.1157
30.99	136.3668
31.61	135.4879
32.12	136.1785
32.62	136.618
33.14	136.8063
33.7	135.6762
34.27	136.2413
34.79	135.5506
35.06	134.4206
35.07	133.1021
35.54	134.4833
35.6	132.3487
35.45	130.5907
35.3	129.2722
35.15	127.6399
34.98	126.0075
34.68	123.3077
34.53	122.2405
34.37	120.7337
34.06	117.9711
33.75	115.5854
33.59	114.2041
33.29	111.6927
33.12	110.6255
32.97	109.3697
32.82	107.9885
32.49	105.2887
32.34	104.2215
32.03	101.7729
31.72	99.44989
31.57	98.19414
31.42	97.06405
31.1	94.30157
30.79	92.29248
30.48	89.71834
30.18	87.77203
30.01	86.76749
29.71	84.25613
29.4	82.43539
29.23	81.2425
28.94	78.79392
28.62	76.84762
28.48	75.65472
28.16	73.39449
27.86	71.38541
27.7	70.1925
27.4	68.24621
27.08	66.17434
26.93	65.04423
26.62	62.784
26.31	61.02605
26.16	59.77037
25.86	58.13799
25.56	56.06611
25.25	54.05703
24.95	52.1735
24.64	49.97607
24.33	48.46925
24.19	47.21357
23.89	45.1417
23.59	43.76044
23.45	42.56755
23.14	40.74681
22.84	38.92608
22.56	36.79142
22.26	35.15904
21.97	33.27552
21.68	31.51757
21.41	29.8224
21.12	28.00167
20.85	26.36928
20.59	24.73689
20.34	23.23008
20.07	21.53491
19.82	20.34201
19.61	18.89799
19.38	17.64231
19.18	16.32384
18.82	14.81703
18.59	13.18464
18.27	11.80339
18	10.17101
17.67	8.78976
17.32	7.345728
16.98	5.776128
16.59	4.269312
16.22	3.076416
15.97	1.946304
15.59	0.502272
15.22	-1.506816
14.7	-2.762496
14.3	-4.269312
13.88	-6.027264
13.48	-7.659648
13.06	-9.229248
12.65	-10.79885
12.24	-12.49401
11.98	-14.00083
11.58	-15.696
11.17	-17.45395
10.9	-18.8352
10.38	-19.27469
10.11	-20.59315
9.84	-21.9744
9.56	-23.23008
9.29	-24.73689
8.86	-26.36928
8.42	-28.12723
7.92	-29.25735
7.63	-30.45024
7.35	-31.7687
6.93	-33.71501
6.49	-35.47296
5.99	-36.03801
5.71	-37.60761
5.28	-39.55392
4.85	-41.43744
4.41	-43.32096
3.96	-44.82778
3.44	-45.5184
3.15	-46.77408
2.86	-48.28089
2.55	-49.41101
2.1	-51.10617
1.64	-53.05248
1.1	-53.49197
0.8	-54.99878
0.34	-56.69395
-0.12	-58.64025
-0.65	-59.33088
-0.96	-60.58656
-1.4	-62.65843
-1.87	-64.16525
-2.18	-65.35815
-2.73	-65.9232
-3.04	-67.17888
-3.5	-69.12518
-3.97	-70.88315
-4.29	-71.88768
-4.84	-72.57829
-5.31	-74.58739
-5.78	-76.03143
-6.27	-77.72659
-6.82	-78.16608
-7.3	-79.73568
-7.61	-81.2425
-8.1	-82.74931
-8.58	-84.3817
-9.15	-85.07232
-9.63	-86.7047
-10.11	-88.3371
-10.61	-90.2206
-11.2	-90.2206
-11.52	-91.53908
-12.01	-93.17146
-12.52	-94.74106
-13.1	-95.11776
-13.59	-96.81293
-13.92	-97.88025
-14.41	-99.19874
-14.99	-99.63821
-15.49	-101.2079
-15.99	-102.6518
-16.58	-102.903
-17.08	-104.5354
-17.58	-105.9166
-18.09	-107.4234
-18.69	-107.4234
-19.18	-109.1185
-19.69	-110.8138
-20.29	-110.5626
-20.63	-111.7555
-21.14	-113.0112
-21.66	-114.2041
-22.26	-114.4553
-22.79	-115.5854
-23.31	-117.0293
-23.91	-116.7783
-24.44	-118.2851
-24.95	-119.6035
-25.49	-120.4197
-26.1	-120.4825
-26.62	-121.9265
-27.15	-122.6171
-27.77	-122.3661
-28.3	-123.5589
-28.84	-124.5635
-29.48	-124.5635
-29.99	-125.4424
-30.54	-126.5098
-31.07	-127.7654
-31.71	-127.0748
-32.24	-128.2677
-32.97	-129.1467
-33.59	-128.8328
-34.13	-129.7746
-34.69	-130.7791
-35.32	-129.9629
-35.86	-130.7791
-36.41	-131.8464
-36.98	-132.537
-37.61	-131.8464
-38.18	-132.7882
-38.73	-133.1021
-39.37	-132.5998
-39.94	-133.1649
-40.5	-133.8555
-41.13	-133.416
-41.69	-133.8555
-42.26	-134.2321
-42.93	-133.6044
-43.49	-134.1694
-44.05	-134.6089
-44.68	-133.7927
-45.22	-134.1694
-45.75	-134.4206
-46.36	-133.5415
-46.86	-132.4743
-46.9	-131.093
-47.45	-131.7208
-48.02	-132.5998
-48.26	-131.9091
-47.99	-129.5234
-47.67	-127.1376
-47.39	-124.7518
-47.07	-122.3661
-46.78	-120.2314
-46.47	-118.3478
-46.18	-116.2131
-45.87	-114.2041
-45.57	-112.3206
-45.25	-110.2487
-44.93	-108.6163
-44.79	-107.4234
-44.47	-105.4771
-44.17	-103.5936
-43.88	-101.7729
-43.57	-99.9521
-43.41	-98.75927
-43.12	-96.9385
-42.81	-94.9922
-42.51	-93.17146
-42.19	-91.35072
-41.88	-89.34164
-41.57	-87.58368
-41.3	-85.76295
-40.98	-83.94221
-40.69	-82.12147
-40.36	-80.48909
-40.07	-78.54279
-39.76	-76.72205
-39.46	-74.90131
-39.18	-73.08057
-38.87	-71.32262
-38.55	-69.56467
-38.25	-67.86951
-37.94	-66.17434
-37.59	-64.66752
-37.29	-62.72121
-36.99	-61.15161
-36.68	-59.33088
-36.35	-57.94963
-36.02	-56.5056
-35.66	-54.936
-35.35	-53.55475
-34.99	-52.1735
-34.68	-50.85504
-34.34	-49.34822
-34.01	-47.90419
-33.67	-46.39737
-33.33	-44.95335
-33	-43.63488
-32.68	-41.93972
-32.36	-40.37011
-32.04	-38.61216
-31.73	-37.10534
-31.42	-35.59853
-31.09	-33.90336
-30.78	-32.20819
-30.48	-30.63859
-30.16	-29.19456
-29.85	-27.43661
-29.53	-25.74144
-29.21	-24.29741
-28.9	-22.72781
-28.59	-21.28377
-28.28	-19.58861
-27.95	-18.20736
-27.65	-16.70055
-27.32	-15.25651
-27.01	-13.93805
-26.7	-12.43123
-26.39	-10.9872
-26.07	-9.4176
-25.74	-7.973568
-25.4	-6.59232
-25.06	-4.897152
-24.73	-3.704256
-24.42	-2.19744
-24.11	-1.004544
-23.7	0.502272
-23.36	1.946304
-22.73	3.013632
-22.42	4.457664
-22.1	6.027264
-21.77	7.53408
-21.44	8.852544
-20.88	9.919874
-20.61	11.36391
-20.17	12.87072
-19.63	14.00083
-19.3	15.88435
-18.96	18.01901
-18.64	19.14912
-18.26	20.84429
-17.6	22.41389
-17.21	24.10905
-16.84	25.55309
-16.47	27.05991
-16.09	28.19001
-15.44	29.57127
-15.09	31.07808
-14.7	32.58489
-14.3	34.21728
-13.64	36.03801
-13.25	37.35648
-12.83	38.92608
-12.41	40.55847
-11.71	42.06528
-11.28	43.82323
-10.79	45.1417
-10.16	47.088
-9.72	48.72039
-9.28	50.41555
-8.58	51.7968
-8.14	53.42919
-7.64	54.62208
-7.22	56.00333
-6.78	57.51014
-6.28	58.13799
-5.85	60.08429
-5.42	61.59111
-4.91	62.34451
-4.4	64.29081
-3.85	66.36269
-3.28	68.05785
-2.69	68.93684
-2.14	71.32262
-1.59	72.95502
-1	74.08512
-0.45	76.09421
0.1	77.78938
0.69	78.8567
1.24	80.61466
1.83	81.55642
2.37	83.56551
2.92	85.44903
3.5	86.07687
4.04	88.27431
4.59	89.40442
5.14	91.35072
5.72	92.54361
6.26	94.05043
6.84	95.43168
7.37	97.06405
7.98	98.44528
8.49	99.26148
9	101.145
9.57	102.4007
10.12	104.0331
10.73	105.4143
11.33	106.9211
11.97	108.3024
12.61	109.7464
13.2	110.8138
13.81	112.1323
14.42	113.5762
15.05	114.7692
15.7	115.1459
16.28	116.9039
16.91	117.5316
17.51	119.2269
18.14	119.8546
18.75	120.9847
19.39	121.9893
19.99	122.9311
20.62	123.5589
21.23	124.7518
21.85	125.1913
22.48	125.6307
23.1	126.7609
23.71	127.3887
24.34	127.5771
24.96	128.8328
25.6	129.1467
26.21	129.9001
26.86	130.214
27.46	130.8419
28.11	130.7791
28.73	131.5952
29.38	131.4697
29.99	132.4743
30.62	132.537
31.25	132.7253
31.88	133.1021
32.47	133.1021
33.07	133.1021
33.6	133.1021
34.32	132.7253
35	133.1021
35.63	132.4743
36.24	132.4743
36.92	132.1603
37.62	132.0347
38.29	131.093
38.91	130.9675
39.6	129.9629
40.27	129.7746
40.93	128.2049
41.58	127.5143
42.27	126.3214
42.88	125.3797
43.43	124.3123
43.96	123.3077
44.47	122.2405
45.11	121.3615
45.62	120.1058
46.13	119.6663
46.67	118.7873
46.92	117.0922
46.9	115.5225
46.92	114.2669
46.91	112.76
47.39	114.2669
47.97	113.8274
48.52	113.3879
49.08	111.63
49.33	110.2487
49.85	110.5626
50.38	109.0558
50.57	107.6117
50.44	104.5981
50.29	103.0286
50.13	101.7729
49.97	100.1405
49.82	98.75927
49.68	97.56635
49.36	95.18054
49.23	93.67372
49.07	92.35526
48.77	90.15783
48.61	88.77657
48.29	86.39078
47.98	84.19334
47.65	81.68198
47.35	79.48454
47.16	78.35443
47.01	77.03596
46.86	75.65472
46.56	73.70841
46.42	72.57829
46.09	70.06695
45.77	68.24621
45.47	65.79764
45.14	63.85133
44.84	61.65388
44.51	59.70758
44.21	57.94963
43.95	56.06611
43.65	54.37095
43.31	51.92237
42.97	49.97607
42.62	47.90419
42.45	46.77408
42.12	45.07891
41.95	43.76044
41.61	41.81414
41.28	39.9934
41.12	38.86329
40.79	36.91699
40.47	35.15904
40.13	33.08717
39.81	31.392
39.49	29.38291
39.16	27.43661
38.88	25.92979
38.56	24.04627
38.26	22.53945
37.98	20.46759
37.69	18.96077
37.43	17.64231
37.18	15.94713
36.87	14.37753
36.6	13.31021
36.31	11.61504
36.05	10.17101
35.8	8.664192
35.47	7.157376
35.25	5.65056
34.97	3.892608
34.7	3.013632
34.35	1.757952
34.02	0
33.71	-1.130112
33.46	-2.385792
33.03	-4.08096
32.74	-5.085504
32.44	-6.466752
32.13	-7.910784
31.86	-9.229248
31.59	-10.35936
31.3	-11.42669
31	-12.93351
30.55	-14.81703
30.24	-16.26105
29.77	-17.64231
29.44	-19.27469
28.98	-21.03264
28.49	-22.60224
28.16	-24.04627
27.85	-25.49031
27.54	-26.43207
27.21	-27.87609
26.91	-26.24371
26.59	-27.75052
26.05	-30.26188
25.66	-31.7687
25.09	-32.58489
24.78	-33.77779
24.47	-35.22183
23.99	-36.97978
23.54	-38.4866
22.98	-39.49113
22.67	-40.74681
22.36	-41.93972
21.89	-43.57209
21.41	-45.26727
20.85	-46.02068
20.53	-47.02521
20.23	-48.34368
19.74	-49.78771
19.42	-51.16896
18.87	-51.60845
18.56	-53.11527
18.08	-54.55929
17.59	-56.06611
17.02	-56.63116
16.54	-58.26355
16.06	-59.70758
15.56	-61.27719
14.99	-61.65388
14.68	-62.90956
14.2	-64.22803
13.7	-65.54651
13.13	-65.98598
12.48	-67.80672
11.99	-69.18797
11.48	-70.69479
10.91	-70.69479
10.42	-72.38995
9.91	-73.45728
9.33	-73.45728
8.84	-74.96409
8.34	-76.28256
7.84	-77.34988
7.25	-77.60101
6.76	-78.8567
6.25	-80.17517
5.75	-81.55642
5.16	-81.36806
4.65	-83.06323
4.15	-84.13056
3.56	-83.81664
3.05	-85.63738
2.54	-86.39078
2.02	-87.83482
1.43	-88.27431
0.76	-89.8439
0.23	-90.78567
-0.36	-91.09959
-0.88	-92.29248
-1.39	-93.42259
-2	-93.48537
-2.51	-94.86662
-3.04	-95.80839
-3.65	-96.24788
-4.16	-97.44078
-4.67	-98.75927
-5.2	-100.0149
-5.82	-99.70105
-6.34	-101.3962
-6.87	-102.4635
-7.49	-102.4007
-8.03	-103.9075
-8.55	-105.1004
-9.09	-106.1678
-9.72	-106.1678
-10.25	-107.8001
-10.78	-108.6163
-11.41	-108.8675
-11.99	-110.1859
-12.62	-111.7555
-13.12	-111.5044
-13.75	-112.9485
-14.39	-114.518
-14.9	-114.0157
-15.54	-115.8365
-16.19	-116.841
-16.7	-116.5899
-17.35	-117.9711
-18	-119.4152
-18.5	-118.9757
-19.16	-120.2941
-19.81	-121.6126
-20.33	-120.922
-20.99	-122.68
-21.66	-123.6845
-22.18	-123.245
-22.84	-124.5635
-23.61	-124.5006
-24.3	-126.0703
-25.1	-125.8819
-25.81	-127.5143
-26.32	-128.4561
-26.9	-127.6399
-27.4	-128.7072
-27.9	-129.5234
-28.47	-128.8955
-28.97	-130.1513
-29.79	-129.7117
-30.29	-131.1558
-30.8	-131.6581
-31.37	-131.1558
-31.9	-131.9091
-32.5	-131.4697
-33.22	-132.537
-33.75	-132.9765
-34.34	-132.9138
-34.86	-133.2276
-35.46	-133.1021
-35.96	-133.2276
-36.49	-134.295
-37.08	-133.2276
-37.59	-133.9811
-38.11	-134.4206
-38.7	-133.8555
-39.24	-134.4206
-39.77	-134.9229
-40.37	-133.8555
-40.89	-134.4833
-41.53	-133.5415
-42.04	-134.1694
-42.58	-134.2321
-43.18	-133.6671
-43.72	-133.7927
-44.26	-134.1694
-44.89	-133.1021
-45.45	-133.1649
-46.06	-132.537
-46.63	-132.3487
-47.18	-132.7882
-47.77	-131.5952
-48.35	-131.7208
-49.01	-130.7791
-49.55	-131.2185
-50.21	-130.9675
-50.73	-129.9629
-51.32	-130.214
-51.93	-129.1467
-52.49	-129.0839
-53.15	-128.0166
-53.66	-127.7654
-54.4	-126.8865
-54.96	-126.2586
-55.66	-124.8145
-56.21	-124.4379
-56.77	-124.3751
-57.32	-123.245
-57.86	-123.245
-58.42	-122.8683
-58.9	-121.4243
-59.51	-121.3615
-60.06	-120.9847
-60.57	-119.8546
-61.18	-119.8546
-61.72	-118.599
-62.28	-118.3478
-62.83	-118.2851
-63.44	-117.0922
-64.03	-116.5899
-64.57	-115.397
-65.15	-115.1459
-65.67	-115.1459
-65.97	-114.2041
-66.51	-113.5762
-67.1	-113.4507
-67.44	-112.3833
-67.96	-112.3833
-68.46	-112.195
-69.05	-110.5626
-69.63	-110.6255
-70.22	-109.1185
-70.73	-109.0558
-71.24	-108.7419
-71.76	-107.8001
-72.3	-107.6117
-72.8	-106.6072
-73.39	-106.4816
-74.07	-105.226
-74.63	-104.347
-75.16	-104.1586
-75.3	-102.903
-75.32	-102.0868
-75.33	-100.2661
-75.13	-98.38255
-74.82	-96.24788
-74.64	-94.92941
-74.5	-93.67372
-74.11	-91.35072
-73.88	-89.78112
-73.69	-88.52544
-73.28	-85.76295
-73.07	-84.69561
-72.86	-83.31436
-72.65	-81.9959
-72.45	-80.80301
-72.23	-79.2962
-72	-78.41721
-71.78	-77.09875
-71.38	-74.5246
-70.96	-72.01324
-70.74	-70.88315
-70.51	-69.56467
-70.08	-67.24165
-69.88	-65.9232
-69.48	-63.53741
-69.03	-61.2144
-68.56	-58.64025
-68.33	-57.63571
-67.89	-55.24992
-67.67	-54.18259
-67.26	-51.7968
-67.04	-50.66669
-66.62	-48.53204
-66.19	-46.02068
-65.74	-44.01159
-65.27	-42.12806
-64.83	-40.37011
-64.35	-38.29824
-63.86	-36.66585
-63.64	-35.47296
-63.15	-33.46387
-62.67	-31.95706
-62.21	-29.88519
-61.76	-27.49939
-61.33	-25.30195
-61.1	-24.23463
-60.67	-22.09997
-60.44	-21.03264
-60.16	-19.77696
-59.91	-18.39571
-59.64	-16.95168
-59.36	-15.82157
-59.13	-14.56589
-58.87	-13.12185
-58.59	-11.80339
-58.33	-10.73607
-58.06	-9.480384
-57.81	-8.099136
-57.57	-6.843456
-57.28	-5.524992
-56.77	-3.45312
-56.52	-2.134656
-56.28	-1.004544
-55.89	0.62784
-55.41	3.076416
-54.94	5.148288
-54.65	6.403968
-54.15	8.601408
-53.69	10.48493
-53.3	11.55225
-52.87	13.05907
-52.56	14.62867
-52.21	16.32384
-51.79	18.33293
-51.25	20.34201
-50.74	22.41389
-50.2	24.29741
-49.66	26.18093
-49.14	27.75052
-48.55	29.38291
-48.01	31.51757
-47.42	33.14996
-46.71	33.46387
-46.12	35.47296
-45.52	37.35648
-44.9	39.11444
-44.23	40.37011
-43.59	42.25363
-43	43.88601
-42.32	45.5184
-41.69	47.088
-41.02	48.59481
-40.38	50.2272
-39.71	51.48288
-39.08	53.24083
-38.36	54.55929
-37.73	56.06611
-37.07	57.38458
-36.37	58.57747
-35.72	59.95872
-35	60.83769
-34.34	62.53286
-33.66	63.85133
-32.96	64.91865
-32.28	66.11156
-31.59	67.30444
-30.9	68.49735
-30.2	69.18797
-29.51	70.69479
-28.81	71.13428
-28.13	72.45274
-27.41	73.20615
-26.71	73.95956
-26	75.21522
-25.29	76.09421
-24.55	77.09875
-23.9	77.97774
-23.19	78.60557
-22.5	79.73568
-21.77	80.48909
-21.06	81.36806
-20.38	82.24704
-19.67	83.1888
-18.95	83.62829
-18.25	84.88396
-17.56	85.63738
-16.84	86.07687
-16.15	87.64645
-15.44	88.02318
-14.72	88.71379
-14.05	89.78112
-13.35	90.47175
-12.66	91.53908
-11.97	92.29248
