Takemura and Kawashima #3																			
2.446	84.76																		
3.494	85.96																		
4.543	87.27																		
5.441	88.47																		
6.540	91.10																		
7.638	92.42																		
8.636	94.45																		
9.684	96.12																		
10.583	96.84																		
11.631	98.52																		
12.730	100.19																		
13.778	101.39																		
15.026	103.55																		
16.124	105.46																		
16.823	105.82																		
17.871	107.98																		
18.770	109.53																		
19.818	111.09																		
20.916	113.36																		
21.815	114.68																		
22.863	116.47																		
23.912	119.23																		
24.960	120.55																		
25.958	122.47																		
27.057	124.26																		
28.305	127.02																		
29.053	127.61																		
30.102	128.93																		
31.150	130.97																		
32.099	132.40																		
33.047	133.71																		
34.045	134.91																		
35.094	136.83																		
36.142	138.15																		
37.190	139.11																		
38.089	141.14																		
39.237	142.93																		
40.086	143.89																		
41.034	144.37																		
41.833	145.57																		
43.081	147.25																		
43.780	140.78																		
44.828	148.68																		
45.677	148.68																		
46.775	148.80																		
47.823	150.12																		
49.071	150.84																		
50.319	148.92																		
51.268	151.91																		
52.266	151.80																		
53.215	151.80																		
54.463	152.27																		
55.661	152.03																		
54.263	121.02																		
53.714	112.17																		
52.166	95.41																		
51.418	86.55																		
50.669	75.89																		
49.321	66.08																		
48.223	53.51																		
47.174	42.62																		
46.326	33.04																		
45.377	24.30																		
44.279	15.93																		
43.430	8.14																		
42.532	1.08																		
41.833	-2.64																		
40.735	-7.06																		
39.886	-10.30																		
38.988	-13.29																		
37.889	-16.04																		
36.841	-18.44																		
35.992	-22.03																		
35.094	-24.18																		
33.996	-28.37																		
32.947	-31.01																		
31.999	-34.35																		
31.150	-36.63																		
29.752	-40.83																		
28.704	-43.22																		
27.955	-45.61																		
26.907	-47.77																		
25.859	-50.40																		
24.760	-53.63																		
23.712	-55.91																		
22.614	-57.70																		
21.765	-59.86																		
20.867	-61.06																		
19.818	-63.80																		
18.770	-65.84																		
17.672	-67.52																		
16.623	-69.55																		
15.775	-70.75																		
14.676	-72.19																		
13.628	-73.98																		
12.730	-74.46																		
11.631	-76.01																		
10.583	-76.74																		
9.535	-77.34																		
8.486	-78.17																		
7.388	-79.48																		
6.340	-79.96																		
5.591	-81.04																		
4.543	-82.00																		
3.494	-82.60																		
2.396	-83.32																		
1.498	-83.43																		
0.300	-84.51																		
-0.599	-84.63																		
-1.847	-85.96																		
-2.696	-87.50																		
-3.594	-88.23																		
-5.042	-89.66																		
-6.140	-90.51																		
-7.188	-91.57																		
-8.087	-92.17																		
-9.135	-93.02																		
-10.184	-94.21																		
-11.082	-95.41																		
-12.230	-96.49																		
-13.578	-97.68																		
-14.327	-99.00																		
-14.776	-99.00																		
-15.525	-99.84																		
-16.623	-101.99																		
-17.672	-103.31																		
-18.570	-104.15																		
-19.818	-105.71																		
-20.717	-106.54																		
-21.765	-107.50																		
-22.664	-108.81																		
-23.712	-109.41																		
-24.611	-110.85																		
-25.659	-112.05																		
-26.757	-113.00																		
-28.005	-114.08																		
-28.854	-114.68																		
-29.952	-115.16																		
-31.000	-116.95																		
-32.099	-117.43																		
-32.947	-118.03																		
-33.996	-118.99																		
-35.094	-119.95																		
-36.142	-120.07																		
-37.190	-121.39																		
-38.089	-121.62																		
-39.137	-122.47																		
-40.236	-122.95																		
-41.334	-123.78																		
-42.382	-124.02																		
-43.281	-117.92																		
-44.329	-125.57																		
-45.577	-125.69																		
-46.625	-126.65																		
-47.724	-127.25																		
-48.073	-127.25																		
-48.772	-127.37																		
-49.770	-125.46																		
-50.918	-128.33																		
-51.917	-129.05																		
-52.865	-129.16																		
-53.764	-129.89																		
-55.162	-130.24																		
-54.113	-101.99																		
-53.165	-89.78																		
-51.817	-76.14																		
-50.918	-66.56																		
-49.670	-53.15																		
-48.822	-45.73																		
-47.873	-36.51																		
-46.625	-27.54																		
-45.777	-18.55																		
-44.878	-12.21																		
-43.780	-4.79																		
-42.732	0.12																		
-41.833	4.79																		
-40.934	9.34																		
-39.886	13.05																		
-38.938	15.20																		
-37.740	17.59																		
-36.891	19.75																		
-35.843	21.91																		
-34.894	23.94																		
-33.796	26.58																		
-32.797	28.73																		
-31.699	31.48																		
-30.851	32.80																		
-29.952	35.08																		
-28.854	37.71																		
-27.656	39.50																		
-26.757	42.14																		
-25.709	43.45																		
-24.660	45.49																		
-23.862	47.77																		
-22.664	49.32																		
-21.815	50.40																		
-20.567	52.79																		
-19.519	54.58																		
-18.570	55.91																		
-17.522	57.22																		
-16.424	59.02																		
-15.375	60.58																		
-14.427	60.93																		
-13.379	62.85																		
-12.330	64.16																		
-11.082	65.48																		
-10.034	66.68																		
-9.135	67.75																		
-8.037	68.95																		
-6.989	69.43																		
-5.891	70.75																		
-4.842	71.82																		
-3.644	73.27																		
-2.546	73.62																		
-1.697	74.94																		
-0.399	75.89																		
0.649	76.85																		
2.596	78.29																		
4.792	80.56																		
6.739	81.41																		
8.836	83.68																		
10.833	85.96																		
12.929	87.50																		
14.876	89.30																		
17.123	90.86																		
18.970	92.90																		
21.066	95.64																		
23.013	97.09																		
25.160	99.84																		
27.506	102.71																		
29.403	104.63																		
31.549	107.62																		
33.297	110.01																		
35.443	112.77																		
37.340	116.36																		
39.337	119.35																		
41.134	122.70																		
43.231	125.94																		
45.028	128.33																		
47.224	132.04																		
49.271	134.31																		
51.418	135.99																		
53.564	137.31																		
55.711	139.23																		
57.857	140.90																		
59.954	143.05																		
61.951	143.29																		
62.799	137.67																		
63.748	144.01																		
65.645	144.85																		
67.941	146.17																		
69.738	146.52																		
71.685	146.52																		
74.181	147.12																		
71.985	107.14																		
69.938	83.80																		
67.642	60.81																		
65.994	45.25																		
63.898	28.14																		
62.250	16.04																		
60.353	4.55																		
58.556	-3.83																		
56.410	-9.22																		
54.612	-11.73																		
52.116	-14.12																		
50.020	-16.76																		
47.873	-19.40																		
45.827	-22.27																		
43.930	-25.86																		
42.182	-29.09																		
40.086	-32.80																		
37.939	-35.55																		
37.590	-35.55																		
36.192	-39.15																		
34.045	-42.26																		
33.646	-42.26																		
32.248	-45.13																		
29.952	-48.48																		
28.005	-51.11																		
25.859	-53.75																		
23.912	-56.03																		
21.965	-57.70																		
19.818	-60.93																		
17.921	-62.49																		
15.924	-64.28																		
13.828	-65.00																		
11.681	-66.32																		
9.535	-67.27																		
7.788	-68.83																		
5.641	-69.20																		
3.494	-70.27																		
1.697	-70.63																		
-0.399	-71.71																		
-2.546	-72.42																		
-4.692	-73.75																		
-6.839	-74.10																		
-8.986	-75.30																		
-11.282	-75.89																		
-13.229	-76.49																		
-15.725	-77.45																		
-17.472	-78.77																		
-19.269	-80.56																		
-21.416	-82.00																		
-23.512	-83.92																		
-25.709	-86.07																		
-27.805	-87.39																		
-29.952	-89.30																		
-31.749	-90.14																		
-33.846	-91.94																		
-35.843	-93.98																		
-38.089	-95.41																		
-39.886	-96.84																		
-42.033	-98.76																		
-44.129	-99.24																		
-46.326	-101.16																		
-48.422	-102.71																		
-50.519	-104.26																		
-52.716	-105.46																		
-54.812	-105.94																		
-56.959	-106.54																		
-59.255	-107.74																		
-59.804	-107.74																		
-61.202	-108.93																		
-63.099	-108.22																		
-65.495	-111.21																		
-67.642	-112.53																		
-69.738	-110.97																		
-71.885	-114.68																		
-74.131	-116.00																		
-72.035	-75.06																		
-69.838	-53.87																		
-67.791	-35.55																		
-65.645	-19.27																		
-63.548	-6.11																		
-61.551	2.28																		
-59.555	11.25																		
-57.458	16.99																		
-55.511	20.11																		
-53.315	22.62																		
-51.468	24.42																		
-49.121	26.94																		
-47.274	28.73																		
-45.228	30.17																		
-43.081	32.08																		
-40.934	34.24																		
-38.838	36.16																		
-36.941	37.23																		
-34.944	38.67																		
-32.748	39.98																		
-30.651	41.89																		
-28.704	43.10																		
-26.757	44.17																		
-24.461	45.01																		
-22.664	46.44																		
-20.617	47.41																		
-18.570	48.00																		
-16.424	48.72																		
-14.327	49.32																		
-12.180	49.68																		
-10.034	50.76																		
-8.037	50.28																		
-5.741	50.64																		
-3.494	51.36																		
-1.398	51.11																		
0.998	51.11																		
2.945	51.84																		
4.942	52.55																		
6.839	52.07																		
8.986	52.07																		
11.132	52.44																		
13.079	53.03																		
15.226	53.75																		
17.172	53.87																		
19.269	54.71																		
21.266	54.71																		
23.363	55.66																		
25.659	55.66																		
27.656	56.39																		
29.603	57.34																		
31.649	57.34																		
33.646	58.18																		
35.643	59.02																		
37.640	60.21																		
39.686	60.69																		
41.583	61.41																		
43.430	62.49																		
45.377	62.97																		
47.724	61.65																		
49.670	62.13																		
51.817	62.01																		
54.113	61.77																		
56.160	62.97																		
