"Ohue et al. 1985, Specimen 2D16RS"	
1530	
0	0
0.15404	3.6249
0.28242	9.1829
0.43645	14.5
0.5905	20.179
0.71887	25.737
0.87292	31.053
1.0526	36.611
1.1553	40.962
1.2837	45.072
1.4891	47.607
1.6174	49.297
1.5918	46.277
1.5404	42.17
1.4634	37.941
1.3607	33.832
1.3094	30.208
1.181	26.1
0.97561	20.058
0.71887	14.017
0.66751	10.391
0.5905	6.8873
0.48781	3.0208
0.43645	1.2083
0.33376	-0.96664
0.23106	-3.8666
0.12837	-6.7663
0.025674	-9.7874
-0.025674	-12.083
-0.07702	-14.137
-0.17972	-16.795
-0.28242	-20.058
-0.35944	-22.958
-0.56482	-29.724
-0.66751	-33.832
-0.87292	-38.545
-1.104	-43.016
-1.258	-47.002
-1.4634	-50.872
-1.6174	-53.287
-1.6174	-48.332
-1.4121	-43.257
-1.258	-38.787
-1.0783	-32.262
-0.92426	-27.912
-0.79588	-23.683
-0.66751	-18.729
-0.51349	-13.775
-0.35944	-9.3039
-0.20539	-4.4707
0.15404	4.5917
0.28242	8.6998
0.46213	13.171
0.64186	18.004
0.84724	26.825
1.104	34.316
1.2067	40.357
1.335	44.466
1.5918	49.297
1.5404	45.312
1.4634	41.445
1.4121	37.82
1.2837	33.832
1.181	29.966
1.0783	26.22
0.97561	23.32
0.89858	19.333
0.79588	16.795
0.74455	12.566
0.66751	8.2163
0.5905	4.3499
0.17972	-3.6249
0.15404	-7.6123
0	-13.05
-0.10269	-16.433
-0.17972	-19.333
-0.28242	-22.474
-0.38511	-26.583
-0.53914	-30.208
-0.64186	-32.745
-0.7702	-35.886
-0.92426	-38.787
-1.104	-42.653
-1.181	-45.432
-1.3094	-47.972
-1.4377	-51.717
-1.5918	-53.892
-1.5661	-48.092
-1.3864	-41.928
-1.2837	-37.457
-1.0526	-29.724
-0.84724	-25.254
-0.64186	-20.783
-0.56482	-17.279
-0.43645	-11.116
-0.28242	-6.6458
-0.17972	-3.1416
0.051349	3.7457
0.33376	9.5454
0.53914	13.533
0.69319	18.487
0.79588	21.629
0.89858	25.012
1.0013	28.999
1.0526	32.866
1.3864	42.653
1.5404	47.972
1.7458	53.647
2.0282	59.327
2.285	64.162
2.516	68.028
2.8755	73.463
3.1323	75.518
3.3376	78.538
3.3889	76.363
3.3632	72.983
3.2349	69.358
3.2349	67.908
3.0038	64.162
2.7727	60.657
2.7214	57.152
2.6187	53.647
2.5418	50.872
2.3877	47.487
2.1823	43.62
2.0539	39.995
1.8742	35.524
1.7458	31.295
1.6431	27.549
1.3607	20.42
1.1553	15.466
1.0013	10.15
0.84724	4.5917
0.69319	-0.96664
0.46213	-8.2163
0.28242	-12.929
0	-19.937
-0.23106	-25.979
-0.51349	-32.262
-0.87292	-38.303
-1.1296	-44.587
-1.335	-49.422
-1.5148	-54.012
-2.0026	-60.898
-2.2593	-65.008
-2.5418	-68.633
-2.8242	-72.618
-3.1836	-76.003
-3.4145	-78.418
-3.4402	-75.638
-3.4145	-72.983
-3.3119	-68.993
-3.1836	-64.643
-3.0038	-60.537
-2.7727	-54.977
-2.5931	-50.747
-2.0539	-41.082
-1.8485	-36.491
-1.6688	-32.141
-1.4634	-28.033
-1.3094	-23.562
-0.92426	-15.95
-0.64186	-10.633
-0.46213	-6.5248
-0.28242	-2.5375
-0.07702	1.45
0.20539	8.2163
0.56482	18.487
0.74455	24.77
0.94993	30.208
1.1553	35.403
1.3864	46.157
1.6688	52.077
1.9769	58.482
2.4133	65.488
2.7214	70.808
2.9268	74.068
3.2863	77.453
3.2863	72.983
3.2863	69.358
3.158	66.337
3.0295	62.712
2.8242	58.362
2.747	56.067
2.5674	52.442
2.4133	48.817
2.2079	44.947
2.0796	41.687
1.8742	35.766
1.7715	30.933
1.5661	26.1
1.4377	21.629
1.1553	17.279
0.97561	12.808
0.82156	9.1829
0.71887	6.1623
0.46213	1.5708
0.28242	-1.8125
0.15404	-5.1957
0.025674	-9.5454
-0.025674	-12.204
-0.28242	-16.916
-0.46213	-20.299
-0.53914	-22.837
-0.82156	-28.999
-0.94993	-32.262
-1.2324	-36.853
-1.4891	-41.807
-1.7458	-45.917
-2.0026	-49.782
-2.2079	-53.647
-2.4904	-59.568
-2.6444	-63.798
-2.8499	-68.388
-3.1064	-72.738
-3.3376	-76.243
-3.4661	-78.178
-3.3376	-75.278
-3.158	-68.753
-3.0038	-65.008
-2.9268	-60.052
-2.5931	-50.992
-2.4133	-46.277
-2.1566	-40.116
-1.7972	-33.832
-1.5918	-28.879
-1.4121	-24.649
-1.1296	-19.212
-0.89858	-14.379
-0.64186	-9.5454
-0.48781	-5.7997
-0.25674	-1.3292
-0.10269	1.8125
0.20539	7.4913
0.53914	14.379
0.82156	21.145
1.0013	26.583
1.2324	35.886
1.8485	47.727
2.2079	54.737
2.4133	59.692
2.6187	63.918
2.9012	67.908
3.158	73.708
3.3632	78.418
3.6457	82.888
4.0307	88.208
4.1849	90.624
4.5956	94.129
4.8011	95.699
4.9037	97.509
5.2375	99.204
5.2375	97.754
5.2631	94.974
5.032	88.448
4.9807	84.459
4.8268	79.988
4.6469	74.673
4.3645	70.443
4.2362	67.303
3.9794	60.657
3.7998	54.492
3.5944	51.352
3.2606	45.917
3.0038	42.291
2.747	37.941
2.5674	34.557
2.362	30.691
2.1566	27.549
1.9769	23.803
1.8228	19.937
1.6174	15.708
1.1553	8.5789
0.84724	2.8999
0.53914	-2.8999
0.35944	-7.6123
0.17972	-12.204
-0.025674	-16.071
-0.35944	-21.991
-0.82156	-30.328
-1.1296	-36.491
-1.4377	-42.17
-1.7458	-46.522
-2.0796	-51.472
-2.2593	-54.977
-2.4647	-59.932
-2.67	-63.317
-2.8499	-66.938
-3.0808	-71.653
-3.2093	-73.828
-3.4917	-80.353
-3.8255	-84.218
-4.2619	-88.084
-4.4674	-89.654
-4.7495	-90.379
