Saatcioglu and Grira 1999 Column BG-2	
5371	
0.002411962	0.000697524
0.5020319	18.23206079
1.001652	26.43904559
1.501272	46.6541459
2.000892	59.71863222
2.500511	69.5131307
3.000131	78.74759878
3.51698	87.09708207
4.0166	93.26158055
4.516219	99.72601824
5.01584	107.1005471
5.515459	112.4350152
6.015079	117.7195137
6.514699	123.2840122
7.014319	127.5284498
7.513939	133.8429787
8.013558	138.1574468
8.51318	139.7818845
7.979102	103.0174468
7.496711	67.16796353
6.997091	37.98350152
6.497471	9.279021277
5.997851	-1.045464438
5.498231	-16.58993921
4.998611	-23.83443161
4.498991	-34.54891185
3.982143	-40.0783769
3.499752	-52.9978845
2.982903	-59.59734954
2.483283	-61.74182371
1.983663	-71.21629179
1.484043	-77.98079027
0.9844235	-80.53531915
0.4848036	-84.87975684
-0.03204459	-94.50924012
-0.5144362	-94.9187234
-1.014056	-101.2032219
-1.513676	-103.43769
-2.013296	-107.0221884
-2.512916	-107.5167173
-3.012536	-107.8711854
-3.512156	-115.4156839
-4.011776	-122.430152
-4.511395	-126.3046201
-5.011016	-130.1590881
-5.527864	-132.3085714
-6.010255	-135.5180547
-6.509875	-135.7625532
-7.009495	-139.9370821
-7.509115	-140.2215198
-8.008734	-143.4660182
-7.491887	-103.3634043
-6.992267	-94.88072948
-6.492647	-87.12170213
-5.993027	-80.01726444
-5.493407	-70.84553191
-4.993787	-65.94620061
-4.494167	-56.1198541
-3.994547	-49.94573252
-3.494927	-42.73793921
-2.995308	-34.49649848
-2.495687	-26.63406079
-1.996068	-13.94790881
-1.496448	-4.879542249
-0.9968279	1.949239514
-0.497208	10.15622492
0.01964024	16.57652888
0.5020319	22.43558055
1.001652	31.50395137
1.501272	39.36638906
2.000892	44.33458967
2.500511	49.16497872
3.000131	56.75176292
3.51698	62.62079027
4.0166	71.44796353
4.516219	76.48504559
5.01584	82.21130699
5.515459	87.52407295
6.015079	95.45537994
6.514699	98.42522796
7.014319	122.6984802
7.513939	130.2529483
8.013558	133.3674164
7.496711	114.9579939
6.997091	77.34346505
6.497471	61.69902736
5.997851	35.48453495
5.498231	16.23004863
4.998611	6.26556231
4.498991	-1.648922188
3.999371	-13.23340426
3.482523	-15.93287538
2.982903	-32.09735562
2.483283	-37.58184195
1.983663	-39.48632827
1.484043	-49.45080851
0.9844235	-55.51530091
0.4848036	-60.41978723
-0.01481631	-68.28425532
-0.5144362	-74.0087538
-1.014056	-82.18322188
-1.513676	-86.52772036
-2.013296	-91.87221884
-2.512916	-95.97671733
-3.012536	-104.601155
-3.512156	-104.8156839
-4.011776	-112.610152
-4.511395	-113.2346505
-5.011016	-117.7591489
-5.510636	-123.2435866
-6.010255	-126.8280851
-6.509875	-133.3125836
-7.009495	-133.4270517
-7.509115	-141.4915502
-8.025962	-142.3210334
-8.508354	-146.6105167
-9.007974	-146.8849848
-8.491126	-119.8117933
-7.991507	-107.780304
-7.491887	-101.5372644
-6.992267	-97.22370821
-6.492647	-89.67136778
-5.993027	-83.18711246
-5.493407	-75.08352584
-4.993787	-68.84048632
-4.494167	-60.4267538
-3.994547	-53.15005471
-3.494927	-47.1137386
-2.995308	-39.25131307
-2.495687	-28.52909422
-1.996068	-24.83572644
-1.496448	-17.42120973
-0.9968279	-9.627683891
-0.497208	-0.180311976
0.002411962	5.029079635
0.5020319	14.85545897
1.001652	22.02879027
1.501272	26.96254103
2.000892	36.78891793
2.500511	42.03276596
3.000131	48.17243769
3.51698	53.66244985
4.0166	62.21398176
4.516219	66.01069909
5.01584	73.80425532
5.515459	77.70431611
6.015079	86.80717325
6.514699	91.32741641
7.014319	97.05367781
7.513939	114.0529483
8.013558	120.8874164
8.51318	130.9219453
7.99633	55.13012158
7.496711	35.31175076
6.997091	15.94131307
6.497471	7.941057751
5.997851	-3.332435258
5.498231	-3.959293617
4.998611	-17.40345897
4.498991	-26.16172644
3.999371	-37.09066869
3.482523	-42.37394529
2.982903	-51.82132523
2.483283	-58.34000608
1.983663	-62.75696049
1.484043	-73.10012158
0.9844235	-73.31349544
0.4848036	-82.82978723
-0.01481631	-92.31161094
-0.5144362	-92.80066869
-1.014056	-98.97483283
-1.513676	-105.3212158
-2.013296	-106.4722188
-2.512916	-107.7266869
-3.012536	-108.8711854
-3.512156	-111.0156839
-4.011776	-112.8601824
-4.511395	-115.7546505
-5.011016	-119.3391489
-5.510636	-120.1035866
-6.010255	-126.9880851
-6.509875	-129.2125836
