"Bayrak and Sheikh 1996, AS6-HT"	
4667	
0	0
-0.161685457	0.159348739
-0.141364458	0.29802521
-0.076144891	1.859642857
0.047669524	3.595252101
0.11225777	5.372205882
0.151952917	7.347268908
0.211235845	9.285294118
0.293259701	10.76680672
0.330341016	12.54117647
0.393454023	14.47920168
0.478038305	16.7789916
0.515784613	18.32941176
0.576992933	20.08655462
0.666751283	22.10210084
0.758872707	24.05735294
0.810999691	25.40105042
0.848587265	27.14096639
0.939778765	29.0789916
0.991243211	30.85336134
1.058325108	32.58466387
1.109958629	34.10063025
1.178660437	36.04726891
1.26904909	38.00252101
1.323679324	39.76827731
1.31635564	41.6460084
1.450829181	43.57542017
1.553071152	45.08277311
1.618016584	47.21890756
1.720566866	48.95882353
2.0319589	50.6039916
2.111361185	52.06827731
2.122138969	53.65315126
2.183470091	55.35
2.329628225	57.18466387
2.367651316	59.2605042
2.487811805	60.9487395
2.534124026	63.76533613
2.476097479	65.79810924
2.677302038	67.47773109
2.726694034	69.5105042
2.809819925	71.40546218
2.898463503	72.8697479
2.773750418	70.97478992
2.713050263	69.42436975
2.62949936	67.87394958
2.590713267	66.47857143
2.543730145	65.35021008
2.526059437	63.75672269
2.440295805	61.73256303
2.332812427	59.69117647
2.271202725	57.6842437
2.255407297	55.93571429
2.194144303	53.83403361
2.085444372	51.87016807
2.009061114	49.87184874
1.915730324	47.89936975
1.893673643	46.33172269
1.815430545	44.39369748
1.640746267	42.48151261
1.682324971	40.51764706
1.648731326	38.57962185
1.498466767	36.79663866
1.441533183	35.09978992
1.389438593	33.42016807
1.309279215	31.36155462
1.250549584	29.12205882
1.150821005	26.9342437
1.097914189	24.84978992
0.950812158	22.66197479
0.944404521	21.07710084
0.876006532	19.29411765
0.822814868	17.24411765
0.739225942	15.00462185
0.667127016	12.87710084
0.588905915	11.11134454
0.525880729	8.923529412
0.417740373	7.269747899
0.411953885	5.745168067
0.333412286	3.946680672
0.306862561	2.20762605
0.246803756	0.298886555
0.18034907	-1.485819328
0.111051661	-3.409201681
0.045171838	-5.131890756
-0.080549574	-7.019957983
-0.07964892	-8.949369748
-0.162681012	-11.15441176
-0.267848832	-12.92878151
-0.324848049	-14.96155462
-0.368208689	-17.08907563
-0.484770142	-19.12184874
-0.538226245	-21.26659664
-0.599374368	-23.03235294
-0.679650712	-25.11680672
-0.734989503	-27.01176471
-0.862768403	-28.47605042
-0.969694681	-30.2762605
-0.992679596	-32.08508403
-1.040662601	-33.88529412
-1.047838249	-35.60798319
-1.141086003	-37.39957983
-1.311973513	-39.1394958
-1.36491375	-40.92247899
-1.414569321	-42.35231092
-1.506495978	-44.32478992
-1.581760379	-46.25420168
-1.734292503	-48.16638655
-1.735762287	-50.11302521
-1.804471156	-51.87878151
-1.859658358	-53.64453782
-1.911790064	-55.58256303
-2.018383518	-57.38277311
-2.125449026	-59.11407563
-2.204609846	-60.93151261
-2.25002213	-62.7144958
-2.38892284	-64.51470588
-2.466260437	-66.29768908
-2.493476424	-68.46827731
-2.594113538	-70.19957983
-2.669585851	-71.92226891
-2.75902822	-73.55882353
-2.818306505	-75.28151261
-2.880700721	-77.26260504
-2.838354883	-75.19537815
-2.861204488	-77.17647059
-2.876384274	-75.53991597
-2.931795254	-77.60714286
-3.092875451	-81.13865546
-3.1062074	-82.77521008
-3.160740397	-84.41176471
-3.224883726	-86.22058824
-3.345372002	-87.94327731
-3.428426999	-89.57983193
-3.493479295	-91.21638655
-3.547883518	-92.76680672
-3.615977641	-94.31722689
-3.570539112	-95.95378151
-3.753671625	-97.76260504
-3.783271068	-99.65756303
-3.905162469	-101.3802521
-3.95417129	-103.1890756
-4.027188935	-104.7394958
-4.088902637	-106.2037815
-4.187183277	-108.1848739
-4.205443221	-109.7352941
-4.241707147	-111.5441176
-4.356240496	-113.3529412
-4.443824924	-114.8172269
-4.467704823	-116.6260504
-4.626956657	-118.3487395
-4.6519093	-119.8991597
-4.736073292	-121.7079832
-4.799485753	-123.4306723
-4.694488018	-121.2773109
-4.590262316	-119.210084
-4.540062358	-117.6596639
-4.506169834	-115.5063025
