"Wight and Sozen, 1973, Spec. WS147W"	
521	
0	0
0.49733	4.3064
1.563	15.503
2.3445	24.608
3.5524	39.742
5.1864	54.137
6.4653	62.997
7.3177	71.608
8.8097	78.867
10.16	86.496
11.581	91.664
13.357	99.417
14.92	102.62
16.909	105.2
19.822	107.05
22.238	108.15
26.927	109.14
29.698	110
33.18	110.49
37.655	111.23
41.349	112.21
45.4	112.58
49.235	113.07
51.935	113.94
54.066	114.67
52.575	96.708
51.58	88.222
50.231	79.361
48.313	69.149
46.18	59.919
43.693	47.247
40.64	34.943
37.655	22.024
33.465	6.5212
31.829	0.86127
29.698	-5.5369
27.78	-11.566
21.67	-20.548
15.417	-30.268
10.515	-38.265
6.2522	-47.985
3.3393	-55.124
-0.42629	-65.088
-3.2682	-73.454
-6.3942	-82.559
-9.3071	-90.557
-12.504	-98.799
-15.915	-105.08
-18.401	-108.15
-21.74	-111.6
-26.005	-114.06
-31.26	-116.64
-36.731	-117.63
-42.913	-118.86
-46.749	-119.59
-50.729	-120.21
-51.935	-120.46
-53.287	-120.46
-52.86	-109.01
-51.651	-98.799
-50.587	-90.063
-49.378	-82.435
-48.313	-75.669
-47.531	-70.381
-45.684	-60.168
-44.191	-52.909
-42.558	-44.911
-40.356	-36.42
-38.224	-28.545
-36.02	-21.04
-33.109	-12.427
-30.267	-4.9217
-29.342	-2.9529
-22.948	6.398
-19.964	9.2278
-16.838	12.55
-12.504	19.071
-7.8862	26.454
-5.4707	30.514
-2.4156	35.805
1.1368	42.203
5.3287	51.308
8.5966	57.584
12.149	64.594
15.986	71.239
21.172	79.73
25.72	85.513
29.555	90.801
34.671	96.708
40.427	102.25
45.542	106.31
49.378	108.27
53.073	110.98
54.28	111.48
54.28	111.48
52.86	100.52
51.651	92.034
50.444	80.958
49.093	71.239
46.962	60.044
43.622	46.388
40.711	34.205
36.873	18.333
33.889	8.6127
31.829	3.199
29.911	-1.1074
27.282	-5.0445
24.156	-9.4742
19.822	-14.888
15.844	-20.548
11.936	-25.223
8.7389	-29.899
6.4653	-35.435
3.8367	-40.849
0.99466	-46.388
-2.4156	-52.66
-6.2522	-59.919
-9.8044	-66.195
-13.428	-72.591
-17.62	-79.237
-22.735	-87.114
-27.567	-94.004
-33.533	-101.75
-39.36	-107.78
-42.984	-110.74
-46.109	-113.32
-50.373	-116.15
-51.864	-116.89
-52.718	-117.38
-52.647	-107.17
-52.006	-96.339
-51.082	-84.65
-48.88	-71.608
-46.749	-61.765
-44.831	-52.784
-42.558	-45.401
-40.569	-37.896
-37.869	-27.684
-35.098	-18.21
-31.544	-8.6127
-28.773	-2.2147
-26.005	2.5838
-22.806	6.644
-19.68	9.2278
-15.772	11.689
-12.788	14.15
-9.2362	20.056
-4.8313	28.791
-1.1368	35.312
1.6341	39.988
3.9075	45.525
6.1811	50.2
9.6624	56.721
15.062	66.564
21.953	77.515
29.058	87.852
37.229	97.078
43.409	101.88
49.093	105.69
52.149	107.53
54.138	108.15
53.426	99.662
52.006	90.188
50.8	82.559
48.809	70.256
46.962	59.55
43.693	47.86
39.929	30.637
34.6	9.9662
31.544	2.4608
27.495	-3.9373
20.035	-15.503
15.986	-20.917
10.799	-28.176
4.9733	-34.82
2.984	-39.127
-1.7762	-47.616
-5.2575	-54.017
-11.012	-64.474
-14.21	-70.012
-18.827	-76.777
-24.014	-84.65
-29.342	-91.789
-35.027	-98.43
-39.431	-103.6
-44.333	-108.52
-48.171	-111.6
-51.082	-113.57
-52.22	-114.67
-52.647	-114.79
-52.718	-114.79
-51.722	-101.75
-50.444	-91.789
-47.744	-75.056
-46.606	-67.058
-45.329	-59.799
-43.835	-51.677
-42.344	-44.662
-39.787	-34.082
-37.442	-25.715
-35.24	-18.702
-33.251	-13.411
-30.764	-7.2591
-28.064	-0.24608
-26.073	2.5838
-23.161	5.4137
-20.604	7.8747
-18.401	9.597
-16.625	10.581
-14.138	12.55
-11.865	15.38
-9.5204	19.932
-6.8915	24.116
-4.334	28.914
-1.0657	33.59
1.492	37.896
4.6891	43.802
6.7495	46.877
8.0284	49.831
11.012	55.613
14.067	60.782
18.046	68.041
21.314	73.579
23.73	77.391
26.571	81.452
30.622	86.62
34.244	90.557
38.011	94.249
40.427	96.833
44.12	99.907
46.322	101.63
47.816	102.86
49.804	104.46
51.295	105.57
53.002	107.17
53.924	107.41
53.144	100.16
51.793	90.557
50.729	82.19
49.378	73.823
47.744	64.225
46.393	58.442
44.76	51.308
42.7	43.802
40.64	34.328
39.36	28.422
37.584	22.27
35.809	14.888
34.529	9.2278
33.251	4.4295
31.758	0.73823
29.627	-2.4608
26.784	-5.6596
22.664	-11.566
20.319	-14.765
18.046	-17.964
14.849	-21.778
12.007	-25.223
7.8862	-30.391
5.3287	-33.59
2.2735	-38.512
0.63942	-41.833
-1.3499	-45.281
-3.4102	-48.479
-6.3942	-53.767
-9.9466	-59.181
-13.854	-64.594
-16.554	-68.655
-19.822	-74.437
-24.085	-81.207
-28.773	-88.222
-31.473	-91.789
-34.671	-95.112
-37.513	-98.31
-40.142	-100.77
-42.344	-102.37
-44.262	-103.85
-46.535	-105.94
-48.382	-107.53
-49.804	-108.77
-51.935	-110.74
-52.433	-111.48
-52.362	-110
-51.509	-98.43
-50.516	-91.909
-49.947	-86.376
-49.164	-81.696
-48.524	-77.64
-48.029	-74.686
-47.247	-69.518
-46.393	-65.701
-45.613	-61.027
-44.547	-55.489
-43.764	-51.677
-42.913	-47.122
-42.06	-42.695
-41.064	-39.373
-40	-35.189
-38.649	-31.006
-37.087	-25.715
-35.667	-20.794
-34.458	-16.364
-32.398	-10.951
-29.84	-5.0445
-28.773	-2.3377
-27.567	-0.24608
-26.073	1.8456
-23.517	4.6753
-21.385	7.0132
-19.254	9.1051
-17.122	10.581
-13.641	13.411
-11.154	16.857
-7.3177	23.131
-3.4102	28.914
-0.63942	32.606
1.8472	36.666
4.0498	41.096
6.2522	45.281
8.2415	48.848
10.728	53.278
12.504	56.352
15.062	60.537
17.833	64.718
21.527	71.119
26.005	77.884
29.627	83.422
32.896	87.483
36.304	91.051
39.929	94.373
43.127	97.447
45.613	99.662
48.242	101.26
50.302	102.62
52.86	103.85
53.782	104.09
54.138	103.85
53.144	94.124
51.935	88.466
50.8	81.207
49.52	75.3
48.595	69.149
47.318	63.242
46.18	57.704
45.187	52.415
43.693	46.139
42.202	40.234
40.782	33.467
39.218	28.053
37.655	22.762
36.091	15.257
34.884	10.581
34.031	7.5056
33.18	4.4295
31.046	0.73823
28.349	-3.3221
27.069	-5.5369
25.364	-8.1207
23.232	-10.951
20.959	-14.15
19.041	-16.61
16.767	-19.563
15.062	-21.778
12.22	-24.977
10.018	-27.684
8.1704	-30.268
6.3231	-32.728
4.476	-34.82
2.7709	-36.912
-0.49733	-40.972
-3.2682	-45.156
-5.0444	-48.354
-6.5364	-50.814
-9.5204	-55.858
-14.565	-62.997
-16.199	-65.95
