Gill et al. 1979 Specimen 1	
627	
0	0
0.17369	13.094
0.30396	25.097
0.56449	42.554
0.82502	67.65
1.0421	94.929
1.1724	132.03
1.4763	158.22
1.8237	192.04
2.0408	214.95
2.3882	249.87
2.6053	277.15
2.9093	298.97
3.2565	319.7
3.4737	333.89
3.2565	313.16
3.1697	285.88
2.779	254.24
2.6053	231.32
2.3882	199.68
2.0842	164.76
1.6066	110.2
1.6066	86.202
1.0855	42.554
0.86843	9.8203
0.30396	-29.461
0	-76.381
-0.3908	-113.48
-0.73817	-156.04
-0.9987	-187.68
-1.0855	-207.32
-1.3895	-248.78
-1.4329	-255.33
-1.7369	-277.15
-1.9974	-300.07
-2.3448	-329.53
-2.6921	-350.26
-2.9093	-362.26
-2.8224	-333.89
-2.6921	-302.25
-2.3882	-266.24
-2.1277	-230.23
-1.7369	-187.68
-1.4763	-154.94
-1.4329	-123.3
-1.1724	-102.57
-0.73817	-61.102
-0.3908	-33.825
0.30396	13.094
0.65133	60.012
1.0855	113.48
1.129	166.95
1.4763	211.68
1.7369	244.42
2.1277	300.07
2.779	361.17
2.9962	388.45
3.6474	426.64
4.2553	459.39
4.5593	479.01
5.1237	498.67
4.4724	440.82
4.125	401.54
3.4737	343.71
3.2131	294.61
2.9962	259.69
2.6921	213.86
2.1711	170.22
2.2579	125.48
1.9106	78.561
1.4763	43.646
0.86843	-17.458
0.52106	-69.834
-0.043421	-125.48
-0.47765	-185.49
-0.91186	-229.14
-1.3895	-277.15
-1.8671	-342.62
-2.6487	-393.9
-3.3434	-431
-4.0381	-468.11
-4.8633	-510.67
-5.3409	-528.11
-4.8633	-472.47
-4.3856	-416.82
-3.8646	-370.99
-3.604	-330.62
-2.8659	-284.79
-2.6487	-248.78
-1.954	-208.41
-1.3895	-156.04
-0.30396	-85.108
0.52106	-32.734
0.86843	4.3646
1.4329	62.196
1.954	116.75
2.5185	183.31
2.779	202.95
3.2565	279.33
3.7777	339.35
4.429	385.17
4.8199	424.45
5.6015	472.47
6.7737	527.04
7.729	570.68
9.0752	599.06
10.117	620.85
10.899	633.97
10.899	607.77
10.769	578.28
10.551	548.84
9.987	487.72
9.4658	450.63
9.162	424.45
8.858	404.81
8.554	380.81
8.1633	358.98
7.9027	340.44
7.5555	319.7
7.3383	308.79
6.9908	288.06
6.7302	271.7
6.4699	252.05
6.1659	229.14
5.8184	208.41
5.5146	185.49
4.733	136.39
4.3856	109.11
4.0381	84.018
3.8212	65.47
3.4303	43.646
3.1697	25.097
2.8659	9.8203
2.4316	-12.002
2.2145	-28.37
1.8237	-50.191
1.4763	-67.65
1.129	-87.292
0.73817	-108.02
0.47765	-123.3
0.21711	-144.03
-0.043421	-160.4
-0.65133	-201.86
-0.86843	-223.69
-1.0421	-246.6
-1.2158	-259.69
-1.9974	-300.07
-2.2145	-325.16
-2.5618	-348.07
-2.779	-364.44
-2.9962	-384.08
-3.3434	-400.45
-3.8646	-440.82
-4.2553	-464.82
-4.6462	-487.72
-4.9934	-504.09
-5.2106	-523.75
-5.558	-537.94
-5.9052	-554.31
-6.2527	-567.39
-6.8171	-587.05
-7.2514	-599.06
-7.7724	-616.49
-8.2936	-629.57
-8.9014	-643.76
-9.5093	-653.59
-10.117	-665.6
-11.029	-677.61
-11.073	-674.32
-11.159	-656.88
-10.986	-636.15
-10.769	-604.48
-10.551	-583.76
-10.291	-556.49
-9.987	-534.65
-9.8133	-513.92
-9.5527	-498.67
-9.2489	-477.94
-8.9883	-456.1
-8.4239	-422.27
-8.1633	-401.54
-7.7724	-381.9
-7.4686	-358.98
-7.0343	-334.98
-6.5568	-308.79
-5.9052	-277.15
-5.4277	-245.51
-5.0368	-221.5
-4.6462	-197.5
-4.3856	-187.68
-3.9515	-164.76
-3.3	-134.21
-2.779	-108.02
-2.1277	-86.202
-1.7803	-66.56
-1.0855	-33.825
-0.52106	-8.7292
0.30396	27.279
1.0855	74.197
1.3895	90.566
2.2145	118.94
2.3448	142.94
2.5185	161.49
2.9962	197.5
3.4737	242.23
4.1684	285.88
4.7765	329.53
5.3843	364.44
5.8618	388.45
6.5568	425.54
7.1646	453.92
7.9461	487.72
8.5105	517.21
9.379	552.13
10.161	583.76
10.725	604.48
11.333	624.14
11.246	597.94
11.203	577.22
11.116	557.56
10.638	501.91
10.378	467
10.161	446.27
9.8133	414.63
9.3358	388.45
8.858	356.81
8.1633	313.16
7.3817	266.24
6.4265	200.77
6.1224	180.04
5.6883	147.3
5.2106	114.57
4.8199	90.566
4.4724	67.65
4.1684	45.828
3.6474	15.276
3.2131	-6.547
2.5618	-45.828
1.9974	-80.745
1.3895	-121.12
0.69474	-165.85
0	-209.5
-0.21711	-225.86
-0.78158	-257.51
-1.3026	-286.97
-1.8237	-312.07
-2.2145	-334.98
-2.5185	-356.81
-3.5171	-405.91
-4.2553	-434.28
-4.8199	-461.57
-5.4277	-486.66
-6.5133	-535.76
-7.512	-579.4
-8.5105	-615.43
-9.7699	-652.52
-11.159	-677.61
-11.116	-659.06
-10.986	-631.79
-10.725	-606.66
-10.421	-578.28
-9.7264	-515.03
-9.4224	-495.37
-9.2055	-481.18
-8.9449	-459.39
-8.554	-433.19
-8.0764	-408.09
-7.6855	-385.17
-6.9474	-346.98
-6.6436	-324.07
-6.4265	-309.88
-5.7752	-284.79
-4.95	-249.87
-4.4724	-220.41
-3.8212	-188.77
-3.3434	-163.67
-2.8224	-140.76
-2.3013	-114.57
-1.6066	-87.292
-0.9987	-62.196
-0.17369	-33.825
0.43421	-10.911
0.82502	5.4559
1.3895	27.279
1.7803	45.828
2.3882	77.471
2.8659	106.93
3.3434	130.94
3.604	158.22
4.125	188.77
4.7765	231.32
5.3843	268.42
5.9487	302.25
6.5133	337.16
7.1646	369.9
7.729	395
8.4239	434.28
9.4224	476.83
10.465	522.64
11.55	564.14
12.462	589.23
13.765	621.96
14.807	637.22
15.892	645.94
17.108	652.52
18.324	656.88
20.321	652.52
22.058	651.41
22.579	651.41
22.449	614.31
22.145	577.22
21.884	546.66
21.624	519.39
21.32	488.84
20.756	457.21
20.495	436.46
20.148	413.54
19.844	392.81
19.409	374.26
18.975	350.26
18.28	312.07
17.542	281.51
16.891	250.97
16.327	228.05
15.675	202.95
14.503	173.49
13.33	135.3
12.375	108.02
11.42	86.202
10.378	58.923
9.5093	41.463
8.7277	19.641
7.7724	-3.2734
6.7302	-31.643
5.9921	-50.191
5.1237	-75.287
4.2118	-102.57
3.5171	-114.57
3.0831	-128.76
2.2145	-162.58
1.7369	-186.58
0.9987	-221.5
0.47765	-246.6
-0.13026	-276.06
-1.0855	-317.52
-2.0842	-358.98
-3.1697	-397.18
-3.9515	-425.54
-5.0803	-464.82
-5.6883	-484.48
-6.5568	-511.74
-7.208	-536.83
-8.033	-568.5
-8.858	-602.3
-9.6396	-628.5
-10.682	-653.59
-11.854	-671.07
-12.896	-684.15
-14.025	-691.8
-14.937	-696.16
-16.37	-693.98
-17.238	-696.16
-17.89	-693.98
-18.932	-690.69
-18.932	-691.8
-21.146	-688.51
-22.492	-689.62
-22.449	-681.97
-22.406	-655.77
-22.188	-625.21
-22.058	-600.12
-21.711	-565.21
-21.407	-533.58
-21.059	-507.38
-20.538	-475.76
-19.974	-445.2
-19.453	-417.91
-18.888	-396.09
-16.717	-307.7
-15.458	-261.88
-14.286	-213.86
-12.809	-163.67
-11.55	-129.85
-10.421	-102.57
-9.5093	-85.108
-8.2067	-54.559
-7.1211	-32.734
-5.6449	-4.3646
-4.6027	9.8203
-3.3	34.917
-2.3448	64.376
-1.4763	93.839
-0.73817	116.75
-0.13026	140.76
0.82502	182.22
1.3895	199.68
1.9974	218.23
2.9093	249.87
4.0815	288.06
5.3843	327.34
6.2527	354.62
7.8593	395
9.2055	422.27
10.682	452.81
11.724	473.58
12.809	488.84
15.111	530.29
16.413	556.49
18.28	588.11
19.627	601.24
20.712	613.2
22.319	629.57
22.145	603.42
21.971	582.69
21.711	557.56
21.494	535.76
21.103	501.91
20.799	474.65
19.323	378.63
18.584	342.62
17.759	304.43
17.108	276.06
16.37	243.32
15.588	210.59
13.548	144.03
12.028	101.48
10.551	66.56
9.1186	31.643
7.9896	0
6.6868	-30.552
5.1237	-76.381
4.2118	-105.84
2.8224	-141.85
1.7803	-171.31
0.65133	-201.86
-1.3026	-258.6
-2.6053	-291.34
-4.6462	-348.07
-6.079	-385.17
-7.9461	-433.19
-9.7699	-474.65
-11.376	-505.2
-12.766	-530.29
-13.982	-553.2
-15.588	-578.28
-17.369	-604.48
-19.019	-627.39
-20.669	-650.34
-22.015	-666.71
-22.449	-672.14
-22.362	-652.52
-22.102	-613.2
-21.667	-575.04
-21.667	-575.04
-21.146	-532.47
-20.625	-496.49
-19.887	-453.92
-19.062	-410.27
-18.063	-365.53
-16.5	-296.79
-15.458	-259.69
-14.763	-233.51
-14.069	-204.04
-13.33	-180.04
-12.549	-154.94
-11.594	-130.94
-10.465	-103.66
-9.2055	-77.471
-7.9461	-50.191
-7.1211	-34.917
-5.6449	-5.4559
-4.3421	16.367
-2.9527	43.646
-1.5198	70.923
-0.086843	101.48
0.6079	117.85
1.3026	137.48
2.3013	163.67
3.4303	199.68
4.2553	224.78
5.5146	269.51
6.383	302.25
7.3383	336.07
8.1633	364.44
8.9883	391.72
10.812	440.82
12.766	484.48
15.458	531.4
16.848	549.95
18.584	572.86
21.841	611.02
23.578	625.21
25.88	640.51
28.006	645.94
30.091	647.05
31.481	645.94
33.175	647.05
33.782	647.05
33.652	577.22
33.304	542.3
32.565	468.11
31.915	438.64
30.96	391.72
30.135	353.53
28.397	277.15
27.356	236.78
26.271	198.59
25.054	165.85
23.795	132.03
21.798	92.745
20.017	57.828
18.367	31.643
16.196	1.0911
14.633	-19.641
12.071	-46.918
8.2936	-91.655
2.475	-184.41
0.82502	-214.95
-0.30396	-240.05
-2.0842	-274.97
-3.908	-319.7
-5.1237	-350.26
-6.9474	-397.18
-9.1186	-444.1
-11.116	-485.54
-12.462	-506.27
-14.242	-536.83
-17.152	-579.4
-19.323	-611.02
-21.103	-629.57
-23.361	-649.23
-25.489	-662.31
-28.006	-668.89
-29.743	-674.32
-32.263	-676.5
-33.696	-679.79
-33.434	-640.51
-33	-588.11
-32.263	-535.76
-31.481	-481.18
-30.742	-445.2
-30.135	-420.09
-29.136	-378.63
-26.617	-285.88
-25.489	-248.78
-24.229	-211.68
-23.187	-183.31
-21.754	-142.94
-20.321	-111.3
-18.758	-84.018
-17.455	-61.102
-15.675	-32.734
-13.765	-4.3646
-11.116	32.734
-6.7737	89.476
-4.7765	113.48
-1.9106	156.04
0.43421	205.14
2.0842	238.96
3.9949	284.79
5.9487	327.34
7.9461	363.35
9.6396	389.54
11.246	412.45
13.2	438.64
15.936	473.58
19.67	517.21
22.84	551.02
25.705	575.04
28.138	592.47
30.698	604.48
33.868	613.2
33.609	556.49
32.913	485.54
32.393	459.39
31.351	410.27
30.569	376.44
29.83	348.07
28.832	308.79
28.224	269.51
27.572	241.14
26.444	202.95
24.316	144.03
22.275	102.57
20.495	65.47
19.149	44.738
17.455	18.549
15.545	-8.7292
13.461	-30.552
9.5527	-67.65
7.0343	-102.57
5.5146	-127.66
3.1697	-170.22
1.954	-194.22
1.0421	-210.59
0.73817	-217.14
-0.95527	-249.87
-3.0831	-292.42
-4.8633	-321.89
-6.4265	-355.71
-8.2067	-387.35
-10.942	-434.28
-12.766	-461.57
-14.459	-484.48
-17.195	-519.39
-22.709	-577.22
-25.141	-603.42
-28.181	-629.57
-30.96	-645.94
-32.565	-654.7
-33.825	-661.24
-33.782	-650.34
-33.566	-611.02
-33.132	-577.22
-32.045	-497.55
-31.351	-456.1
-30.439	-413.54
-29.484	-375.35
-27.747	-312.07
-26.66	-278.24
-25.489	-238.96
-24.446	-206.23
-22.406	-150.58
-20.495	-103.66
-18.107	-60.012
-16.283	-31.643
-14.155	-4.3646
