"Mugaruma et al. 1989, Spec. BH1"	
456	
-0.05	-0.073832
-0.1	-0.31565
-0.12	-0.55495
-0.12	-0.6236
-0.13	-0.74576
-0.15	-0.84831
-0.15	-0.95409
0.05	24.805
0.28	49.931
0.56	74.782
0.84	99.672
1.23	125.43
1.63	150.72
2.13	176.44
2.73	202.13
3.55	228.16
3.82	235.66
4.19	244.92
5.09	245.77
5.21	241.56
5.48	229.55
5.29	207.9
4.69	182.07
4.12	156.34
3.39	130.28
2.84	104.32
2.26	78.942
1.8	53.161
1.37	27.686
0.97	2.2163
0.59	-23.061
0.26	-48.317
-0.01	-73.578
-0.42	-99.082
-0.81	-124.29
-1.25	-149.95
-1.9	-176.02
-2.6	-202.12
-3.46	-228.69
-3.98	-240.31
-4.51	-250.05
-5.25	-255.54
-6.91	-239.11
-6.54	-209.75
-5.94	-183.67
-5.11	-157.55
-4.31	-130.92
-3.51	-105.2
-2.76	-79.044
-2.04	-53.38
-1.43	-27.602
-0.89	-2.0339
-0.42	23.617
0.09	49.296
0.55	74.588
1.1	100.33
1.64	126.06
2.3	152.05
3.16	178.79
4.2	205.36
4.97	224.5
5.31	228.23
5.24	207.62
4.64	181.49
4.07	156.02
3.28	129.79
2.61	103.79
1.96	77.626
1.43	52.088
0.94	26.576
0.45	0.70837
0.04	-24.379
-0.45	-49.823
-0.95	-75.554
-1.49	-101.35
-2.17	-126.86
-2.92	-153.16
-3.8	-179.61
-5.01	-206.52
-5.28	-212.15
-5.25	-202.8
-4.99	-182.02
-4.27	-153.78
-3.62	-129.72
-2.81	-103.84
-2.1	-78.045
-1.55	-52.177
-1.03	-26.568
-0.57	-1.0977
-0.09	24.535
0.33	49.703
0.85	75.607
1.31	101
1.9	126.89
2.6	152.7
3.34	178.97
4.53	205.94
5.31	224.03
6.06	232.92
6.56	236.9
8.06	244.4
9.33	245.62
10.35	245.27
10.3	220.43
9.62	194.54
8.68	167.51
7.71	140.76
6.69	113.99
5.55	87.584
4.46	59.825
3.07	32.054
1.98	5.0219
1.18	-21.42
0.48	-47.327
-0.19	-73.445
-0.89	-99.717
-1.6	-125.72
-2.42	-151.78
-3.39	-178.5
-4.77	-205.8
-5.79	-224.51
-6.63	-233.94
-8.27	-245.36
-8.91	-247.07
-10.07	-249.21
-10.64	-249.38
-11.14	-220.66
-10.47	-194.54
-9.51	-168.08
-8.41	-140.93
-7.26	-114.06
-5.99	-86.301
-4.65	-58.797
-3.2	-31.605
-1.98	-4.3395
-1.12	21.861
-0.36	48.147
0.39	74.266
1.2	100.45
2.11	126.98
3.18	153.83
4.7	182.04
6.74	210.86
7.52	217.5
9.17	231.65
10.03	235.25
2.33	22.362
0.82	-21.865
0.03	-47.732
-0.82	-75.118
-1.65	-101.54
-2.64	-128.07
-3.87	-155.71
-5.37	-183
-7.37	-211.38
-8.48	-217.17
-9.18	-224.4
-10.66	-234.93
-10.75	-219.73
-10.21	-193.85
-9.24	-167.25
-8.14	-140.84
-7.07	-113.46
-5.78	-86.398
-4.49	-58.77
-3.2	-31.733
-1.93	-4.348
-1.04	21.967
-0.25	48.54
0.52	73.896
1.4	100.92
2.32	127.48
3.51	154.87
5.23	183.41
7.55	210.42
8.54	221.41
10.21	231.1
11.83	237.41
13.36	239.92
14.8	242.42
14.99	230.11
14.62	205.96
13.62	179.61
12.64	152.95
11.46	125.04
10.05	97.906
8.35	69.457
6.18	39.869
3.85	8.9917
2.32	-18.325
1.11	-45.988
0.04	-72.966
-1.02	-99.045
-2.17	-126.82
-3.58	-154.25
-5.61	-183.46
