"""Thompson and Wallace, 1994, C3"""	
827	
0.01778	-0.882527046
-0.00762	-1.941203644
-0.07874	-4.276074847
-0.1778	-6.692348495
-0.30226	-8.755878216
-0.32512	-9.977804525
-0.3556	-10.46621919
-0.31496	-8.403134291
-0.24892	-6.448141162
-0.17272	-4.357477292
-0.10922	-2.267258244
-0.08636	-0.502204151
0.05588	2.782807058
0.11176	4.248940699
0.16256	6.04112894
0.19304	7.832872359
0.26162	8.755878216
0.2159	6.665214346
0.14986	5.063409964
0.10668	3.624410471
0.0635	1.805532904
0.0127	0.339399262
-0.02286	-0.013789485
-0.03556	-1.126734379
-0.09144	-3.054593361
-0.1778	-5.470867008
-0.32004	-8.430268439
-0.35306	-10.38481675
-0.35814	-10.27628015
-0.3048	-8.376000143
-0.28448	-6.04112894
-0.1651	-4.086135811
-0.10668	-2.728538761
-0.03556	0.149460226
0.00254	2.837075354
0.10922	4.520727002
0.17526	6.068263088
0.2032	7.50681776
0.20066	8.212750432
0.18796	5.308062119
0.1524	4.737800187
0.10668	3.48873973
0.03302	1.316673416
-0.01016	-0.176594374
-0.00762	-0.36653341
-0.02032	-0.502204151
-0.19812	-5.525135304
-0.38354	-12.12273669
-0.53848	-15.73335768
-0.69088	-19.31728934
-0.8763	-22.41236151
-0.78994	-18.23147859
-0.61468	-13.50702307
-0.4699	-9.353274297
-0.3302	-4.411745588
-0.1651	0.855392898
0.04572	6.339604569
0.17272	9.760286518
0.31242	13.88734596
0.4191	17.49841177
0.62992	21.10947758
0.64008	19.10021615
0.47752	14.4033396
0.29464	9.869267933
0.1905	5.796476785
0.07874	3.027459213
-0.01016	-0.068057781
-0.14224	-2.972746094
-0.38862	-8.755878216
-0.50038	-13.39848647
-0.65278	-17.55268007
-0.81026	-21.40795321
-0.8255	-20.07749031
-0.72136	-14.97315671
-0.52324	-10.95507868
-0.36576	-5.498001156
-0.21082	-1.534191423
-0.00254	4.303208995
0.1016	8.022811396
0.26162	12.23127328
0.42418	16.4664245
0.57912	19.80614882
0.66548	20.81055713
0.49784	16.05941228
0.33528	11.36253572
0.2286	7.289744575
0.09652	3.760081211
-0.02032	0.285130966
-0.05334	0.095191929
-0.14478	-1.751264608
-0.48006	-12.36694402
-0.84328	-20.83769127
-1.10236	-26.64795754
-1.42494	-30.74743802
-1.6764	-33.35409552
-1.78562	-33.81537604
-1.58242	-28.71148727
-1.39192	-23.66142197
-1.19126	-18.8012957
-0.99314	-13.99588255
-0.82042	-8.56593918
-0.48768	-0.475070003
-0.14732	7.941408951
0.16764	13.50702307
0.47752	19.29015519
0.77724	24.91048242
1.13538	28.9556946
1.3589	31.58904143
1.59004	33.6797053
1.45542	28.68435312
1.22936	24.15028145
0.9906	18.99167956
0.82296	14.89175426
0.61468	9.73315237
0.3556	2.89134365
0.0508	-4.357477292
-0.04826	-6.068263088
-0.07366	-6.122531384
-0.36576	-11.57960891
-0.6477	-17.7426191
-0.96266	-22.87408685
-1.2954	-28.63008482
-1.63068	-33.48976626
-1.71958	-32.78383359
-1.5367	-26.75649414
-1.24206	-20.48494735
-1.00076	-14.37620545
-0.76708	-8.728744068
-0.47498	-0.692143188
-0.11684	7.018403094
0.1778	12.99147425
0.48514	18.61135666
0.8636	24.12314731
1.21412	29.22703608
1.56718	33.9514916
1.33096	26.78362829
1.04648	19.67047808
0.69088	12.31267573
0.40132	5.552269452
0.14478	-1.72413046
-0.06604	-5.362330416
-0.05842	-5.470867008
-0.1143	-7.045537242
-0.65024	-16.90101569
-1.143	-25.26322635
-1.68656	-33.02804093
-2.2098	-39.70704476
-2.62128	-41.66203789
-2.77622	-41.41783055
-2.53238	-35.71610088
-2.26314	-29.9601029
-1.83642	-20.91909372
-1.4097	-9.217603556
-0.87122	-1.289539268
-0.25908	7.479683612
0.24892	15.89660739
0.77216	23.52575122
1.29032	30.47609654
1.83896	36.55770429
2.41554	40.95610521
2.53238	39.05538038
2.35966	34.95589991
2.11074	30.25902335
1.70942	21.97821514
1.2065	12.20413914
0.7493	4.303208995
0.24384	-3.217398249
-0.05842	-7.642933322
-0.05334	-7.67006747
-0.30226	-11.6338772
-0.79756	-19.91468542
-1.3208	-27.05496977
-1.87198	-33.27269308
-2.21996	-36.80191162
-2.5527	-40.25017254
-2.81178	-41.93337937
-2.6035	-36.99229548
-2.40792	-32.89237018
-2.11074	-27.13681703
-1.66116	-18.122942
-1.23952	-8.131347988
-0.6604	-0.447935855
-0.11938	8.267018729
0.39878	16.33075376
0.91186	23.30823322
1.43256	29.47168824
1.88214	34.16856479
2.24536	37.69822815
2.46888	39.81558135
2.60604	39.81558135
2.4511	36.0145765
2.28346	32.94663848
1.9558	26.34948192
1.45796	17.19949132
0.95504	7.53439673
0.52324	1.534191423
0.00508	-6.366738717
-0.07366	-7.045537242
-0.54864	-15.70622353
-1.24206	-25.80635413
-1.99898	-34.08716235
-2.7432	-42.5579096
-3.5179	-47.6079749
-3.82778	-47.4994383
-3.6322	-43.53518375
-3.50266	-40.57578232
-3.32232	-37.88816719
-3.06578	-33.08230922
-2.67462	-25.69781754
-2.00152	-15.73335768
-1.3208	-6.991268946
-0.52578	4.683531891
0.1524	14.37620545
0.89408	23.60715367
1.68148	32.21357166
2.45618	39.81558135
3.24104	45.30023784
3.68046	47.25478615
3.56108	43.4537813
3.39344	39.97883106
3.19532	36.28636281
2.87782	30.74743802
2.55524	25.99629317
2.02184	17.38987518
1.31064	9.488945037
0.70104	1.588459719
0.0508	-7.751469915
-0.01016	-8.131347988
-0.39878	-14.4033396
-1.09728	-23.63428782
-1.79324	-30.74743802
-2.43332	-36.69337503
-3.04546	-41.60776959
-3.5179	-45.87005495
-3.76174	-45.8429208
-3.41884	-39.65277646
-3.05562	-32.70243115
-2.55778	-23.76995856
-1.88468	-14.43047375
-1.19888	-5.633671897
-0.40386	5.416598712
0.29464	14.78321767
1.016	22.95548929
1.77292	30.80170631
2.56794	37.61638089
3.18262	42.47650715
3.62966	45.95190222
3.55346	41.96051352
3.22326	36.4491677
2.85496	29.44455409
2.37998	22.68414781
1.778	14.077285
1.07442	6.339604569
0.4318	-2.185410977
-0.01016	-8.022811396
-0.00254	-7.860006507
0.00254	-8.022811396
-0.7874	-19.67047808
-1.89992	-31.37196825
-3.05054	-41.68917203
-4.09194	-49.64392565
-5.04698	-54.28697873
-5.49402	-55.15571629
-5.7404	-55.53559436
-5.95122	-55.42705777
-5.75056	-51.40897974
-5.51688	-47.41803586
-5.3213	-44.10544568
-5.09524	-40.49437987
-4.89204	-37.18223452
-4.63296	-33.43549797
-4.42214	-30.17762091
-4.0386	-26.32190295
-3.18516	-18.34001518
-2.32156	-8.891548957
-1.397	-0.013789485
-0.44958	10.3576826
0.58928	22.08675173
1.77546	32.75669944
3.00228	41.63490374
3.8989	47.30905445
4.572	50.18705343
5.11048	52.11491241
5.40512	52.84797923
5.6515	53.47250946
5.9182	54.25984458
5.76834	50.40412662
5.53974	45.92476807
5.3086	42.96536664
4.9911	38.18664282
4.44754	30.44896239
3.89382	24.55729367
3.35026	20.48494735
2.74574	15.78762597
2.09804	10.05920697
1.4732	4.113269959
0.80772	-2.75567291
0.09398	-10.16774356
0.06858	-9.814999637
0.06096	-9.73315237
-0.67056	-18.82887467
-1.77546	-29.25417023
-2.94132	-37.75249645
-4.12496	-45.32737199
-5.32638	-51.84312611
-5.74802	-50.10565099
-5.10032	-39.54423987
-4.45516	-29.90583461
-3.82524	-23.71569026
-3.15722	-17.90542399
-2.4384	-11.79668209
-1.5748	-3.732947063
-0.50292	7.479683612
0.5969	19.53436252
1.73228	29.33557267
2.95402	37.61638089
4.19354	44.78424421
5.09524	49.37258417
5.83946	52.6580402
5.41528	44.02404324
4.6863	33.51690041
3.99796	24.93761657
3.26898	19.67047808
2.5654	14.37620545
1.88214	8.321731847
1.27254	2.864209502
0.65278	-3.570142175
0.09398	-9.217603556
0.05334	-9.16333526
0.08382	-9.02766452
0.09144	-8.891548957
-0.87884	-21.21801417
-2.46634	-33.97862575
-4.0894	-44.37678716
-5.69976	-53.09218657
-7.4676	-57.76192897
-8.26262	-51.92497338
-7.95274	-47.4994383
-7.65048	-42.91109834
-7.2136	-36.96516133
-6.64464	-30.44896239
-6.0198	-25.86062243
-5.40004	-21.32655076
-4.70154	-17.49841177
-4.02082	-13.15427914
-3.3528	-9.136201112
-2.13868	-0.610740743
-0.87122	10.41195089
0.65532	23.63428782
2.11582	34.24996723
3.44424	41.30884914
4.40436	45.97903637
5.36448	49.8885778
6.27888	53.25499146
7.0231	54.74825925
7.70382	55.31852118
8.12292	55.45419192
8.34136	55.29138703
8.39978	54.47691776
8.32358	52.79371094
8.23468	51.81599196
8.1788	50.45883974
8.09498	49.64392565
8.02894	48.39531001
7.68096	43.39951301
7.0612	35.66183258
6.36778	28.19549363
5.69468	24.39448879
5.00888	20.70202053
