"Mugaruma et al. 1989, Spec. AH1"	
5.04	133.76
9.6	169.9
16.24	204.85
18.09	214.23
19.86	219.21
22.01	222.44
25.12	225.33
25.4	216.26
25.27	206.77
24.21	179.15
23.01	151.77
21.62	123.16
20.05	95.504
18.11	65.401
15.2	33.788
11.69	1.9642
7.15	-33.551
2.69	-68.884
-1.58	-103.74
-6.22	-140.15
-12.81	-181.7
-15.33	-192.29
-18.93	-205.49
-21.65	-209.73
-25.03	-212.7
-25.52	-204
-25.13	-188.4
-23.95	-160.69
-21.65	-113.63
-21.07	-104.08
-19.4	-75.537
-16.92	-44.115
-13.84	-12.094
-9.65	24.281
-4.82	57.72
0.42	97.177
4.19	124.15
6.5	139.54
8.93	155.97
12.59	176.23
15.47	191.41
18.11	201.35
20.73	210.22
23.95	216.42
26.27	219.5
28.41	218.91
30.08	219.67
30.37	211.24
29.72	189.8
28.53	161.97
28.25	156.15
27.17	133.91
25.62	105.91
23.79	76.434
21.03	44.969
17.19	12.204
11.85	-23.365
4.72	-64.279
1.77	-82.683
-2.16	-107.57
-8.03	-145.89
-12.93	-171.52
-15.49	-181.1
-18.86	-192.59
-21.33	-198.48
-23.78	-204.33
-26.69	-210.33
-29.01	-209.03
-30.32	-208.29
-31.11	-198.29
-30.32	-175.18
-29.03	-146.9
-27.6	-119.28
-25.95	-90.473
-23.76	-59.844
-20.87	-28.373
-16.27	6.9639
-9.66	48.996
-1.76	91.941
5.38	130.07
8.57	145.42
12.57	167.18
15.57	179.22
19.27	192.12
23.46	202.5
27.07	210.09
30.34	212.44
34.92	214.05
35.52	200.13
34.53	171.27
33.19	142.94
31.69	115.28
29.99	86.359
27.68	56.085
24.13	21.723
18.89	-10.463
9.99	-53.351
-0.04	-102.32
-7.7	-136.71
-13.22	-158.02
-17.76	-175.01
-21.31	-186.44
-24.66	-191.89
-29.54	-200.03
-32.63	-200.8
-35.18	-201.64
-36.21	-190.53
-35.09	-158.22
-33.72	-131.35
-32.17	-102.71
-30.18	-72.372
-27.83	-42.148
-24.22	-8.84
-17.73	31.52
-6.44	83.83
4.84	126.81
13.35	157.88
19.17	177.01
23.46	187.79
