"""Thompson and Wallace, 1994, D2"""	
875	
0.1397	-0.285130966
0.09906	-1.507057275
0.01524	-4.167538255
-0.08636	-7.018403094
-0.23368	-10.84654209
-0.33528	-13.96874841
-0.3937	-15.57055279
-0.3175	-12.25840743
-0.23114	-8.864414809
-0.15494	-6.04112894
0	-1.343807564
0.11176	1.751264608
0.18542	3.651544619
0.25654	5.877879229
0.34036	8.430268439
0.37846	10.84654209
0.51308	13.47988892
0.4699	10.95507868
0.37084	7.479683612
0.28702	4.629263595
0.18034	1.696996312
0.1016	-0.013789485
0.11684	-0.583606595
0.07366	-1.669862163
-0.00762	-4.819202631
-0.09398	-7.289744575
-0.254	-11.79668209
-0.37338	-14.91888841
-0.4191	-14.70181523
-0.2794	-11.17215186
-0.17018	-7.968543099
-0.07112	-4.98200752
0.07112	-0.393667559
0.12954	1.534191423
0.19558	3.977599218
0.25146	6.692348495
0.37084	9.000085549
0.4699	12.09560254
0.52578	12.93720596
0.44958	9.923536229
0.35052	6.421007014
0.24384	3.977599218
0.15748	1.316673416
0.0889	-0.095191929
0.08382	-0.36653341
-0.00762	-4.438879736
-0.28194	-12.9643401
-0.54102	-20.4578132
-0.79502	-26.59368925
-1.04902	-31.23629751
-1.1176	-30.25902335
-0.88138	-22.62987952
-0.64516	-15.76049183
-0.4191	-8.70160992
-0.14986	-0.502204151
0.08128	5.144812409
0.32258	11.30826743
0.56388	16.87388154
0.8001	22.35809321
1.03886	26.07769561
1.23698	28.14122533
1.01092	20.59348394
0.7747	14.05015085
0.53594	7.941408951
0.30988	1.045331935
0.14732	-2.864209502
0.00508	-6.393872865
-0.32004	-15.16354057
-0.57658	-21.35368491
-0.8001	-25.88775658
-1.03886	-30.3404258
-1.14046	-30.61176728
-0.9144	-22.7926844
-0.66294	-15.86947324
-0.42926	-9.461810889
-0.14986	-1.914069496
0.07366	4.194672403
0.28702	9.706018222
0.53086	15.65195523
0.76962	20.83769127
0.9906	24.34022049
1.23444	28.24976193
1.02362	21.10947758
0.78994	14.62041278
0.51054	7.642933322
0.28448	1.72413046
0.17018	-2.701404613
0.11176	-3.732947063
0.03556	-6.556677754
-0.44958	-19.39869178
-0.89408	-27.16395118
-1.32334	-34.49417457
-1.67132	-38.64836816
-1.93548	-41.55350129
-2.18694	-43.61658619
-2.1209	-39.76131305
-1.88976	-34.27710138
-1.62306	-27.97842045
-1.1811	-18.23147859
-0.762	-7.778604063
-0.30988	2.294392392
0.09652	9.461810889
0.51308	16.90101569
0.92964	24.06843419
1.35636	31.23629751
1.69926	34.41277212
1.92278	36.63910673
2.12344	38.45842912
2.24028	38.02383793
2.03454	33.32696138
1.85674	28.27689607
1.62306	23.98703174
1.44526	19.75188053
1.1303	11.85095039
0.74676	2.782807058
0.44704	-4.38461144
0.14478	-9.299006001
-0.04826	-12.77395625
-0.49784	-20.56634979
-0.9398	-27.38102437
-1.39954	-33.29982723
-1.87706	-39.54423987
-2.12344	-41.96051352
-2.19202	-41.63490374
-2.0193	-36.77477747
-1.83388	-32.6210287
-1.64592	-29.11849949
-1.47574	-24.91048242
-1.2954	-20.97336202
-1.0541	-14.32193715
-0.65786	-6.285336273
-0.28448	1.534191423
0.04064	7.398281167
0.37846	13.34421818
0.73152	18.88314297
1.1557	25.45316538
1.62052	31.39910239
1.89738	34.46704042
2.09296	36.69337503
2.2606	38.56696571
2.18186	35.0644365
2.0066	30.77457217
1.81356	26.48515266
1.63322	22.54803225
1.37414	17.66121666
1.03632	9.950670377
0.68834	1.370941712
0.38354	-5.226214853
0.14224	-9.136201112
0.00254	-11.79668209
-0.59944	-21.86967855
-1.17348	-30.06863949
-1.61544	-35.85177162
-2.02438	-41.14604425
-2.45364	-45.19170125
-2.87782	-48.91130365
-3.23088	-51.05579099
-3.08356	-46.25037785
-2.86258	-41.60776959
-2.64922	-36.99229548
-2.413	-32.59389456
-2.1844	-28.41256682
-1.9939	-24.09601316
-1.59766	-16.43929035
-1.00584	-6.366738717
-0.34544	3.434471434
0.24384	13.20854744
0.85598	22.11388588
1.49352	30.25902335
2.15646	37.80676475
2.84226	43.99690909
3.2639	46.2232437
3.0734	40.95610521
2.81178	35.52616184
2.54762	30.61176728
2.28092	25.45316538
1.8669	17.82402155
1.23698	6.47527531
