"Sugano 1996, No.UC15L"	
992	
1.464890174	201
1.728143496	223
2.045264083	249.75
2.461614553	280.25
2.895789971	302.75
3.078048003	312
3.280558114	321.75
3.487524822	330.5
3.676671809	338
3.865415065	344.25
4.083727099	350
3.860959737	327.25
3.579870516	305
3.12098004	270.75
2.592028666	230.25
2.189447276	195
1.696553038	147
1.24416317	97.5
0.695385554	34
0.389205097	-1.25
0.00891	-47.75
-0.416340119	-98
-0.821340912	-140.25
-1.158707561	-176
-1.354324089	-195
-1.592871653	-217
-1.818054892	-235.75
-2.054174268	-255.75
-2.362386702	-278.5
-2.690852071	-300.25
-2.895789971	-311.5
-3.06468238	-317
-3.231145528	-325.75
-3.44945256	-335.5
-3.642649559	-344
-3.843138431	-351
-4.061450275	-357
-3.847593757	-331.5
-3.532482557	-307.5
-3.111664593	-275.5
-2.758489551	-248.5
-2.304065134	-211.25
-1.935101928	-176.75
-1.543461053	-137.25
-1.095932167	-88.75
-0.704295575	-44.25
-0.36450008	-6.75
-0.085455001	22.5
0.078570001	44
0.371385084	78.5
0.810000875	123.5
1.19232279	164.5
1.628917115	207
2.027443718	237.5
2.310950315	259.25
2.477410029	271
2.697737318	284.5
2.81478671	290.75
3.021750417	302.25
3.231145528	309.5
3.426771236	319.25
3.660875759	329.5
3.852049083	336.5
4.0006954	340.75
4.304471277	350.75
4.493219314	354.75
4.756497128	357.25
4.93876828	359
5.080535849	359.75
5.231620682	360.25
5.5329838	361.75
5.658958279	362.25
5.933593844	362.5
6.095622786	361.75
5.908884567	338.75
5.632224071	320.75
5.364074039	304.5
4.846822411	275.5
4.261537388	243.25
3.498865505	196.75
2.805876362	151
2.187017219	109
1.628917115	60.5
1.282638473	29.25
0.918136274	-2.25
0.659340472	-25.25
0.416340119	-49.5
0.17982001	-73.25
-0.072090001	-96.75
-0.465750166	-135.25
-0.842805985	-167.5
-1.219457985	-199.75
-1.604211796	-232
-2.01812853	-259
-2.43002362	-286.25
-2.794535923	-306.25
-3.116119806	-322
-3.300809197	-326.5
-3.465248492	-333
-3.591211236	-337.75
-3.818431641	-346
-3.986924315	-350.75
-4.265992788	-358.25
-4.504560447	-359
-4.660096575	-360
-4.799431967	-360.75
-5.026664055	-363.25
-5.25187343	-364.25
-5.443060427	-365
-5.764680309	-363.75
-6.062001652	-363.5
-5.827870792	-333
-5.51273075	-313.5
-5.292378989	-301.5
-4.99061459	-284.75
-4.479852986	-257
-3.915233789	-226.25
-3.19509869	-183.75
-2.549097265	-143.25
-2.038378941	-107.75
-1.590846627	-77.25
-1.158707561	-42.5
-0.76950075	-8.75
-0.479115181	14.25
-0.150660006	40.5
0.301320045	79.5
0.825795927	119.25
1.230798069	151.25
1.66293757	184
1.96871756	205.25
2.37818214	228.5
2.740668885	249.5
3.161482013	270.25
3.505750922	282.25
3.919689126	299.5
4.410186189	312.5
4.794976461	324
5.058258022	329.75
5.393643263	337.25
5.643160788	341.75
6.005696531	344.75
5.767110708	321.75
5.436174421	300.75
4.925401674	271.5
4.317837504	236.75
3.602146935	195.75
2.927381293	153
2.189447276	105.75
1.428844802	47
1.1340024	23
0.789750811	-2
0.513135222	-23
0.027135	-64.75
-0.443070143	-102.75
-0.940411369	-137.5
-1.390369424	-171.5
-1.7078932	-194
-2.103585322	-215.75
-2.481865164	-238.75
-2.875539138	-259.75
-3.350221896	-278.25
-3.730540458	-294
-4.034313079	-305
-4.428007907	-317.5
-4.812798492	-325.75
-5.305745842	-337.5
-5.717692662	-342.25
-6.003266098	-346
-5.780477908	-321
-5.429693476	-299.75
-4.936743036	-271.75
-4.374137755	-241.5
-3.802635508	-209.25
-3.00149951	-162.5
-2.364816769	-122.25
-1.806714708	-83.75
-1.345414009	-51
-1.057456946	-29.25
-0.780840784	-8.5
-0.315090051	27.5
-0.05832	45
0.490455194	88.5
0.972001512	121.75
1.566141323	165.25
1.975602693	193.25
2.432453691	218.5
2.794535923	238.25
3.212919593	255.75
3.61591782	274
3.996240048	289
4.486738669	307
4.871530292	314.5
5.276581811	325.25
5.66786969	335
6.100078605	339.25
6.482878439	344.75
6.851914455	348.5
7.250127224	349.75
7.686837517	349.25
8.078187584	349.25
7.972448964	329.25
7.756518027	316
7.459568161	299.5
6.926046825	274.5
6.361353692	248
5.377846001	203.75
4.630528425	170.5
4.083727099	145.75
3.136370784	101.25
2.382637265	58.5
1.907966433	27.5
1.368094215	-2.75
1.354324089	-2
0.904366218	-33.5
0.524070237	-60.75
0.085455001	-88.5
-0.456840157	-125.5
-0.915706264	-154.75
-1.253073239	-172.25
-1.640257264	-195.75
-1.988967952	-215
-2.454729348	-236
-2.88242442	-256.5
-3.273672749	-272.5
-3.696923168	-285.5
-4.074816367	-298.5
-4.484308427	-310.75
-4.941198573	-319.5
-5.269695866	-326.5
-5.67718617	-334
-6.039317552	-336.5
-6.489359785	-341.75
-6.905792042	-344.5
-7.400827151	-343
-7.794599394	-342.5
-8.154757486	-340
-8.010936099	-314
-7.659694627	-295
-7.148851308	-269.75
-7.13305233	-270.75
-6.34312506	-233
-5.501389051	-196.75
-4.553975453	-158.75
-3.568529801	-117
-2.639415267	-76.25
-1.984512865	-41.25
-1.313823733	-8
-0.731430644	27.5
-0.281070037	55.5
0.130410004	77
0.643545439	108.25
1.19232279	136.75
1.793349494	170.75
2.45918448	200.75
2.835037508	218.25
3.233170632	232.25
3.660875759	250.25
4.020947008	263
4.432463339	277
4.979273198	289.5
5.339365545	299.25
5.699464729	307.5
6.09116697	316
6.561464944	320.5
6.84502786	324.5
7.27281313	330
7.722893084	331.5
8.064818284	332.75
7.918567171	315.75
7.479823741	291
6.912678665	262.5
5.953847377	218
5.040030727	177.25
3.82977246	124
3.00149951	87.5
1.935101928	32.25
1.251048223	-1.75
0.589680338	-39.25
-0.02025	-71
-0.861841054	-119.5
-1.628917115	-157.75
-2.445819083	-193
-3.271647642	-229.25
-4.081701932	-256
-4.871530292	-276.5
-5.460883043	-291.5
-6.02595015	-300.75
-6.482878439	-309.25
-6.878650677	-315.5
-7.358290715	-318
-7.774343334	-320.25
-8.138957309	-320.5
-8.035648952	-301.5
-7.412170223	-268.5
-6.680560721	-234.25
-5.951416952	-201
-5.179773745	-166.75
-4.083727099	-121.25
-3.215349717	-83.25
-2.351451402	-44
-1.55925624	-8.5
-0.80554586	31.5
-0.036045	73
0.760590724	112.5
1.651597416	155.5
2.421113361	188
3.300809197	222.5
4.0006954	248.75
4.781609948	268.75
5.30817618	284
6.005696531	300.25
6.777377365	311.75
7.479823741	319.5
8.024305341	325.5
8.514926022	328.5
8.954111457	327.75
9.271356514	328.5
9.73731432	330
10.14940045	327.5
10.52300748	325
10.98902361	326.5
11.65769686	322.75
12.17321811	317.5
11.99529489	295.5
11.34929044	264
10.49140026	228.75
9.548092472	195.25
8.514926022	160.75
6.955213762	119.25
5.404579838	79.25
4.333633963	47.5
3.519116736	19
2.875539138	-1.75
1.944012093	-37.5
1.21054792	-64.5
0.555660282	-92.5
-0.05184	-113.75
-0.877636113	-149.25
-1.597326709	-173.75
-2.42313842	-205
-3.150141455	-226.5
-4.079271733	-251
-4.920946141	-269.5
-5.751313121	-287.25
-6.491790291	-297.25
-7.335604669	-305.25
-8.057931075	-310.25
-8.661184274	-313
-9.021368276	-313.75
-9.359279175	-314
