"""Mo and Wang, 2000 Test C1-3"""	
4.2715	-76.66
-7.615	-120.85
-21.139	-179.93
-34.639	-231.2
-47.715	-273.19
-61.5495	-300.05
-54.107	-213.62
-40.253	-110.6
-27.119	-26.61
-19.044	30.03
-5.46	59.57
7.4305	91.31
21.284	142.58
34.679	191.89
48.094	232.91
61.6895	263.43
54.2315	179.44
40.2635	88.38
28.0025	13.43
19.044	-44.19
5.46	-74.95
-7.4305	-118.9
-21.284	-173.83
-34.679	-223.88
-48.094	-263.18
-61.6895	-293.21
-54.2315	-208.5
-40.2635	-106.45
-28.0025	-25.39
-6.9405	29.79
-18.2925	29.79
-4.381	52.25
9.2215	93.26
23.4795	146.97
38.8	197.02
53.208	238.04
68.1845	262.7
59.46	170.17
44.793	76.9
29.612	4.15
18.2925	-55.42
4.381	-85.21
-9.2215	-127.44
-23.4795	-184.57
-38.8	-232.67
-53.208	-272.22
-68.1845	-297.61
-59.46	-205.81
-44.793	-97.66
-29.612	-15.38
-16.945	36.13
-5.445	62.74
9.167	93.51
24.108	141.6
38.7505	187.01
53.3825	225.1
68.3545	252.44
59.405	164.06
44.9625	72.51
29.5075	4.15
16.945	-53.71
5.445	-83.01
-9.167	-124.76
-24.108	-178.47
-38.7505	-224.12
-53.3825	-261.23
-68.3545	-290.04
-59.405	-198.49
-44.9625	-92.77
-29.5075	-13.43
-5.7135	36.38
-18.139	36.38
-4.4165	56.15
10.055	94.24
26.4185	144.29
42.2475	191.89
58.6165	230.71
74.521	254.15
65.581	159.18
48.6445	62.01
33.1145	-2.2
18.139	-55.66
4.4165	-90.09
-10.055	-131.84
-26.4185	-186.52
-42.2475	-233.15
-58.6165	-268.31
-74.521	-292.97
-65.581	-194.34
-48.6445	-82.28
-33.1145	-3.91
-19.7475	43.21
-5.8985	63.96
10.2745	93.99
26.413	139.65
42.203	183.84
58.8955	220.21
75.0195	245.36
65.277	153.32
49.0085	58.84
32.88	-1.71
19.7475	-47.36
5.8985	-87.89
-10.2745	-128.66
-26.413	-181.15
-42.203	-225.34
-58.8955	-260.5
-75.0195	-286.87
-65.277	-189.21
-49.0085	-78.86
-32.88	-1.95
-6.787	42.48
-20.7955	42.48
-5.226	59.57
11.147	94.24
28.5535	140.62
46.3885	187.01
63.535	224.37
81.765	246.09
71.249	147.95
53.3895	50.78
38.4775	-7.32
20.7955	-48.34
5.226	-94.48
-11.147	-135.25
-28.5535	-187.74
-46.3885	-229.74
-63.535	-264.65
-81.765	-289.31
-71.249	-185.3
-53.3895	-71.04
-38.4775	3.42
-23.9335	47.36
-6.134	66.65
10.8375	93.75
28.7575	136.72
46.548	181.15
63.685	215.33
82.1445	238.53
71.1645	143.07
54.078	47.85
38.844	-6.35
23.9335	-37.11
6.134	-90.58
-10.8375	-132.81
-28.7575	-183.35
-46.548	-223.39
-63.685	-257.57
-82.1445	-282.71
-71.1645	-179.44
-54.078	-68.12
-38.844	3.66
-9.52	46.14
-24.342	46.14
-5.0105	61.04
11.9105	93.75
31.292	137.21
50.11	182.37
69.198	218.02
88.1015	238.77
77.0265	137.94
58.314	40.28
41.697	-11.96
24.342	-55.91
5.0105	-96.44
-11.9105	-138.18
-31.292	-188.23
-50.11	-227.29
-69.198	-261.23
-88.1015	-283.94
-77.0265	-173.83
-58.314	-59.08
-41.697	10.74
-25.639	48.34
-6.483	68.12
12.604	93.75
31.1075	132.81
50.3395	175.78
69.083	209.72
88.5505	230.47
77.0115	132.08
58.194	36.87
41.137	-11.47
25.639	-47.36
6.483	-93.02
-12.604	-135.5
-31.1075	-183.59
-50.3395	-221.92
-69.083	-253.42
-88.5505	-277.1
-77.0115	-168.21
-58.194	-57.13
-41.137	9.77
-10.9025	48.58
-31.3615	48.58
-10.169	61.52
3.9885	77.15
24.1335	111.57
44.8725	157.71
64.897	197.02
85.7165	222.17
92.4465	187.01
72.207	67.14
51.324	5.37
31.3615	-45.9
10.169	-79.35
-3.9885	-120.61
-24.1335	-166.99
-44.8725	-208.01
-64.897	-241.21
-85.7165	-268.8
-92.4465	-236.33
-72.207	-93.75
-51.324	-8.3
-34.764	39.06
-15.831	60.06
4.0035	77.15
24.4525	107.67
45.1165	150.15
65.441	187.01
85.746	211.67
92.821	177
71.998	61.28
51.678	3.42
34.764	-44.19
15.831	-76.42
-4.0035	-118.16
-24.4525	-162.84
-45.1165	-201.9
-65.441	-235.84
-85.746	-260.25
-92.821	-228.76
-71.998	-89.84
-51.678	-9.52
-13.471	35.64
-30.154	35.64
-5.7405	56.64
14.2655	84.72
36.3105	123.05
58.387	165.04
80.124	194.82
102.3505	208.5
88.866	105.22
67.6385	16.11
48.234	-25.63
30.154	-62.01
5.7405	-100.59
-14.2655	-140.87
-36.3105	-178.71
-58.387	-213.62
-80.124	-245.85
-102.3505	-267.33
-88.866	-147.71
-67.6385	-39.31
-48.234	17.82
-28.947	44.43
-7.132	57.13
14.6045	73.97
36.795	107.42
58.876	146.48
80.628	173.1
103.3885	185.79
89.245	86.18
67.354	5.13
48.204	-30.52
28.947	-56.4
7.132	-98.88
-14.6045	-133.54
-36.795	-164.06
-58.876	-191.16
-80.628	-203.61
-103.3885	-222.41
-89.245	-110.11
-67.354	-30.03
-48.204	5.37
-9.749	23.19
-27.19	23.19
-2.8195	32.71
16.7475	56.64
39.0855	90.58
63.0425	126.95
86.5505	151.37
110.5125	162.6
95.2015	63.48
71.584	-7.32
48.0415	-36.38
27.19	-60.79
2.8195	-92.04
-16.7475	-113.28
-39.0855	-128.66
-63.0425	-148.19
-86.5505	-149.41
-110.5125	-156.98
-95.2015	-82.28
-71.584	-34.91
-48.0415	-12.21
-27.433	-1.46
-4.5055	11.47
19.177	36.13
40.739	63.48
63.312	96.68
87.03	124.27
110.283	139.65
95.3065	43.7
72.0085	-15.38
48.1065	-36.87
27.433	-56.88
4.5055	-84.23
-19.177	-100.59
-40.739	-114.99
-63.312	-128.17
-87.03	-139.65
-110.283	-148.19
-95.3065	-76.66
-72.0085	-33.69
-48.1065	-16.85
-10.173	-9.77
