"""Mo and Wang, 2000 Test C1-3"""	
737	
-0.4788	14.77
-0.2272	26.245
1.1096	45.535
1.872	60.545
2.8484	74.095
3.2504	86.305
3.8172	93.385
3.1504	70.8
2.2488	42.115
0.9952	19.535
0.4788	-14.77
0.2272	-26.245
-1.1096	-45.535
-1.872	-60.545
-2.8484	-74.095
-3.2504	-86.305
-3.8172	-93.385
-3.1504	-70.8
-2.2488	-42.115
-0.9952	-19.535
0.214	7.08
0.9	28.075
2.1132	47.975
2.9472	58.105
3.4488	67.63
3.838	81.055
3.9128	90.825
3.074	68.36
1.8052	40.65
0.8232	18.435
-0.214	-7.08
-0.9	-28.075
-2.1132	-47.975
-2.9472	-58.105
-3.4488	-67.63
-3.838	-81.055
-3.9128	-90.825
-3.074	-68.36
-1.8052	-40.65
-0.8232	-18.435
-2.0328	8.665
-1.3636	34.3
-0.6112	51.76
0.9284	74.705
3.4104	100.22
5.7372	124.39
7.6968	154.905
6.6632	124.755
4.5324	77.275
2.4012	36.38
2.0328	-8.665
1.3636	-34.3
0.6112	-51.76
-0.9284	-74.705
-3.4104	-100.22
-5.7372	-124.39
-7.6968	-154.905
-6.6632	-124.755
-4.5324	-77.275
-2.4012	-36.38
-1.1348	5.86
-0.4508	22.58
0.6604	51.88
1.8556	67.63
3.598	90.21
5.4616	117.19
7.7848	152.835
6.4676	124.51
4.4244	79.345
2.3612	39.31
1.1348	-5.86
0.4508	-22.58
-0.6604	-51.88
-1.8556	-67.63
-3.598	-90.21
-5.4616	-117.19
-7.7848	-152.835
-6.4676	-124.51
-4.4244	-79.345
-2.3612	-39.31
1.22	-37.35
-1.0968	-5.005
0.5408	26.245
1.3428	55.91
3.2832	86.425
5.948	128.91
9.596	176.145
12.5776	210.45
10.8292	175.66
8.0796	121.83
4.348	66.405
1.0968	5.005
-0.5408	-26.245
-1.3428	-55.91
-3.2832	-86.425
-5.948	-128.91
-9.596	-176.145
-12.5776	-210.45
-10.8292	-175.66
-8.0796	-121.83
-4.348	-66.405
-1.5308	-14.77
0.2656	29.42
1.5064	54.685
3.5828	81.54
6.1084	119.265
9.5644	163.45
12.5696	206.3
10.8212	173.705
7.6964	121.34
4.5992	67.995
1.5308	14.77
-0.2656	-29.42
-1.5064	-54.685
-3.5828	-81.54
-6.1084	-119.265
-9.5644	-163.45
-12.5696	-206.3
-10.8212	-173.705
-7.6964	-121.34
-4.5992	-67.995
0.5104	-49.8
-3.3708	-34.545
-0.6968	26.12
-0.5268	48.34
2.7716	81.54
7.2572	133.425
11.1244	191.165
15.67	240.355
17.7056	245.97
12.9644	177.615
8.8976	118.04
3.3708	34.545
0.6968	-26.12
0.5268	-48.34
-2.7716	-81.54
-7.2572	-133.425
-11.1244	-191.165
-15.67	-240.355
-17.7056	-245.97
-12.9644	-177.615
-8.8976	-118.04
-4.9112	-54.81
-1.9376	9.89
-0.1956	48.95
2.9712	78.125
7.3972	126.83
11.388	178.835
15.5984	229.49
17.7176	241.945
12.9684	175.78
8.71	117.675
4.9112	54.81
1.9376	-9.89
0.1956	-48.95
-2.9712	-78.125
-7.3972	-126.83
-11.388	-178.835
-15.5984	-229.49
-17.7176	-241.945
-12.9684	-175.78
-8.71	-117.675
-1.042	-84.23
-5.148	-43.335
-0.6228	26.855
1.8376	65.675
6.6624	122.8
12.1816	186.035
17.5852	247.435
22.3152	290.16
19.8568	235.475
14.4852	163.94
9.1416	97.29
5.148	43.335
0.6228	-26.855
-1.8376	-65.675
-6.6624	-122.8
-12.1816	-186.035
-17.5852	-247.435
-22.3152	-290.16
-19.8568	-235.475
-14.4852	-163.94
-9.1416	-97.29
-4.026	-27.59
-1.926	30.155
1.818	58.475
7.0016	118.53
12.122	176.64
17.7692	232.055
23.1256	283.08
19.8252	232.3
14.3532	163.45
9.4288	99.245
4.026	27.59
1.926	-30.155
-1.818	-58.475
-7.0016	-118.53
-12.122	-176.64
-17.7692	-232.055
-23.1256	-283.08
-19.8252	-232.3
-14.3532	-163.45
-9.4288	-99.245
-0.7108	-44.43
-6.435	-44.63505
-0.7785	27.66065
2.297	67.64525
8.328	126.484
15.227	191.61605
21.9815	254.85805
27.894	298.8648
24.821	242.53925
18.1065	168.8582
11.427	100.2087
6.435	44.63505
0.7785	-27.66065
-2.297	-67.64525
-8.328	-126.484
-15.227	-191.61605
-21.9815	-254.85805
-27.894	-298.8648
-24.821	-242.53925
-18.1065	-168.8582
-11.427	-100.2087
-5.0325	-28.4177
-2.4075	31.05965
2.2725	60.22925
8.752	122.0859
15.1525	181.9392
22.2115	239.01665
28.907	291.5724
24.7815	239.269
17.9415	168.3535
11.786	102.22235
5.0325	28.4177
2.4075	-31.05965
-2.2725	-60.22925
-8.752	-122.0859
-15.1525	-181.9392
-22.2115	-239.01665
-28.907	-291.5724
-24.7815	-239.269
-17.9415	-168.3535
-11.786	-102.22235
-0.8885	-45.7629
-7.6095	-26
-1.2525	35.4
3.4095	74.34
10.7425	140.26
18.39	205.44
27.1155	267.455
34.564	305.3
30.4735	243.775
22.5165	165.89
14.9295	93.75
7.6095	26
1.2525	-35.4
-3.4095	-74.34
-10.7425	-140.26
-18.39	-205.44
-27.1155	-267.455
-34.564	-305.3
-30.4735	-243.775
-22.5165	-165.89
-14.9295	-93.75
-7.6035	-19.045
-4.1575	42.36
3.1305	71.04
10.8175	134.645
19.2785	193.24
26.911	248.78
35.033	295.655
30.8325	238.04
22.2025	161.62
14.4555	92.895
7.6035	19.045
4.1575	-42.36
-3.1305	-71.04
-10.8175	-134.645
-19.2785	-193.24
-26.911	-248.78
-35.033	-295.655
-30.8325	-238.04
-22.2025	-161.62
-14.4555	-92.895
-1.567	-26.86
-7.4565	-26.86
-0.4375	38.57
4.313	66.89
14.0555	144.29
23.1695	211.18
32.1095	273.68
40.89	304.69
36.5595	234.13
26.9915	149.41
17.059	71.78
7.4565	-3.42
0.4375	-47.36
-4.313	-96.19
-14.0555	-159.42
-23.1695	-220.7
-32.1095	-275.15
-40.89	-302.49
-36.5595	-236.57
-26.9915	-153.32
-17.059	-77.15
-8.3745	-6.1
-2.1865	47.85
4.6525	71.53
13.8165	136.96
23.125	196.04
32.6835	247.8
41.2945	290.04
36.2705	221.68
26.692	141.85
17.543	66.65
8.3745	-5.37
2.1865	-39.79
-4.6525	-90.58
-13.8165	-150.63
-23.125	-207.28
-32.6835	-257.57
-41.2945	-295.9
-36.2705	-232.18
-26.692	-149.9
-17.543	-74.71
-2.026	-5.62
-10.793	-5.62
-1.8215	47.36
5.7245	76.66
15.861	148.19
26.8415	211.18
37.5925	266.11
48.094	294.19
42.432	216.55
31.2925	129.39
20.4975	49.07
10.793	-20.51
1.8215	-44.43
-5.7245	-104.74
-15.861	-167.24
-26.8415	-225.59
-37.5925	-274.41
-48.094	-302.25
-42.432	-229.98
-31.2925	-137.7
-20.4975	-56.88
-11.5755	7.32
-4.4565	53.22
5.3355	80.81
16.495	139.89
26.9415	195.8
37.438	244.14
47.6855	280.76
42.477	206.79
31.1075	122.56
20.637	43.7
11.5755	-22.22
4.4565	-60.06
-5.3355	-102.29
-16.495	-159.91
-26.9415	-215.09
-37.438	-261.47
-47.6855	-296.63
-42.477	-225.83
-31.1075	-134.52
-20.637	-55.42
-3.3535	7.08
-14.279	7.08
-3.532	46.87
6.472	84.47
18.6	148.68
30.698	206.79
42.786	253.17
54.4305	281.01
48.115	199.46
35.9425	112.06
23.945	30.03
14.279	-35.16
3.532	-68.36
-6.472	-113.53
-18.6	-174.32
-30.698	-228.76
-42.786	-274.17
-54.4305	-302
-48.115	-222.66
-35.9425	-124.76
-23.945	-41.75
-17.1725	19.04
-5.7395	49.56
6.537	87.16
18.67	142.58
30.9775	193.6
42.826	237.3
54.71	270.75
48.3745	191.41
35.848	105.47
23.9855	26.86
17.1725	-36.62
5.7395	-70.07
-6.537	-110.84
-18.67	-167.24
-30.9775	-220.21
-42.826	-262.7
-54.71	-295.17
-48.3745	-217.04
-35.848	-120.61
-23.9855	-39.55
-5.577	19.78
-17.211	19.78
-4.2715	51.27
7.615	89.84
21.139	147.95
34.639	201.66
47.715	246.34
61.5495	273.44
54.107	186.04
40.253	92.53
27.119	13.67
17.211	-46.14
