"Paultre, Legeron, Mongequ, July-August 2001 test 1206040"	
3409	
-1.45	0.57
-1.11	5.36
-0.6	10.17
-0.22	15
0.16	19.84
0.67	24.63
1.03	29.43
1.52	34.24
2.01	39.04
2.39	43.84
2.97	48.64
3.35	53.43
3.79	58.24
4.37	63.01
4.8	67.81
5.33	72.61
5.84	77.4
6.22	82.18
6.76	86.97
7.32	91.76
7.79	96.54
8.41	101.32
8.95	106.08
9.46	110.87
9.95	115.64
10.51	120.41
10.57	121.26
10.55	115.43
10.17	110.6
9.9	105.76
9.44	100.95
9.08	96.15
8.59	91.33
8.12	86.53
7.74	81.72
7.25	76.89
6.87	72.09
6.45	67.28
5.96	62.47
5.58	57.67
5.11	52.86
4.64	48.06
4.24	43.25
3.77	38.44
3.28	33.65
2.79	28.84
2.48	24.04
2.01	19.23
1.5	14.44
1.07	9.61
0.63	4.81
0.2	0.09
-0.31	-4.69
-0.73	-9.48
-1.16	-14.3
-1.72	-19.09
-2.12	-23.88
-2.54	-28.69
-3.01	-33.47
-3.63	-38.27
-4.06	-43.06
-4.53	-47.85
-4.99	-52.64
-5.53	-57.43
-6.04	-62.23
-6.51	-66.99
-7	-71.76
-7.51	-76.54
-8.03	-81.32
-8.58	-86.09
-9.25	-90.85
-9.74	-95.61
-10.37	-100.37
-10.79	-105.12
-11.42	-109.89
-12.06	-114.64
-12.6	-119.4
-13.31	-123.41
-12.69	-114.36
-12.35	-109.54
-12.02	-104.72
-11.46	-99.91
-11.11	-95.11
-10.57	-90.32
-10.12	-85.51
-9.68	-80.72
-9.21	-75.91
-8.79	-71.11
-8.34	-66.31
-7.94	-61.51
-7.38	-56.71
-6.93	-51.91
-6.51	-47.09
-6.11	-42.29
-5.66	-37.5
-5.13	-32.7
-4.75	-27.9
-4.3	-23.11
-3.86	-18.31
-3.41	-13.5
-2.88	-8.71
-2.34	-3.91
-1.89	0.78
-1.49	5.58
-1	10.38
-0.62	15.21
-0.18	19.99
0.31	24.8
0.74	29.62
1.32	34.41
1.67	39.2
2.25	44
2.61	48.8
3.17	53.59
3.57	58.39
4.02	63.17
4.48	67.97
5.02	72.77
5.49	77.56
6.05	82.36
6.45	87.18
6.94	91.95
7.5	96.73
7.96	101.53
8.5	106.3
8.86	111.08
9.44	115.86
9.9	120.64
10.64	120.39
11.09	125.2
11.51	129.98
11.91	134.78
12.38	139.57
13.05	144.35
13.45	149.13
14.01	153.89
14.68	158.65
15.17	163.39
15.88	168.11
16.42	172.82
17.26	177.52
18	182.21
18.69	186.89
19.56	191.56
20.48	196.18
22.04	200.54
23.6	204.96
24.87	208.08
25.38	199.32
25.45	194.18
29.2	197.97
31.74	202.04
36.09	205.5
38.38	208.31
39.75	199.27
39.08	194.51
