"""Thompson and Wallace, 1994, B3"""	
787	
1.88722	23.79709271
1.17602	9.190469408
0.60198	-2.918477798
-0.06858	-14.4033396
-0.2921	-17.28089376
-0.29464	-17.30847273
-0.30734	-17.33560688
-1.21412	-30.82884046
-2.37998	-42.53077545
-3.6068	-52.90224753
-4.7371	-60.99311671
-5.98932	-65.22826792
-5.72262	-53.85238754
-5.53466	-50.45883974
-5.45084	-48.66665149
-5.32384	-47.30905445
-5.12318	-43.4537813
-4.55422	-34.08716235
-3.82016	-23.98703174
-2.6035	-12.63828551
-1.38684	-0.692143188
-0.36576	12.12273669
0.7112	26.83789658
1.84404	39.46283742
2.92608	49.15551098
3.74142	54.77539339
4.30784	57.35491675
4.64058	58.4407275
4.94284	59.79832455
5.25018	61.047385
5.22224	58.11511772
4.99618	52.73944264
4.70662	48.39531001
4.26466	40.65762958
3.56362	29.93296875
2.88798	20.48494735
2.23012	11.76954794
1.21666	-0.393667559
0.09652	-15.59768694
-0.28448	-20.15889275
-0.28702	-19.34442348
-1.19888	-31.20916336
-2.40792	-41.41783055
-3.60172	-49.64392565
-4.79044	-56.56758163
-6.00964	-63.19231717
-5.67436	-51.0015227
-4.58216	-33.97862575
-3.91668	-25.12755561
-3.45186	-20.05035616
-2.97942	-15.84233909
-2.45872	-11.52534061
-1.9812	-7.588665026
-1.47574	-2.728538761
-1.04394	1.778398756
-0.50292	8.70160992
0.3556	19.77901468
1.25222	30.44896239
2.20472	39.57137402
3.2004	46.90204222
3.91668	51.76172367
4.55422	55.56272851
5.2197	58.90245284
4.93522	51.49038219
4.29768	41.01037351
3.67792	31.72515699
3.09372	22.49376395
2.53746	15.43488205
1.97612	8.783012365
1.41732	2.076874385
0.92964	-4.411745588
0.16764	-14.3490713
-0.32766	-19.94181957
-0.37084	-20.5120815
-1.76784	-35.77036917
-3.06832	-45.65298177
-4.38912	-53.6624485
-5.71754	-60.36858648
-6.72846	-64.25099377
-7.4168	-63.21945132
-7.94258	-61.42726308
-8.20674	-57.57198994
-8.26262	-56.45904504
-8.2931	-56.29579533
-8.3185	-56.13299044
-8.36168	-56.48617919
-8.40994	-56.24152704
-8.62584	-53.6081802
-7.34568	-36.09597895
-6.07314	-21.8425444
-5.20954	-15.57055279
-4.3434	-10.71087135
-3.49758	-6.01354997
-2.6035	-0.610740743
-1.78562	5.009141668
-0.97282	11.90521868
-0.23114	19.01881371
0.59182	27.05496977
1.40716	34.73882672
2.23012	41.14604425
3.05816	46.92917637
4.0259	52.54905878
5.19176	58.14225187
6.40588	61.69904938
7.2644	62.92053087
7.5565	58.82105039
7.09168	51.62605293
6.99516	50.29559002
7.0104	50.34985832
7.00024	50.10565099
6.985	49.45398661
6.92912	48.42244416
6.63194	44.40436613
6.22554	39.10964868
5.73532	32.89237018
5.17398	26.32190295
4.5339	20.24029519
3.29946	10.54806646
1.77292	-1.507057275
0.19304	-16.11368057
-0.3048	-19.72474638
-0.32004	-19.64334394
-0.28448	-18.85600882
-1.5494	-30.61176728
-3.23088	-40.0602335
-4.89458	-46.73923734
-6.62178	-52.3319856
-8.4328	-56.26866118
-7.92734	-41.77057448
-6.52018	-24.39448879
-5.85978	-18.7470274
-5.18922	-14.53901034
-4.5339	-11.44393817
-3.87858	-7.697201618
-3.19786	-4.031867514
-2.47142	-0.149460226
-1.8669	3.515873878
-1.23952	8.457402587
-0.32004	15.95087568
0.5715	24.09601316
1.5113	32.21357166
2.48666	39.70704476
3.50012	45.54444517
4.57454	50.83871781
6.00202	56.40433192
7.4168	60.44998892
6.85292	46.73923734
5.54482	29.25417023
4.26974	17.68835081
2.98704	8.321731847
1.77038	-1.045331935
0.49022	-12.55688306
-0.254	-18.71989326
-0.27686	-18.28574689
-0.32004	-18.01396058
-0.2794	-17.90542399
-0.26924	-17.66121666
-0.36068	-19.80614882
-2.33172	-33.81537604
-4.4831	-43.31811056
-6.6548	-50.59451048
-8.79856	-55.37278947
-10.6045	-55.48132607
-11.3792	-53.90665583
-11.17346	-48.77518809
-10.7696	-43.4537813
-10.39876	-38.24091111
-10.01776	-33.35409552
-9.51484	-27.6252317
-8.72744	-20.07749031
-7.86638	-14.3490713
-6.99262	-11.06361527
-6.11378	-7.588665026
-5.26288	-4.167538255
-4.3561	-1.181002676
-3.5306	2.104008533
-2.69748	5.44373286
