"Azizinamini et al., 1988, Spec. NC-4"	
3.7285	149.5
5.651	189.66
7.3403	225.49
8.0978	240.93
9.1463	257
11.71	298.39
13.224	322.48
14.156	336.69
16.254	363.25
17.768	381.79
19.05	395.38
20.39	409.59
21.439	420.09
22.662	430.59
23.128	434.3
21.846	394.14
21.322	369.43
20.798	347.19
20.332	328.66
19.516	310.12
18.351	286.03
16.895	252.05
15.554	223.64
14.389	197.69
13.457	174.83
11.943	139.62
9.3795	90.197
7.6317	60.542
6.35	38.302
5.3015	20.387
4.4275	5.56
3.8451	-2.4711
2.971	-32.742
2.039	-62.397
1.1651	-87.105
0.11651	-114.29
-0.64082	-135.29
-2.039	-158.77
-3.379	-177.3
-4.5441	-202.63
-6.35	-235.99
-8.5054	-269.97
-10.603	-300.86
-11.651	-320.01
-12.583	-334.22
-13.283	-344.1
-14.797	-363.25
-16.195	-380.55
-17.186	-392.91
-18.293	-407.12
-19.05	-418.24
-20.565	-433.06
-22.021	-446.67
-23.303	-457.79
-22.662	-439.24
-22.196	-418.24
-21.613	-399.08
-20.856	-377.46
-19.924	-349.66
-19.167	-331.13
-18.001	-305.8
-16.953	-285.41
-15.263	-250.2
-14.389	-227.34
-13.108	-201.4
-12.117	-180.39
-11.127	-158.77
-8.7968	-109.96
-6.1752	-57.455
-2.6797	13.591
-0.4078	56.218
0.75733	87.723
4.8936	168.04
6.6413	199.54
9.9619	251.44
11.535	274.29
12.642	290.36
14.506	315.68
15.438	329.89
17.011	345.34
18.759	364.49
20.332	382.4
21.73	397.85
23.245	412.68
25.109	417
27.615	425.65
31.227	436.77
31.168	399.08
30.759	363.87
30.526	337.31
29.187	307.04
27.556	273.68
25.865	237.23
23.885	197.69
21.846	154.44
19.866	115.52
17.652	77.84
15.729	48.185
14.098	21.622
12.817	0.61778
11.768	-14.209
10.719	-27.182
9.1463	-45.098
7.8646	-61.778
6.1171	-84.637
4.1946	-109.35
1.2817	-150.12
-0.99037	-182.24
-2.7381	-205.72
-4.4275	-230.43
-6.0005	-255.14
-7.3985	-275.53
-8.9134	-298.39
-10.37	-319.39
-11.476	-334.22
-14.448	-362.02
-16.079	-379.93
-17.419	-394.76
-18.409	-405.88
-20.623	-417.62
-23.944	-438
-26.215	-442.95
-28.43	-446.05
-31.283	-450.36
-30.643	-418.85
-29.535	-381.17
-28.547	-342.87
-27.846	-324.33
-26.274	-291.59
-24.759	-262.56
-22.837	-223.64
-21.497	-198.92
-19.108	-156.3
-17.885	-134.68
-14.506	-83.4
-12.117	-45.717
-9.6705	-10.502
-8.3307	7.4135
-6.0005	38.302
-3.3205	75.985
-1.9807	96.375
0.058257	122.32
1.4564	139.62
4.4275	174.21
6.9327	203.87
9.3795	231.05
11.768	255.76
13.283	271.2
17.069	308.27
19.167	328.66
22.429	353.99
25.865	379.93
28.661	393.52
30.818	403.41
29.886	357.08
28.72	331.75
27.323	303.33
25.865	271.82
24.468	240.32
23.303	215.6
21.322	173.6
19.691	137.76
18.642	115.52
16.836	84.637
14.681	51.895
11.418	3.0889
9.3795	-22.24
6.6995	-63.015
