Gill et al. 1979 Specimen 2	
628	
0	0
-0.049068	20.588
-0.049068	36.333
0.049068	56.921
0.12267	81.145
0.2208	104.15
0.34348	122.32
0.49068	147.75
0.66241	179.24
0.80962	213.15
0.95682	249.48
1.1776	279.76
1.423	314.88
1.7419	357.27
1.9872	388.76
2.5025	440.84
2.8458	478.38
3.0668	503.82
3.2139	518.33
3.4592	537.72
3.2385	492.93
3.1648	471.13
3.0422	450.54
2.7724	391.18
2.5761	368.17
2.2326	302.77
1.9627	265.23
1.7664	218
1.472	176.82
1.1776	129.59
0.90775	83.565
0.63787	36.333
0.34348	-12.111
0.1472	-61.765
-0.41707	-190.14
-0.63787	-236.16
-0.88321	-278.55
-1.1776	-324.57
-1.5702	-380.28
-1.8646	-415.4
-2.208	-449.29
-2.5514	-479.58
-2.7724	-505.03
-3.2629	-543.77
-3.2139	-508.67
-3.0178	-465.04
-2.7478	-416.61
-2.527	-381.49
-2.1835	-343.95
-2.208	-345.16
-1.9627	-302.77
-1.7174	-253.12
-1.4475	-208.31
-1.0795	-144.12
-0.83416	-107.79
-0.53975	-55.711
-0.368	-21.8
-0.098135	16.955
0.073602	55.711
0.17174	84.774
0.41707	128.37
0.61333	176.82
1.1285	247.06
1.5947	301.56
2.0363	358.48
2.527	398.45
3.0422	438.41
3.4592	472.33
3.9009	509.87
4.318	542.57
4.7351	578.91
5.1765	616.45
5.6919	650.34
6.3543	683.03
6.9431	706.08
7.6055	724.22
8.2433	735.12
8.2189	713.33
7.9245	668.53
7.5809	627.35
7.2621	587.36
6.8941	542.57
6.4524	496.53
6.0109	452.94
5.5446	408.14
4.8087	337.89
4.5634	320.94
4.1217	282.18
3.7536	245.85
3.3365	209.52
2.8705	169.55
2.4779	130.8
2.0363	89.618
1.5456	43.599
1.2022	6.0555
0.85867	-25.433
0.66241	-53.287
0.24534	-96.886
-0.12267	-135.64
-0.4416	-191.35
-0.78509	-238.58
-1.2512	-305.2
-1.7174	-362.12
-2.4779	-440.84
-3.2875	-512.28
-3.9009	-557.11
-4.4897	-595.85
-5.5446	-650.34
-6.4033	-689.13
-7.6545	-742.42
-8.5133	-771.46
-8.317	-746.02
-7.8019	-689.13
-7.3355	-639.44
-6.7958	-587.36
-6.3543	-541.37
-5.9373	-502.58
-5.3238	-443.26
-4.8087	-400.87
-4.2934	-363.33
-3.9009	-328.2
-3.5082	-297.93
-3.1158	-266.44
-2.7478	-234.95
-2.1099	-182.88
-1.6928	-139.28
-1.4475	-104.15
-1.104	-62.975
-0.85867	-36.333
-0.58882	-3.6333
-0.31895	29.066
0.39253	128.37
0.61333	168.34
0.95682	220.42
1.423	283.4
1.7419	310.04
2.3552	360.9
2.8214	391.18
3.2139	414.19
3.9746	456.59
4.5877	495.33
5.0785	519.57
5.839	574.06
6.4033	605.55
7.0658	639.44
7.7282	673.38
8.3906	701.23
8.1943	662.49
7.8262	622.5
7.4338	586.16
6.845	535.32
6.1826	482.03
5.6429	440.84
5.1521	404.5
4.1463	325.78
3.4102	262.81
2.8705	214.36
2.1835	142.91
1.6192	87.199
1.055	29.066
0.51521	-44.809
0.1472	-93.252
-0.098135	-128.37
-0.34348	-168.34
-0.71148	-210.73
-0.95682	-232.53
-1.3739	-276.13
-1.84	-317.3
-2.3552	-358.48
-2.8458	-394.81
-3.3612	-435.99
-3.9253	-474.74
-4.5877	-519.57
-5.0295	-552.26
-5.4712	-577.71
-6.0353	-610.4
-6.7224	-649.14
-7.2128	-672.14
-7.6792	-693.93
-8.3906	-732.72
-8.7831	-754.51
-8.5867	-723.02
-7.998	-668.53
-7.1885	-594.65
-6.6487	-549.82
-5.9863	-494.13
-5.2992	-438.41
-4.8331	-400.87
-4.097	-345.16
-3.5575	-301.56
-3.2629	-278.55
-2.527	-221.63
-2.0118	-171.97
-1.5702	-122.32
-0.34348	23.01
0.049068	84.774
0.39253	129.59
0.56429	156.23
1.0304	198.62
1.423	242.22
2.0118	299.14
2.527	345.16
3.1158	400.87
3.7292	439.62
4.5143	491.68
5.1765	536.52
5.7409	575.26
6.4033	610.4
7.0411	647.94
7.7526	681.83
7.6792	680.63
8.7094	719.37
9.6418	742.42
10.623	754.51
11.801	762.97
12.291	761.76
12.88	762.97
13.346	764.21
13.69	754.51
14.181	726.67
14.401	702.43
14.647	683.03
15.211	689.13
15.579	690.33
16.192	703.63
16.879	721.82
16.806	683.03
16.536	643.09
16.192	610.4
15.652	560.71
15.334	531.67
14.892	496.53
14.475	469.89
14.058	440.84
13.665	420.25
13.101	388.76
12.659	366.96
12.242	345.16
11.065	297.93
10.28	264.02
9.5928	231.32
8.9057	199.83
8.2433	167.13
7.4338	136.85
6.575	102.94
5.6919	69.033
4.6368	30.277
3.4348	-16.955
2.6251	-52.077
1.9136	-87.199
1.104	-127.16
0.56429	-163.5
-0.1472	-222.84
-0.76055	-271.28
-1.2758	-310.04
-1.5456	-334.26
-1.9136	-363.33
-2.5761	-414.19
-3.0422	-449.29
-3.7536	-491.68
-4.367	-526.82
-5.0295	-561.96
-5.7655	-601.9
-6.8941	-655.19
-7.8509	-695.18
-8.734	-726.67
-9.4701	-756.92
-9.7889	-769.06
-10.378	-777.51
-11.457	-796.9
-12.561	-811.45
-13.444	-796.9
-13.837	-792.06
-14.23	-787.21
-15.015	-782.36
-15.407	-782.36
-16.438	-783.56
-17.419	-782.36
-17.198	-735.12
-16.855	-681.83
-16.364	-629.75
-15.775	-584.96
-15.383	-548.62
-14.794	-511.08
-14.254	-482.03
-13.567	-448.09
-12.954	-419.04
-11.973	-377.86
-11.114	-341.53
-10.5	-317.3
-9.7399	-279.76
-9.1265	-247.06
-8.3416	-209.52
-7.7282	-180.45
-6.9921	-152.6
-6.4033	-125.95
-4.9804	-70.243
-3.9253	-33.91
-3.2139	-7.2667
-2.4779	23.01
-1.2512	87.199
-0.63787	125.95
-0.12267	157.44
0.83416	215.57
1.6192	261.6
2.1835	294.29
2.9441	329.41
3.9009	373.01
4.7595	404.5
5.7409	443.26
6.6731	473.53
7.3111	494.13
7.8999	512.28
8.5867	531.67
9.2248	549.82
10.059	570.41
10.746	587.36
