"""Mo and Wang, 2000 Test C2-2"""	
738	
37.11	233.15
47.258	259.28
41.241	179.69
30.715	93.51
19.601	19.04
14.815	-34.91
4.059	-54.93
-6.467	-91.06
-17.551	-142.09
-28.327	-199.46
-39.023	-249.51
-49.82	-275.88
-43.255	-191.65
-33.388	-96.44
-23.772	-18.31
-17.707	27.83
-6.692	60.55
4.802	93.51
15.618	129.64
26.434	176.76
37.13	219.73
47.517	251.95
41.491	174.32
30.516	89.84
19.821	17.82
15.054	-33.69
3.959	-53.22
-6.986	-89.6
-17.172	-133.06
-27.928	-185.55
-38.135	-232.18
-49.85	-266.36
-44.193	-184.81
-32.709	-92.53
-23.963	-16.11
-16.928	30.03
-16.928	30.03
-5.025	60.79
5.7	97.17
17.414	138.92
30.086	188.96
42.408	232.91
54.621	257.81
46.769	171.63
34.936	80.81
25.273	5.86
16.212	-22.22
4.109	-64.94
-7.844	-98.63
-19.926	-145.02
-31.809	-197.75
-44.102	-243.9
-56.485	-270.26
-49.242	-179.93
-37.14	-80.08
-28.157	-1.95
-18.575	40.77
-6.452	73.49
5.73	104.25
17.923	138.67
29.687	182.62
41.76	222.66
54.881	251.46
47.029	167.24
34.706	78.61
25.253	4.88
16.641	-31.98
4.089	-63.72
-7.634	-97.17
-19.956	-138.92
-32.408	-187.5
-44.122	-230.71
-56.964	-262.21
-49.032	-174.07
-37.389	-76.42
-29.404	-0.98
-18.615	38.57
-18.615	38.57
-4.895	71.29
6.319	107.42
20.597	146.24
34.007	193.36
47.487	232.42
61.347	255.62
52.856	164.31
39.267	69.34
31.637	-4.15
18.347	-30.03
4.399	-73.73
-8.861	-106.2
-22.201	-148.44
-36.18	-197.75
-49.41	-239.75
-63.28	-266.11
-55.149	-169.43
-42.429	-65.67
-33.879	11.47
-20.431	48.1
-6.872	83.25
6.818	112.79
20.407	146
34.037	187.74
47.737	224.37
61.367	250.24
52.876	160.4
39.486	67.14
30.896	-4.64
18.128	-36.62
4.628	-73
-9.111	-104.98
-22.71	-143.55
-36.01	-189.7
-49.44	-229.74
-63.54	-258.3
-55.399	-164.06
-42.658	-61.77
-34.369	13.43
-20.311	46.39
-20.311	46.39
-4.726	81.3
8.065	116.21
23.241	152.1
38.228	196.29
53.045	232.18
67.932	253.91
58.683	156.98
43.776	59.08
28.801	-14.65
19.884	-43.21
4.668	-81.3
