"Aboutaha and Machado, Test ORC2"	
10275	
-1.0494802	-2.08869184
-1.0416155	-2.10554976
-1.0447248	-2.03816256
-1.0396036	-2.12240768
-1.0271664	-2.08869184
-1.0203991	-2.12240768
-1.0268006	-2.17293696
-1.0392378	-2.10554976
-1.0101567	-2.0718784
-1.0311902	-2.10554976
-1.0191188	-2.1897504
-1.0481999	-2.13922112
-1.0538698	-2.0718784
-1.038872	-2.03816256
-1.0310073	-2.05502048
-0.9971708	-2.05502048
-1.0253374	-2.15607904
-1.038872	-2.12240768
-1.0324705	-2.10554976
-1.0268006	-2.17293696
-1.0361285	-2.13922112
-1.0432616	-2.12240768
-1.0284467	-2.10554976
-1.0542356	-2.0718784
-1.0074132	-2.0718784
-1.046188	-2.10554976
-1.0268006	-2.17293696
-1.0390549	-2.12240768
-1.0167411	-2.10554976
-1.0264348	-2.0718784
-1.0342995	-2.08869184
-1.038872	-2.08869184
-1.0191188	-2.10554976
-1.0264348	-2.05502048
-1.0288125	-2.05502048
-1.0273493	-2.12240768
-1.0430787	-2.12240768
-1.0350311	-2.10554976
-1.0401523	-2.10554976
-1.0401523	-2.03816256
-1.0410668	-2.0718784
-1.0167411	-2.03816256
-1.0430787	-2.0718784
-1.0317389	-2.05502048
-1.0306415	-2.0718784
-1.0328363	-2.10554976
-1.0403352	-2.0718784
-1.0152779	-2.08869184
-1.0304586	-2.08869184
-1.0300928	-2.0718784
-1.0086935	-2.0718784
-1.0299099	-2.10554976
-1.0284467	-2.10554976
-1.0487486	-2.0718784
-1.0465538	-2.0718784
-1.0253374	-2.0718784
-1.0191188	-2.0718784
-1.0450906	-2.0718784
-1.033385	-2.10554976
-1.0268006	-2.10554976
-1.007779	-2.08869184
-1.0511263	-2.03816256
-1.037043	-2.0718784
-1.0293612	-2.0718784
-1.015095	-2.0718784
-1.0432616	-2.0718784
-1.0300928	-2.08869184
-1.0300928	-2.08869184
-1.0421642	-2.08869184
-1.022411	-2.08869184
-1.0108883	-2.0718784
-1.0496631	-2.0718784
-1.0211307	-2.0718784
-1.0630148	-2.05502048
-1.0308244	-2.13922112
-1.0317389	-2.10554976
-1.0430787	-2.0718784
-1.0361285	-2.10554976
-1.0454564	-2.03816256
-1.0458222	-2.0718784
-1.038872	-2.10554976
-1.0381404	-2.12240768
-1.0200333	-2.03816256
-1.0328363	-2.03816256
-1.0300928	-2.0718784
-1.046188	-2.05502048
-0.9357164	0.21897504
-0.4221332	10.14033245
0.37009815	24.94655907
0.47453405	26.07513232
0.4802954	25.68771152
0.46121893	25.51927021
0.4819415	25.3845136
0.45973744	25.28344614
0.47285137	25.14869398
0.45090337	25.08131568
0.45940822	23.12736266
0.26365035	18.64675437
0.01406501	15.32840403
-0.2052138	12.75121059
-0.3451323	10.76357286
-0.5390063	9.079133056
-0.5591253	7.697891168
-0.6935568	6.434561312
-0.7904938	5.103853152
-0.8799319	4.244788672
-0.806589	3.43625792
-0.9267543	2.476125984
-0.9658949	1.836040992
-1.1237376	-0.2526464
-1.2393304	-3.01516576
-1.3119417	-4.36268736
-1.7049938	-10.71305248
-1.7218206	-13.64397312
-2.2322945	-25.4519008
-2.4164748	-27.81009696
-2.4740883	-28.51755136
-2.5035352	-28.92183008
-2.5344453	-29.12399168
-2.529507	-29.2587216
-2.4267172	-29.47769664
-2.4440927	-29.51141248
-2.428912	-29.47769664
-2.463663	-29.44402528
-2.4395202	-28.83762944
-2.1695598	-22.68942592
-2.0457365	-19.42161376
-1.894844	-17.26549024
-1.8229643	-15.00835264
-1.7452318	-13.05439072
-1.5853772	-10.25824448
-1.2890792	-3.4194
-1.0423471	1.094884096
-0.6143611	8.439043616
0.11950686	19.9269288
0.30328478	23.54847261
0.57501931	27.64166454
0.53642741	27.47321878
0.52428285	26.6141543
0.53651886	26.63099888
0.55233971	26.59730973
0.54915725	26.6141543
0.54798669	26.6141543
0.52863587	26.6141543
0.55791816	24.27278493
0.19213645	19.43844054
-0.0583451	15.6989847
-0.3116616	12.91965635
-0.4556039	10.4940641
-0.5375431	8.658023104
-0.7197115	6.619851648
-0.9068182	4.59852032
-0.9869284	1.5496832
-1.1758641	-0.75798368
-1.6148241	-7.3609952
-1.9268515	-14.80623552
-1.9641631	-16.67595232
-2.116153	-24.03694752
-2.2875303	-25.80560576
-2.6635727	-31.66749152
-2.4934757	-32.79603808
-2.6178477	-33.55406624
-2.6231518	-33.5203504
-2.5977287	-33.48667904
-2.6176648	-33.53720832
-2.5852915	-32.18964224
-2.2933831	-24.81178912
-2.0717083	-20.87019392
-1.9711133	-18.39408128
-1.8670432	-16.74333952
-1.7843724	-15.496832
-1.7498043	-14.5367312
-1.7146875	-13.7618896
-1.7040793	-13.15549376
-1.6334799	-11.79106976
-1.5848285	-9.60131936
-1.5577593	-8.38852768
-1.3651656	-4.98594112
-1.3545574	-4.98594112
-1.3894913	-4.9690832
-1.3664459	-4.91855392
-1.3090153	-1.90343264
-0.7083717	7.664202016
0.20839626	22.72309728
0.87792	36.19862019
0.91429881	36.3333768
0.88893058	35.92910698
0.90815337	35.69328736
1.69336136	46.94534848
2.50274873	59.4270592
2.49327451	58.39952672
2.46814405	57.92790528
2.45706031	57.62468512
2.45676767	57.422568
2.44612289	57.20359296
