"Bayrak and Sheikh 1996, AS2-HT"	
3169	
0	0
-0.413341782	-6.075063025
-0.464543131	-6.038886555
-0.338824258	-4.142205882
-0.28802408	-2.387647059
-0.265249271	-0.483214286
-0.223246911	1.231722689
-0.162797238	3.031932773
-0.201579627	4.944117647
-0.148968648	6.744327731
-0.149338886	8.096638655
-0.11793707	9.888235294
-0.097691697	11.77457983
-0.033356777	13.58340336
-0.106135767	14.78067227
-0.135252125	16.54642857
-0.126432433	18.27773109
-0.07102613	19.75063025
-0.060022747	22.29159664
-0.015615141	24.07457983
-0.056035266	25.78004202
0.026645411	27.89033613
0.131304521	29.75084034
0.143934426	31.56827731
0.245255978	33.61827731
0.277542388	35.34096639
0.327872278	37.02058824
0.462884485	38.75189076
0.5330777	40.55210084
0.655677197	42.43844538
0.749543715	44.21281513
0.854477902	45.9355042
0.847680774	47.73571429
0.96991102	49.82016807
1.132677235	51.94768908
1.185489604	53.95462185
1.324925495	55.89264706
1.394775493	57.64978992
1.528871368	59.47584034
1.489487475	61.47415966
1.763244923	63.48109244
1.808912676	65.63445378
2.039786796	67.52941176
2.035482513	69.5105042
2.073708066	71.40546218
2.248775739	73.21428571
2.353324344	74.85084034
2.45059475	76.74579832
2.599972409	78.55462185
2.698503385	80.62184874
2.81440136	82.60294118
2.960917011	83.98109244
3.060093849	85.53151261
3.158890061	87.08193277
3.215275415	88.8907563
3.47960459	88.54621849
3.487341965	88.37394958
3.38192066	86.30672269
3.236530254	84.32563025
3.075426846	82.17226891
3.022885755	80.01890756
2.959773843	78.03781513
2.861047513	76.2289916
2.719215279	74.16176471
2.635615882	72.09453782
2.49799973	70.19957983
2.428022803	68.30462185
2.320207723	66.1512605
2.206933972	64.17016807
2.099933093	62.10294118
2.004562613	60.13907563
1.882360717	58.03739496
1.746393858	56.08214286
1.697108459	54.22163866
1.608087789	52.35252101
1.465718212	50.4144958
1.404538585	48.38172269
1.29769348	46.35756303
1.183947588	44.29894958
1.105983366	42.19726891
0.952989517	40.22478992
0.866973614	38.24369748
0.861425023	36.13340336
0.703334579	33.9197479
0.543092329	31.72331933
0.462993728	29.85420168
0.365869517	27.83865546
0.26351172	25.92647059
0.18637817	23.92815126
0.14995943	21.9987395
0.0326282	20.00042017
-0.092999908	17.98487395
-0.139252584	16.13298319
-0.324683508	13.94516807
-0.347161267	11.9210084
-0.420549989	9.750420168
-0.47715499	7.433403361
-0.581849538	5.478151261
-0.636645364	3.617647059
-0.665350832	1.60210084
-0.720274914	-0.370378151
-0.761942738	-2.070672269
-0.696171001	-3.601281513
-0.691153201	-5.106911765
-0.615514576	-6.137079832
-0.590299444	-7.031155462
-0.5836067	-7.825315126
-0.535628671	-9.178487395
-0.496572881	-10.11821429
-0.474773863	-11.23537815
-0.474541683	-12.14151261
-0.429201726	-14.03130252
-0.382517949	-15.16827731
-0.338680436	-16.98571429
-0.370843982	-18.72563025
-0.391981625	-20.68088235
-0.35586164	-22.50693277
-0.413914899	-24.40189076
-0.472734042	-26.79642857
-0.49192409	-28.8894958
-0.521399352	-30.95672269
-0.608328255	-33.46323529
-0.621051156	-35.9697479
-0.745662676	-38.16617647
-0.84838154	-40.2592437
-0.841831647	-42.64516807
-0.987554596	-45.27226891
-1.111418254	-47.52037815
-1.179646016	-49.75987395
