"""Thompson and Wallace, 1994, B1"""								
-2.48158	-19.45296008							
-2.51968	-19.99608786							
-2.57302	-19.96895371							
-2.60096	-20.02322201							
-2.57302	-20.37641076							
-2.667	-20.29456349							
-2.30886	-16.84674739							
-1.64592	-11.66101135							
-0.96774	-7.425415315							
-0.32512	-3.869062626							
0.18542	-1.479478305							
0.508	0.257996818							
1.14046	3.434471434							
1.7907	7.316878723							
2.41046	12.04133425							
2.99466	16.57540591							
3.26136	17.7426191							
2.69494	12.23127328							
2.0574	6.774195761							
1.4224	2.782807058							
0.80264	-0.692143188							
0.5969	-1.452344157							
0.5842	-1.561325571							
0.59182	-1.507057275							
0.17018	-3.434471434							
-0.84074	-8.538805032							
-1.88976	-15.3534796							
-2.85496	-21.97821514							
-3.75412	-26.15909806							
-3.85064	-22.71128196							
-2.94894	-15.4077479							
-2.3495	-11.09074942							
-1.98628	-8.647341624							
-1.59766	-6.719482643							
-1.1684	-4.792068483							
-0.75692	-2.809941206							
-0.43942	-1.8598012							
-0.06858	-0.068057781							
0.90424	3.841928478							
1.90754	9.407542593							
2.85496	15.73335768							
3.66268	21.08234343							
4.18084	22.57561122							
4.47548	23.17256248							
4.66598	23.17256248							
4.40182	19.96895371							
4.09956	17.19949132							
3.81508	14.64754693							
3.43408	11.57960891							
2.70764	6.285336273							
1.71958	0.773990454							
1.11252	-1.669862163							
0.88646	-2.484331429							
0.0635	-5.253349001							
-1.01854	-10.05920697							
-2.12852	-14.72894938							
-3.13436	-20.1860269							
-3.937	-24.69296442							
-4.31546	-25.83348828							
-3.98526	-22.62987952							
-3.80238	-21.32655076							
-3.62712	-19.80614882							
-3.46202	-18.31288103							
-3.27914	-16.90101569							
-2.90322	-14.29480301							
-2.35712	-10.73800549							
-1.80594	-7.53439673							
-1.1557	-4.629263595							
-0.3175	-1.479478305							
0.3429	1.018197787							
1.36398	4.954873372							
2.35204	10.05920697							
3.24866	15.05500397							
4.04114	20.15889275							
4.58724	22.30382492							
3.90652	15.65195523							
3.13944	9.326140149							
2.21234	3.841928478							
1.24206	-0.82825875							
0.93726	-1.696996312							
0.88646	-1.914069496							
0.9017	-1.696996312							
-0.01778	-5.362330416							
-1.45034	-10.87367623							
-2.86004	-17.82402155							
-4.13258	-25.10042146							
-5.4483	-29.44455409							
-5.45846	-25.04615316							
-4.94792	-20.91909372							
-4.5466	-17.7968874							
-3.91668	-13.45275477							
-2.77114	-6.93700065							
-1.44018	-1.995471941							
-0.6223	0.963929491							
0.80772	6.068263088							
2.20218	10.87367623							
3.48742	16.52069279							
4.6101	22.68414781							
5.67944	25.53456783							
6.18236	25.94202487							
5.82676	21.92394684							
5.48132	18.71989326							
5.06222	15.27207716							
4.28752	9.570347482							
3.16738	2.918477798							
2.04216	-1.370941712							
1.22428	-3.515873878							
1.08966	-3.923330922							
0.89154	-4.84633678							
-0.56388	-8.972951401							
-2.1336	-13.77880937							
-3.5433	-19.31728934							
-4.8387	-24.99188487							
-5.98678	-29.03709704							
-4.89966	-19.72474638							
-3.70586	-12.28554158							
-2.49936	-5.877879229							
-1.27254	-1.696996312							
-0.36322	1.289539268							
1.0414	6.366738717							
2.40792	10.54806646							
3.683	15.10927227							
4.82854	20.07749031							
5.96392	24.82907998							
5.4102	18.36714933							
4.51358	11.17215186							
3.45948	4.873470928							
2.16916	-0.339399262							
1.44272	-2.75567291							
0.91694	-2.294392392							
0.48768	-3.325934842							
-1.38938	-9.000085549							
-3.29438	-14.97315671							
-4.76758	-23.87849515							
-6.35508	-30.20475506							
-7.7597	-31.48050484							
-7.59714	-28.33116437							
-7.31266	-26.02342732							
-7.04596	-23.66142197							
-6.78942	-21.76069713							
-6.45922	-19.20875274							
-5.12318	-11.55247476							
-3.556	-4.059001663							
-2.39776	-0.637874891							
-0.78232	4.167538255							
1.05918	9.217603556							
2.83972	13.64313863							
4.48818	18.31288103							
6.0071	23.851361							
7.5057	27.29962192							
7.2644	22.14102003							
6.61162	16.84674739							
5.96392	12.0684684							
5.28828	7.832872359							
4.50342	3.732947063							
3.1369	-0.963929491							
1.9558	-4.004733366							
1.18618	-3.407337286							
-0.0762	-6.93700065							
-2.0828	-11.49820646							
-3.97002	-16.00514398							
-5.69214	-21.59789224							
-7.12978	-28.9556946							
-7.11708	-24.20454975							
-5.79628	-15.19067472							
-4.32308	-7.588665026							
-2.73812	-2.402928984							
-1.6637	0.82825875							
0.09144	6.203933829							
1.81356	10.03207282							
3.556	14.18582159							
5.17906	18.7470274							
6.70814	23.79709271							
7.38378	23.55288537							
6.28904	14.0230167							
5.6007	9.842133785							
4.5212	4.873470928							
3.01244	-0.909661195							
1.6637	-2.158276829							
1.15824	-3.434471434							
0.53848	-5.199080705							
-1.79578	-10.57520061							
-4.05638	-15.89660739							
-6.13156	-22.5208981							
-7.89178	-30.82884046							
-9.30402	-31.01922432							
-8.49122	-23.9056293							
-8.16864	-21.70642884							
-7.8486	-19.20875274							
-7.52602	-17.25375961							
-6.32968	-10.16774356							
-4.47548	-3.081727509							
-3.14452	0.339399262							
-0.98044	5.660806045							
1.21666	10.57520061							
3.45948	14.72894938							
5.60832	19.56194149							
7.56412	25.26322635							
8.97382	28.00555459							
9.12622	26.21336635							
8.8392	23.55288537							
8.59028	21.02763031							
8.30326	19.15448445							
8.0391	17.14522302							
7.5946	13.94161426							
6.59384	7.316878723							
5.40512	2.565733873							
4.08178	-1.235270972							
2.40792	-3.081727509							
1.47066	-4.84633678							
1.41986	-4.954873372							
1.43002	-4.792068483							
1.44526	-4.629263595							
1.43764	-4.574995299							
1.37414	-5.280927971							
-0.90678	-9.760286518							
-3.2512	-14.26722404							
-5.5118	-18.63849081							
-7.37108	-26.21336635							
-9.40054	-31.83369359							
-8.2296	-21.10947758							
-6.65226	-11.79668209							
-4.83616	-4.602129447							
-3.48996	-1.153868527							
-1.651	3.651544619							
0.3683	8.022811396							
2.43332	12.31267573							
4.57708	15.89660739							
6.61162	20.4578132							
8.4963	25.69781754							
8.36676	20.15889275							
7.80542	16.14081472							
6.7056	8.918683105							
5.23494	2.701404613							
3.76936	-2.131142681							
1.81864	-3.869062626							
1.44018	-4.438879736							
1.42748	-4.140404107							
-1.1176	-10.00493867							
-4.03606	-17.57981421							
-6.94436	-24.28595219							
-9.63168	-31.91509603							
-11.47572	-34.16856479							
-12.7762	-34.79309502							
-12.90066	-30.91068773							
