"Pujol 2002, No. 10-2-3S"	
12495	
0.168669483	-0.75578806
0.168669483	-0.75578806
0.163185616	-0.733501491
0.168669483	-0.75578806
0.157701729	-0.711214878
-0.105524257	0.358541141
-0.045579576	0.33625455
-0.119138748	0.358541141
-0.094412216	0.380827732
-0.108381955	0.358541141
0.173734861	0.736298733
0.235190853	0.714012164
0.150519626	0.714012164
0.1470906	0.669438982
0.196403897	0.736298733
0.189254438	0.669438982
0.094740678	0.714012164
0.180249851	0.714012164
0.202259668	0.714012164
0.126490656	0.714012164
0.145807729	0.714012164
0.204976982	0.736298733
0.110564656	0.736298733
0.188339638	0.736298733
0.183539082	0.780871915
0.19649112	0.755799514
0.147419032	0.733512901
0.226069923	0.755799514
0.21041117	0.733512901
0.136890315	0.778086083
0.16469311	2.405006614
0.186727118	2.427293316
0.213765568	2.427293316
0.135762509	2.3827202
0.203263027	2.36043352
0.261476534	4.745098216
0.264474257	4.722811514
0.297939017	4.745098216
0.197811295	4.745098216
0.212390923	4.722811514
0.225636285	6.77317692
0.321356391	6.750890774
0.311310981	6.77317692
0.258694672	6.750890774
0.256572827	6.795463623
0.242282051	9.224701168
0.370831929	9.246988381
0.387710681	9.180127785
0.330115896	9.202414999
0.322686666	9.180127785
0.369354254	11.83223171
0.382587421	11.80994554
0.397179863	11.78765833
0.424256275	11.80994554
0.32402714	11.85451785
0.376151271	13.23628628
0.421846456	13.23628628
0.491264675	13.2585735
0.37384033	13.2585735
0.403228322	13.2585735
0.49310609	13.2585735
0.360415953	13.28085967
0.446293177	13.30314581
0.456987108	13.2585735
0.430241183	13.23628628
0.44621294	15.79924344
0.489558705	15.79924344
0.487031005	15.79924344
0.399642494	15.77695727
0.494257388	15.79924344
0.516999696	18.1616209
0.514142666	18.1616209
0.440393097	18.1616209
0.563571179	18.18390918
0.527617062	18.18390918
0.534042754	20.16741346
0.524733247	20.23427408
0.51764678	20.21198791
0.532290118	20.23427408
0.521482938	20.18970174
0.633913518	22.41836014
0.603306407	22.39607186
0.57295254	22.44064631
0.53042068	22.41836014
0.59177462	22.44064631
0.62622771	24.64701855
0.597525284	24.66930471
0.621502081	24.75845146
0.60320166	24.75845146
0.6711341	24.80302379
0.636015284	27.12082894
0.689964922	27.14311511
0.684897628	27.12082894
0.683424703	27.14311511
0.704620715	27.16540125
0.715720062	27.18768742
0.651013022	27.16540125
0.728433086	27.14311511
0.712774133	27.12082894
0.722069788	27.16540125
0.749819192	27.18768742
0.655648714	27.12082894
0.736687978	27.16540125
0.732763799	27.12082894
0.707059276	27.12082894
0.760713675	29.48320642
0.786646932	29.52777874
0.686824269	29.50549257
0.770149764	29.50549257
0.758198869	29.48320642
0.819500275	31.55585957
0.774008715	31.57814574
0.818522265	31.57814574
0.792259278	31.53357129
0.83717928	31.57814574
0.822953413	33.5839383
0.886351834	33.62851062
0.82313193	33.5839383
0.862158159	33.62851062
0.873017753	33.5839383
0.97540472	35.47829793
