Bayrak_&_Sheikh_02_RS-13HT	
38	
0	0
4.684508534	123.9836644
10.50144609	188.8527938
12.31007373	203.4713198
17.12086032	201.6428439
18.32661208	201.1880453
20.93364292	197.9951736
22.73819708	200.2784481
24.94602631	203.9354
27.35345635	203.0165213
30.76296387	201.1880453
30.96256467	196.1666976
30.35968879	189.316874
31.16216546	188.3979952
31.16216546	186.5695192
31.36176626	184.7410433
33.7691963	185.2051234
38.38445558	183.3766475
40.59228482	175.1531465
39.98940894	166.9296454
42.39683898	167.8392426
43.39891645	161.4442176
42.39683898	156.8776685
47.61090065	154.5943939
54.42991568	148.6541674
55.03279156	144.5424169
53.2282374	131.2975682
54.42991568	129.9238908
56.23446984	126.7310191
54.62951648	112.5672916
60.84972911	104.7985892
65.66458919	100.2320401
68.67082162	96.57508818
68.27162003	89.72526453
60.24685323	43.58641173
79.30261925	7.954334509
80.10509593	-3.46203824
71.68112754	-53.25784296
