"Bayrak and Sheikh 1996, AS5-HT"	
2825	
0	0
-2.08E-07	1.545231092
-0.231973945	3.364390756
-0.170140702	5.037121849
-0.102919565	6.830441176
-0.091962674	8.64012605
-0.071534193	10.45756303
0.005215838	12.48172269
0.064945702	14.10966387
0.082663603	15.92710084
0.120502216	17.45168067
0.166729563	19.20021008
0.207361723	20.65588235
0.198348139	22.49054622
0.273624664	24.04957983
0.308881546	25.83256303
0.329067561	27.89978992
0.374115634	29.80336134
0.38756163	31.43991597
0.449045254	33.43823529
0.471665254	35.16953782
0.484864941	36.875
0.565866534	38.70966387
0.556175034	40.44957983
0.581000597	41.99138655
0.616037015	43.44705882
0.677920355	45.17836134
0.725510872	47.2197479
0.764638567	48.96827731
0.808968628	51.04411765
0.740091342	52.49117647
0.761296321	54.64453782
0.851859515	56.28970588
0.899189914	58.00378151
0.914163504	60.00210084
0.923761315	61.31134454
0.983383582	62.93067227
1.058273437	64.63613445
1.077422588	66.42773109
1.14880517	68.06428571
1.166997502	69.59747899
1.194798603	71.54411765
1.187937191	73.09453782
1.246019137	74.81722689
1.303341179	76.45378151
1.320960941	78.00420168
1.399925172	79.89915966
1.447654857	81.27731092
1.458858624	83.17226891
1.465799317	84.72268908
1.531557267	86.3592437
1.610956334	87.90966387
1.645265046	89.46008403
1.665822239	91.18277311
1.681399872	89.63235294
1.629180113	88.25420168
1.592099414	86.70378151
1.518018685	85.06722689
1.551572985	83.17226891
1.474989649	81.19117647
1.406496639	79.38235294
1.346544824	77.57352941
1.382571647	75.76470588
1.311150775	73.78361345
1.252367718	72.14705882
1.188773258	70.59663866
1.120463479	68.70168067
1.144944666	66.95315126
1.099261252	65.31659664
1.04209646	63.22352941
0.951315483	61.67310924
0.977528794	60.17436975
0.923857603	58.43445378
0.868829321	56.39306723
0.83515745	54.30861345
0.824587784	52.66344538
0.756748025	50.85462185
0.768534334	49.24390756
0.655460643	47.40063025
0.706975212	45.43676471
0.61898983	42.99915966
0.51851704	41.30231092
0.490588773	39.42457983
0.480861057	37.94306723
0.473077664	36.04810924
0.451395651	34.42016807
0.404419529	32.48214286
0.385771109	30.4407563
0.322575616	28.65777311
0.309107618	26.66806723
0.301683048	24.79033613
0.27309663	22.70588235
0.284048334	20.63865546
0.211160172	18.51113445
0.218560038	16.32331933
0.181312655	14.29054622
0.155299071	11.97352941
0.125527666	9.725420168
0.107457908	7.864915966
0.081808796	5.926890756
0.031869693	4.087920168
0.028926685	2.171428571
-0.013253878	0.232542017
-0.02016784	-1.659831933
-0.075793185	-3.391134454
-0.127353155	-5.312794118
-0.159018286	-7.165546218
-0.139635097	-9.034663866
-0.248531237	-10.97268908
-0.210613403	-12.76428571
-0.264656216	-14.4697479
-0.291119992	-16.00294118
-0.351337208	-18.07878151
-0.31792355	-19.69810924
-0.373516006	-21.34327731
-0.408188258	-23.1262605
-0.429266378	-24.72836134
-0.448740029	-26.66638655
-0.502567597	-28.41491597
-0.510578284	-29.90504202
-0.545720433	-31.36071429
-0.564395017	-32.97142857
-0.630468275	-35.03865546
-0.62514183	-36.72689076
-0.660563235	-38.4237395
-0.669894269	-40.36176471
-0.702994002	-42.10168067
-0.703176458	-43.8157563
-0.674782006	-45.42647059
-0.763645254	-47.2697479
-0.763045563	-48.61344538
-0.828378487	-50.63760504
-0.798686782	-52.3947479
-0.842524513	-53.89348739
-0.852315124	-55.30609244
-0.833965504	-57.08046218
-0.922227097	-58.70840336
-0.950813491	-60.2157563
-0.907580868	-62.01596639
-0.997887368	-63.94537815
-1.119492463	-65.84033613
-1.076622502	-67.57163866
-1.112842495	-68.94117647
