Saatcioglu and Gira 1999 Column BG-1	
2.991541	-41.31001216
2.491946	-51.65320973
1.992351	-52.21114894
1.492756	-64.03592705
0.9759333	-64.2887538
0.4935656	-75.69507599
-0.006029591	-76.0462614
-0.5056247	-85.87264438
-1.00522	-85.94820669
-1.504815	-96.29142857
-2.00441	-96.95270517
-2.504005	-104.8496049
-3.020828	-105.1024316
-3.503196	-105.3452888
-4.00279	-114.2069301
-4.502386	-121.0012158
-5.001981	-121.0768389
-5.501576	-130.1796353
-6.001172	-130.4963526
-6.500767	-137.4629787
-7.000361	-137.8486322
-7.517184	-137.8258359
-8.016778	-145.8950152
-8.516373	-148.6580547
-9.015969	-153.0404863
-9.515564	-156.1825532
-10.01516	-158.7044377
-10.53198	-158.9572644
-11.01435	-165.7466261
-11.51394	-165.9944681
-12.01354	-166.448997
-12.51313	-170.9348328
-13.01273	-174.662614
-13.51232	-175.2894833
-14.01192	-178.0869909
-14.51152	-178.3348328
-15.01111	-180.1331915
-15.51071	-183.7920365
-16.0103	-183.8331307
-16.5099	-183.5986018
-15.99307	-140.4147112
-15.49348	-126.1781155
-14.99388	-121.8990274
-14.49429	-115.8627356
-13.99469	-110.0675988
-13.4951	-104.7548328
-12.9955	-99.51100304
-12.49591	-95.7487538
-11.99631	-90.95282675
-11.49672	-86.50145897
-10.99712	-80.08620061
-10.49753	-74.87677812
-9.997931	-68.6337386
-9.498337	-67.80018237
-8.998741	-67.0699696
-8.499146	-56.65786626
-7.999552	-50.89720365
-7.499956	-45.23990881
-6.983134	-39.43981155
-6.483539	-33.40350152
-5.983943	-27.88402432
-5.484349	-23.05364742
-4.984753	-18.98128267
-4.485158	-13.0138845
-3.985563	-8.149057751
-3.485968	-2.00938541
-2.986373	3.062177508
-2.46955	8.276541033
-1.969955	13.21028571
-1.487588	20.51644985
-0.9879924	23.89971429
-0.4883973	28.6267234
0.01119782	36.42023708
0.5107929	37.04709422
1.010388	45.25406687
1.509983	52.84086322
2.009578	55.91402432
2.509173	60.2620304
3.008769	63.47300912
3.525591	69.06638298
4.007959	76.47592705
4.507554	79.03227964
5.007149	83.41471125
5.506744	88.2106383
6.00634	91.8006079
6.505934	97.8024924
7.00553	101.8058967
7.505125	107.2220669
8.004721	111.74231
8.504315	116.4693617
9.00391	119.9215198
9.503505	123.3736778
10.0031	126.4468085
10.5027	130.8637082
11.00229	135.8319149
11.50189	139.4563526
12.00148	142.3917325
12.50108	142.8807295
13.00067	146.0916717
13.50027	148.5790881
14.01709	153.8968389
14.51668	155.8330091
15.01628	160.3532523
15.51587	162.5305775
16.0327	166.401155
16.51506	169.8483891
15.99824	129.4897872
15.49865	112.3589666
14.99905	108.6311246
14.49946	101.32
13.99986	96.24844985
13.48304	88.24322188
12.98344	87.78869301
12.48385	73.44869301
11.98425	73.16638298
11.48466	60.72142857
10.98506	59.26765957
10.48547	49.09673556
9.968645	43.81346505
9.469051	43.66899088
8.986683	24.23462614
8.487087	23.50441337
7.987493	23.01538602
7.487897	22.56080851
8.004721	21.53879635
7.487897	20.97587234
6.988302	-0.255141641
6.488707	-0.709715502
5.989111	-1.026469301
5.489516	-7.545148936
4.989922	-14.13273556
4.490326	-16.75798176
3.990731	-24.03466869
3.491136	-31.07018237
2.991541	-31.76593921
2.491946	-44.55544681
1.992351	-44.87220061
1.475528	-52.84297872
0.9931607	-53.49930699
0.4935656	-60.74155015
-0.006029591	-67.53586626
-0.5056247	-71.12583587
-1.00522	-75.92176292
-1.504815	-79.13276596
-2.00441	-86.16826748
-2.504005	-87.93215805
-3.003601	-95.79452888
-3.503196	-96.3525228
-4.020018	-97.50115502
-4.502386	-104.2560486
-5.001981	-106.1922188
-5.501576	-113.5722188
-6.001172	-114.6469909
-6.500767	-114.963769
-7.000361	-120.9655927
-7.534411	-125.7714894
-8.016778	-126.4967781
-8.516373	-127.2269301
-9.015969	-133.8145289
-9.515564	-134.5447416
-10.01516	-139.4096049
-10.51475	-142.4482675
-11.01435	-147.106383
-11.51394	-147.6643161
-12.01354	-152.1845593
-12.51313	-155.6712462
-13.01273	-160.2604255
-13.51232	-160.852766
-14.01192	-164.4772036
-14.51152	-168.3083891
-15.01111	-173.3110638
-15.51071	-174.0412766
-16.0103	-177.3900304
-16.5099	-178.2580547
-17.00949	-182.2959878
-16.49267	-136.3900912
-15.99307	-126.0469301
-15.49348	-120.4930091
-14.99388	-115.9038298
-14.49429	-111.693617
-13.97747	-105.583465
-13.4951	-101.0336778
-12.9955	-99.78662614
-12.49591	-94.30164134
-11.99631	-89.81580547
-11.49672	-82.1256535
-10.99712	-77.01963526
-10.49753	-73.91203647
-9.980703	-67.04382979
-9.498337	-65.836231
-8.998741	-58.24946505
-8.499146	-52.93671733
-7.999552	-45.69448632
-7.499956	-42.38013374
-6.983134	-37.16577508
-6.483539	-34.02369605
-5.983943	-28.26302736
-5.484349	-23.39820061
-4.984753	-19.77375076
-4.485158	-11.63568389
-3.985563	-5.220371429
-3.485968	0.023467179
-2.986373	3.613460182
-2.486778	9.236303951
-1.987183	14.5835076
-1.487588	17.38102736
-0.9879924	23.45179331
-0.4883973	26.28377508
0.02842524	31.49813982
0.5107929	38.7353921
1.010388	41.49845593
1.509983	47.913769
2.009578	52.36514286
2.509173	56.98879635
3.008769	63.95537994
3.508363	69.47489362
4.007959	73.54723404
4.507554	79.54905775
5.007149	86.89471125
5.506744	87.9350152
6.00634	93.76455927
6.505934	94.94267477
7.00553	101.5992097
7.505125	101.640304
8.004721	108.9514894
8.521543	110.7892401
9.021138	115.1716717
9.503505	120.1348936
10.0031	123.2424924
10.5027	128.2795745
11.00229	131.2493617
11.51911	135.7057751
12.00148	141.0134954
12.50108	141.8815198
13.00067	145.3336778
13.50027	151.2321581
14.01709	152.3119149
14.51668	154.8682675
15.01628	158.423769
15.51587	158.947234
16.01547	164.5356231
16.51506	167.5054103
17.01466	170.1651064
16.49784	125.2240122
15.99824	123.873617
15.49865	111.7732523
14.99905	104.9789058
14.49946	90.25987842
13.98263	87.90534954
13.48304	86.76164134
12.98344	77.41768997
12.48385	71.51914894
11.98425	71.44364742
11.48466	63.20218845
10.98506	57.33817629
10.48547	51.30186018
9.985872	44.92100912
9.486278	36.36948328
8.986683	35.67372644
8.487087	26.05409119
7.987493	20.29342857
7.47067	13.73531915
6.988302	8.048547112
6.488707	-0.881991489
5.989111	-7.43512462
5.489516	-10.19819453
4.989922	-11.54859574
4.490326	-16.82689362
3.990731	-22.65646809
3.491136	-28.27931307
2.991541	-32.48950152
2.491946	-37.56105167
1.992351	-48.73117933
1.492756	-49.08238298
0.9931607	-55.42879635
0.4935656	-62.73993921
-0.006029591	-63.50462006
-0.5228521	-63.86079027
-1.00522	-72.88972644
-1.504815	-79.13276596
-2.00441	-80.86218845
-2.504005	-87.69094225
-3.003601	-88.90352584
-3.503196	-89.32364742
-4.020018	-95.15817629
-4.502386	-100.7761094
-5.001981	-106.5367781
-5.501576	-110.1267477
-6.001172	-110.6157447
-6.500767	-111.242614
-7.000361	-117.7612766
-7.517184	-121.0117325
-8.016778	-126.4967781
-8.516373	-127.6059574
-9.015969	-132.0228571
-9.515564	-133.1665653
