"Atalay and Penzien, 1975, Spec. 12"	
1442	
0	0
0.67094	2.0451
1.1502	5.1125
1.8211	8.4356
2.3483	11.759
3.2108	15.849
4.4569	23.902
5.4155	28.886
6.4219	35.021
7.4282	39.623
8.3868	44.224
9.1056	47.42
9.9682	50.743
10.735	53.425
11.071	53.936
10.352	48.697
10.064	45.886
9.7287	41.285
9.2014	36.427
8.6744	31.571
7.8595	25.947
6.9489	21.601
5.5593	13.676
4.4569	5.7517
3.7381	1.0225
2.8275	-5.8794
1.5815	-12.782
0.38339	-19.3
-0.38339	-24.029
-1.1023	-27.864
-1.6294	-31.187
-2.3483	-35.149
-3.1151	-38.6
-3.9299	-42.307
-4.8405	-46.268
-5.607	-49.079
-6.4219	-51.766
-7.4282	-54.577
-7.7158	-55.088
-8.147	-48.955
-7.9075	-44.48
-7.3805	-40.518
-6.6614	-36.427
-5.8468	-32.465
-5.032	-28.119
-4.1694	-23.39
-3.2108	-18.405
-2.7795	-15.849
-1.0064	-5.7517
-0.33548	-2.4285
0.1917	0.76688
0.91056	4.4734
1.4377	7.1577
2.4441	12.143
2.9713	15.082
3.4506	17.766
3.9299	20.451
4.4089	23.39
5.032	26.841
5.6551	30.676
6.6137	35.405
7.3325	38.728
8.2908	43.33
9.0099	46.78
9.7287	50.102
10.304	51.895
10.639	51.895
10.783	47.162
10.448	42.435
10.112	38.217
9.4412	32.465
8.6263	27.353
7.7158	23.263
7.2367	21.345
6.2301	17.511
5.5593	14.443
5.032	12.27
4.2174	8.308
3.4026	4.6015
2.0608	-2.0451
1.0543	-7.7969
0.23962	-12.782
-0.62301	-18.278
-1.4377	-23.39
-2.3483	-29.525
-2.7795	-32.721
-3.5463	-37.45
-4.2652	-41.285
-5.2238	-45.245
-6.3739	-49.72
-7.0927	-52.277
-7.9075	-55.346
-8.2908	-57.006
-7.8118	-47.932
-7.5242	-44.609
-7.0927	-40.39
-6.3739	-35.661
-5.4633	-31.059
-4.5527	-26.075
-2.8755	-18.533
-2.1087	-14.827
-0.86263	-7.6688
-0.23962	-4.3457
0.28755	-0.51125
1.0543	4.4734
1.7253	8.5637
2.4441	12.27
3.4026	17.255
4.3612	22.368
4.7925	24.796
5.6551	29.653
6.2781	33.616
6.8532	37.195
8.0033	41.924
9.1056	47.038
9.7767	49.849
10.687	52.789
11.119	53.042
10.496	45.632
10.016	42.562
8.3388	32.977
7.2845	26.458
6.4219	21.217
5.3675	15.721
4.6487	12.143
3.6424	6.7743
2.8755	2.6841
2.1566	-1.2782
1.4377	-5.3683
0.33548	-11.887
-1.3898	-20.962
-3.1631	-29.27
-3.9776	-33.743
-5.4633	-40.773
-6.0386	-43.457
-6.7094	-46.144
-7.62	-49.849
-8.1951	-51.895
-8.4346	-53.042
-7.9555	-47.674
-7.5242	-44.863
-6.9489	-40.518
-5.7988	-33.616
-4.8405	-28.375
-3.9776	-23.774
-3.067	-18.278
-2.3483	-14.06
-1.1981	-8.0522
-0.52718	-4.0901
0.71887	2.6841
1.7253	8.1803
2.8755	14.187
3.7381	18.917
4.6007	23.902
5.2718	27.736
5.9426	31.187
6.8532	35.789
7.8118	40.134
8.8181	45.886
