"Xiao 1998,Specimen nr.HC4-8L19-T10-0.1P"	
1003	
0	0
-0.003175	0
-0.085598	-7.1168
-0.082423	-4.2256
-0.057023	-1.82368
-0.069723	-1.04528
0.263017	41.32192
0.4087495	55.24416
0.4562475	58.66912
0.174244	21.83968
-0.091948	-6.84992
-0.431038	-42.07808
-0.630555	-56.84544
-0.285242	-13.6776
0.228092	39.98752
0.836549	95.49856
1.5969615	139.71168
1.831467	151.0096
1.448054	109.95456
1.0013315	74.45952
0.573532	40.2544
0.180594	7.1168
-0.256667	-31.04704
-0.766826	-72.63584
-1.27381	-103.68288
-1.828292	-133.39552
-2.040636	-140.24544
-1.692148	-109.1984
-1.337183	-81.30944
-0.934847	-50.2624
-0.579882	-19.99376
-0.215519	10.51952
0.2345055	45.76992
0.712978	77.88448
1.159764	108.13088
1.714246	144.96032
2.2592665	174.6952
2.550795	186.01536
2.275078	159.6832
1.951863	134.4408
1.6064865	109.1984
1.26111	84.46752
0.884047	58.66912
0.481584	31.31392
0.120396	4.73712
-0.269367	-24.73088
-0.678053	-54.44352
-1.102741	-82.0656
-1.543177	-110.7552
-2.015363	-140.24544
-2.57937	-167.33376
-2.940558	-182.05664
-2.693416	-157.05888
-2.354326	-132.328
-1.936115	-104.9728
-1.501902	-76.03856
-1.048893	-44.21312
-0.532384	-12.09856
-0.114173	16.83568
0.316865	46.0368
0.770001	73.392
1.2832715	103.92752
1.771269	133.39552
2.262378	162.32976
2.772537	186.01536
3.415792	209.9456
3.8783895	228.09344
3.618611	204.43008
3.289046	181.0336
2.8834715	155.76896
2.347976	122.58688
1.7870805	90.5168
1.2769215	58.66912
0.7351395	28.15584
0.269367	1.06752
-0.212344	-31.31392
-0.719328	-63.1616
-1.24841	-92.60736
-1.764919	-120.7632
-2.376551	-153.38928
-2.931033	-181.27824
-3.599561	-209.1672
-4.195318	-230.74
-3.951351	-207.0544
-3.48869	-178.63168
-3.013329	-150.2312
-2.452624	-119.96256
-1.923415	-90.5168
-1.270635	-51.57456
-0.738378	-17.88096
-0.263017	13.41072
0.2756535	44.72464
0.94742	79.70816
1.6064865	113.6464
2.275078	145.49408
2.908808	177.34176
3.545713	209.1672
4.1509315	236.78928
2.414524	128.92528
1.828292	90.24992
1.140714	52.08608
0.494284	17.3472
0.009525	-11.83168
-0.529209	-48.39424
-1.077341	-79.44128
-1.726946	-109.70992
-2.408174	-139.97856
-3.026029	-170.22496
-3.650234	-197.58016
-4.274566	-227.58192
-4.816348	-247.04192
-4.280916	-212.8368
-3.548888	-171.27024
-2.788539	-132.59488
-2.059686	-94.1864
-1.384681	-57.62384
-0.776351	-20.7944
-0.304165	8.16208
0.2851785	42.10032
0.9284335	74.7264
1.5431135	105.23968
2.154682	135.48608
2.8993465	171.53712
3.621786	205.23072
4.2016045	231.78528
4.8860075	258.36208
4.9589055	259.67424
4.6864905	236.27776
4.1477565	202.6064
3.5805745	170.22496
3.029204	140.51232
