Bayrak_&_Sheikh_02_RS-14HT	
21	
0	0
11.22203899	141.052536
13.98923059	170.9949905
15.37282639	187.0057574
18.82767339	204.5665522
21.59486498	208.1770961
26.90141055	203.0165243
31.28003558	199.9164686
35.19884285	196.296643
34.97100522	184.4254715
35.66280312	179.7753879
34.27920732	167.8949348
39.34963025	157.5737911
45.57581135	140.5327662
47.19138728	129.1720829
46.03562912	115.2311137
40.73322605	85.27937755
35.19884285	55.84741127
43.73239778	27.96547285
47.41922491	7.304622348
46.95940715	-6.63634686
