"Ohno and Nishioka 84, Specimen L1"	
224	
0	0
0.58136	3.4625
0.87203	4.9466
1.0658	6.2655
1.2596	9.0686
1.3565	12.366
1.5503	16.159
1.5503	19.291
1.9379	27.535
2.1317	33.306
2.713	39.737
3.2944	46.664
3.8758	53.42
4.554	60.017
5.4259	66.12
6.2982	73.374
7.364	80.629
8.0421	86.563
8.8174	92.501
9.9802	97.941
10.755	102.89
11.53	106.35
12.596	106.35
14.437	106.68
16.956	107.83
19.67	109.98
22.189	112.29
23.836	113.61
24.999	112.45
25.87	110.96
27.422	110.96
29.36	111.63
32.073	112.45
34.493	112.94
37.305	112.94
38.661	112.94
40.307	114.43
41.567	114.59
44.28	114.59
46.121	114.76
47.77	114.76
49.609	114.59
50.386	113.94
50.094	109.98
49.804	102.89
49.126	96.619
48.252	88.048
47.188	77.991
46.411	70.901
45.154	61.338
44.087	52.268
42.73	41.716
41.567	33.471
40.599	27.041
39.144	16.983
38.273	10.387
37.206	4.452
36.142	-0.49466
34.978	-7.0901
33.622	-14.015
32.169	-19.456
31.006	-23.578
29.164	-29.184
26.84	-34.955
24.223	-41.221
21.801	-45.672
19.67	-49.466
16.472	-55.235
14.825	-57.708
13.081	-61.338
11.627	-64.469
9.3988	-68.099
6.5888	-72.547
4.2634	-77.493
2.2285	-82.275
0	-87.884
-1.4534	-91.509
-2.9068	-94.974
-5.0386	-98.27
-6.395	-100.25
-7.2669	-101.73
-10.368	-103.38
-14.05	-105.85
-17.925	-107.67
-22.673	-108.99
-26.937	-110.14
-29.36	-111.13
-33.332	-110.96
-39.34	-111.63
-43.02	-111.96
-46.993	-112.29
-49.416	-112.12
-51.257	-112.29
-49.705	-98.763
-48.252	-87.884
-46.799	-76.506
-45.636	-66.449
-44.183	-55.729
-42.923	-46.166
-41.471	-35.45
-39.629	-24.403
-38.369	-15.994
-36.627	-3.6274
-35.27	4.452
-33.815	15.169
-32.751	22.589
-32.459	25.722
-30.617	29.019
-27.13	35.78
-25.677	38.912
-22.964	44.024
-19.96	48.639
-17.053	54.083
-15.309	57.05
-11.24	62.655
-8.4298	65.955
-5.3292	70.572
-0.96893	76.999
2.3254	81.946
6.6858	87.39
10.174	92.007
14.147	96.953
18.022	100.91
22.77	104.7
24.514	105.52
27.033	107.34
30.716	108.49
32.847	109.32
34.3	108.66
38.661	108.66
42.634	109.48
46.218	109.81
49.997	110.47
53.485	110.96
58.331	111.79
62.497	112.29
66.662	112.78
71.895	113.61
77.224	114.59
81.392	115.75
81.003	110.14
80.421	102.23
79.454	92.994
78.58	84.748
77.419	76.176
76.063	64.798
74.511	54.906
72.573	45.014
71.702	39.242
70.442	31.822
68.892	25.392
67.729	19.621
66.566	14.51
65.695	10.552
63.078	2.3084
61.722	-1.8137
60.462	-5.7708
58.331	-9.5632
55.23	-14.674
52.903	-18.302
50.482	-22.259
47.866	-27.041
44.668	-33.142
40.599	-41.716
36.238	-47.816
32.847	-52.927
29.553	-57.873
26.548	-61.502
21.123	-68.922
17.635	-72.547
13.275	-76.999
8.6236	-81.287
4.7478	-85.246
1.1627	-88.542
-4.7478	-93.323
-10.465	-97.776
-17.731	-103.05
-18.894	-103.87
-21.995	-105.69
-26.162	-108
-28.682	-109.98
-31.394	-109.98
-35.075	-111.3
-37.983	-111.96
-41.471	-113.94
-45.636	-116.08
-48.738	-117.4
-53	-118.55
-57.749	-119.7
-59.009	-120.2
-63.464	-120.36
-66.954	-120.53
-70.731	-121.03
-74.704	-120.7
-82.07	-120.2
-81.681	-113.11
-81.293	-102.72
-81.1	-95.467
-79.84	-87.554
-78.776	-80.464
-77.32	-72.053
-75.867	-63.482
-74.318	-54.577
-72.865	-46.664
-71.217	-39.737
-69.472	-32.977
-67.34	-23.743
-66.177	-18.467
-62.883	-12.696
-59.202	-4.6166
-54.745	3.7923
-50.287	11.542
-45.928	18.797
-41.374	25.722
-35.85	33.471
-30.424	42.045
-26.259	48.474
-22.77	54.083
-17.925	58.536
-14.437	62.325
-11.337	65.621
-9.6893	67.272
-6.5888	71.23
-3.1976	75.02
