"Zhou et al. 1987, Specimen 30207"	
617	
0	0
-0.055556	0.26594
-0.055556	0.95739
-0.018519	2.6063
-0.037037	3.3509
-0.018519	4.3615
-0.018519	5.3718
0	6.3824
0.037037	7.393
0.074074	8.2444
0.16666	9.3079
0.25926	10.106
0.38889	10.957
0.5	11.701
0.77777	13.191
0.77777	13.35
0.85185	14.414
0.88889	15.425
0.9074	16.223
0.88889	17.233
0.9074	17.659
0.88889	20.212
0.83334	21.329
0.81482	21.967
0.83334	22.605
0.81482	23.562
0.83334	24.307
0.85185	25.158
0.87037	25.85
0.94445	26.701
1	27.445
1.0556	28.03
1.1296	30.53
1.1667	32.817
1.2963	34.573
1.3889	36.168
1.5	37.924
1.6111	39.359
1.7408	40.902
1.9074	42.817
2.0185	44.2
2.2963	46.433
2.5	48.083
2.7037	49.306
2.9629	50.529
3.074	51.063
3.2222	51.219
3.3889	51.116
3.4445	50.636
3.5	50.156
3.5556	49.359
3.5926	47.976
3.6482	46.326
3.6666	45.049
3.5185	42.019
3.3889	40.051
3.3334	38.775
3.2222	36.753
3.1482	35.53
3.0371	34.413
3	33.349
2.9815	32.179
2.926	31.382
2.7963	30.052
2.7592	29.36
2.7037	28.296
2.6111	26.063
2.5555	24.892
2.5185	23.562
2.5371	22.339
2.4445	21.01
2.3889	19.573
2.3889	19.148
2.1482	15.691
2.0926	14.574
2.0185	12.765
1.9815	11.595
1.9445	10.638
1.8889	9.5739
1.7963	8.3507
1.7408	7.2338
1.6852	5.8509
1.5926	4.5209
1.5	3.3509
1.426	2.3403
1.3703	1.2233
1.2963	0.15957
1.2407	-0.74464
1.1852	-1.7552
1.1852	-2.9254
1.1481	-3.7764
1.1481	-4.9466
1.1296	-6.0101
1.0556	-7.7124
0.96296	-9.6273
0.88889	-11.329
0.77777	-12.446
0.74074	-13.457
0.70371	-14.786
0.62963	-16.435
0.53703	-17.552
0.53703	-18.191
0.12963	-23.456
0.074074	-25.531
0.074074	-27.232
0.018519	-28.509
-0.018519	-29.36
-0.14815	-30.158
-0.29629	-31.222
-0.35185	-32.126
-0.44445	-33.828
-0.53703	-34.945
-0.61111	-36.381
-0.68519	-37.924
-0.74074	-39.253
-0.75926	-40.742
-0.79629	-41.647
-0.79629	-42.498
-0.75926	-43.774
-0.75926	-44.627
-0.81482	-45.957
-1	-47.602
-1.2037	-49.039
-1.4074	-50.369
-1.5926	-51.699
