"""Thompson and Wallace, 1994, A1""  "	
0.91948	5.199080705
1.1811	6.638080198
1.48336	9.869267933
1.76276	11.87808454
1.97358	12.33980988
2.15646	13.58887033
1.89738	10.49335334
1.59512	7.50681776
1.33604	5.823610933
1.03378	3.054593361
0.71628	0.936795343
0.50038	0.529338299
0.50546	0.502204151
0.50546	-0.285130966
0.46228	0.475070003
0.28956	-0.66500904
0.02794	-2.511465577
-0.29464	-4.764934335
-0.57404	-6.964134798
-0.85344	-8.810146513
-1.17094	-11.00934698
-1.13284	-9.109066964
-0.79248	-6.203933829
-0.51308	-4.710666039
-0.23622	-2.647136317
0.04572	-1.343807564
0.3429	0.122326078
0.64008	1.995471941
0.89154	4.602129447
1.25222	6.231067977
1.53924	7.860006507
1.79324	10.3034143
2.0955	12.63828551
2.10058	12.39407817
1.88214	9.054798668
1.54686	6.583811902
1.32842	5.009141668
1.01346	2.294392392
0.66802	0.610740743
0.40894	-0.583606595
0.1397	-1.995471941
-0.44958	-5.606537748
-0.97028	-8.511670884
-1.33096	-11.55247476
-1.7526	-15.05500397
-2.0447	-16.38502205
-1.62306	-11.71527965
-1.1938	-7.235476279
-0.79248	-5.199080705
-0.33782	-2.674270465
0.0635	-0.529338299
0.51816	1.452344157
0.89916	3.760081211
1.39192	6.93700065
1.7907	9.271871852
2.16408	12.31267573
2.57556	15.4620162
2.98196	17.90542399
2.6543	13.88734596
2.20472	10.22201186
1.84912	7.371147019
1.4224	4.520727002
0.94742	1.805532904
0.56896	0.936795343
0.4826	0.095191929
0.48006	-0.013789485
0.41656	-0.285130966
0.47752	-0.556472447
0.4699	-0.692143188
0.43434	-0.66500904
0.17272	-0.936795343
-0.25908	-3.543008027
-0.71374	-6.095397236
-1.21412	-9.624615778
-1.55448	-12.55688306
-1.97358	-16.60254006
-1.84912	-13.58887033
-1.46812	-9.407542593
-1.0033	-6.149665533
-0.56134	-3.760081211
-0.16002	-2.239679274
0.254	-0.068057781
0.70612	1.968337793
1.15062	4.873470928
1.52908	7.235476279
1.95834	10.98221283
2.35966	12.82866936
2.76606	16.4664245
2.77622	15.89660739
2.43078	12.50261476
1.97104	8.484536735
1.60528	5.416598712
1.13792	2.647136317
0.7493	1.669862163
0.47244	-0.013789485
0.44958	-0.339399262
0.37084	-0.529338299
0.42672	0.583606595
0	-2.430063132
-0.58166	-5.226214853
-1.2065	-9.16333526
-1.71958	-13.31708403
-2.26822	-18.17721029
-2.83972	-22.73841611
-2.67462	-18.50282007
-2.06502	-12.25840743
-1.53162	-8.810146513
-0.90932	-5.525135304
-0.381	-2.430063132
0.1524	-0.095191929
0.77724	3.35306899
1.34366	6.231067977
1.88468	9.950670377
2.4892	13.37135233
3.06324	17.93255814
3.5941	21.24514832
3.61696	19.15448445
3.0988	14.29480301
2.57302	11.25355431
1.9939	6.556677754
1.39446	3.787660182
0.74422	1.534191423
0.4572	-0.502204151
0.45212	-0.746411484
0.43434	-0.013789485
0.40132	-0.801124602
0	-2.565733873
-0.53594	-4.764934335
-1.12268	-8.403134291
-1.71196	-12.58401721
-2.30886	-17.11808887
