"Ono et al. 1989, Specimen CA060C"	
736	
0	0
0.035585	9.4698
0.062276	16.701
0.10676	22.383
0.16014	28.582
0.20462	34.263
0.27579	41.495
0.32027	46.66
0.34696	51.824
0.39144	57.161
0.46261	67.32
0.53378	76.621
0.56937	80.753
0.59606	83.849
0.61387	79.032
0.56937	73.348
0.56048	66.978
0.54267	62.672
0.516	58.198
0.45372	53.029
0.41813	48.038
0.37366	43.561
0.32027	38.051
0.27579	32.369
0.23131	26.515
0.17793	20.834
0.11565	14.463
0.062276	8.0922
0.02669	2.5827
-0.0088963	-3.6157
-0.062276	-12.569
-0.10676	-19.801
-0.14234	-25.138
-0.19572	-31.164
-0.24021	-37.879
-0.27579	-43.217
-0.30249	-47.175
-0.32916	-50.623
-0.34696	-52.86
-0.36474	-57.335
-0.40924	-62.499
-0.44483	-66.805
-0.4715	-70.594
-0.516	-75.932
-0.56937	-80.406
-0.60495	-83.68
-0.64054	-86.607
-0.64054	-77.137
-0.54267	-65.43
-0.48931	-58.714
-0.40924	-50.102
-0.34696	-40.118
-0.28468	-32.886
-0.24021	-25.655
-0.17793	-17.562
-0.11565	-9.1255
-0.080068	-0.68873
0	9.2977
0.15124	30.82
0.31138	48.038
0.41813	60.092
0.516	70.421
0.58717	82.128
0.67612	91.771
0.7651	99.862
0.90744	108.3
1.121	114.67
1.2099	116.91
1.2633	120.7
1.3701	124.83
1.4056	126.21
1.4679	122.76
1.4145	116.74
1.3612	110.54
1.3345	104.68
1.3256	100.38
1.2989	95.73
1.29	91.429
1.2633	84.712
1.2366	80.406
1.1565	70.594
1.0854	57.851
0.9875	47.175
0.89855	39.429
0.80068	32.542
0.70282	22.9
0.64054	17.218
0.56937	10.675
0.4982	4.3045
0.40924	-1.7218
0.32916	-8.0922
0.27579	-13.258
0.22241	-20.145
0.17793	-25.999
0.12455	-32.025
0.053378	-38.568
0	-43.906
-0.044483	-49.07
-0.12455	-56.819
-0.18682	-63.704
-0.2491	-69.389
-0.30249	-74.553
-0.40924	-82.991
-0.4715	-89.534
-0.53378	-95.214
-0.60495	-100.21
-0.75621	-110.19
-0.88964	-115.36
-0.9875	-118.12
-1.1031	-123.11
-1.2544	-129.13
-1.4323	-132.23
-1.5213	-134.13
-1.5302	-125.18
-1.4679	-114.33
-1.4323	-108.82
-1.3879	-100.9
-1.3434	-92.803
-1.2455	-79.548
-1.1031	-70.078
-1.0053	-61.983
-0.84516	-51.139
-0.72951	-42.528
-0.63165	-35.125
-0.50709	-25.138
-0.40924	-17.907
-0.32027	-9.1255
-0.19572	3.4436
-0.0088963	21.523
0.12455	32.542
0.25799	40.806
0.42702	53.376
0.55159	62.672
0.70282	73.348
0.88964	84.196
1.0142	93.666
