"Arakawa et al. 1982, Specimen 102"	
-1.7548	-56.983
-1.9707	-67.089
-2.2947	-77.373
-2.5106	-86.082
-2.9967	-98.803
-3.3475	-108.04
-3.6175	-116.75
-3.9416	-128.25
-4.4003	-136.27
-4.6164	-143.07
-4.7513	-149.16
-4.8054	-152.65
-5.0213	-154.04
-5.0483	-150.21
-5.0483	-144.98
-4.8054	-139.06
-4.5623	-134.7
-4.1303	-124.25
-3.7526	-113.79
-3.5636	-106.3
-3.2395	-99.155
-2.8616	-88.871
-2.6187	-81.901
-2.4567	-75.278
-2.2677	-68.833
-1.9977	-61.338
-1.8357	-55.938
-1.7548	-51.93
-1.5388	-44.087
-1.2148	-34.852
-0.94485	-27.707
-0.40495	-13.592
-0.026995	0
0.37795	28.056
0.7289	42.345
1.5388	69.705
1.8897	80.856
2.1597	88.871
2.5646	99.328
2.8346	108.04
3.0505	117.28
3.3746	124.07
3.6985	131.74
3.9144	138.54
4.1303	144.11
4.3464	148.82
4.5082	152.65
4.5082	154.57
4.7513	155.27
4.6972	153.87
4.6434	150.73
4.3734	144.64
4.3193	141.5
4.1844	135.05
3.8875	126.69
3.5095	118.49
3.1316	109.26
2.7805	101.42
2.4567	93.052
2.1327	83.818
1.8627	77.195
1.5928	70.398
1.3498	64.825
1.1069	58.029
0.86388	49.84
0.56693	39.383
0.32395	28.578
0.26995	18.646
0.053993	9.0615
-0.10799	0
-0.29695	-9.9328
-0.53993	-20.911
-0.7019	-29.798
-2.1867	-66.916
-2.4567	-79.637
-2.7805	-87.826
-3.0775	-94.449
-3.2936	-99.849
-3.5636	-108.91
-3.7526	-114.84
-3.9954	-121.28
-4.2385	-127.91
-4.5082	-134
-4.8054	-139.4
-4.9134	-143.07
-4.9944	-147.25
-5.0213	-149.69
-5.2642	-153.17
-5.3183	-154.74
-5.5342	-156.83
-5.6152	-156.31
-5.5342	-154.04
-5.4262	-151.61
-5.4262	-149.52
-5.3452	-145.68
-5.1562	-140.97
-4.9134	-135.92
-4.7782	-130.87
-4.6164	-126.34
-4.3464	-121.63
-4.1034	-116.06
-3.8605	-109.26
-3.5905	-102.29
-3.4554	-97.238
-3.1857	-91.833
-2.9967	-85.388
-2.9157	-80.856
-2.6726	-75.456
-2.4837	-70.052
-2.2137	-63.606
-2.0787	-58.9
-1.8627	-51.757
-1.7278	-46.179
-1.4308	-40.428
-1.2418	-35.375
-1.1878	-29.972
-1.0259	-23.873
-0.86388	-18.646
-0.6749	-13.767
-0.56693	-8.8871
-0.45893	-3.8337
-0.29695	2.2654
-0.053993	7.3187
0	8.7127
0.18897	16.206
0.26995	23.002
0.40495	29.45
0.7559	36.943
0.99885	43.739
1.2148	48.617
1.5928	65.697
1.9977	78.067
2.4297	89.222
2.8616	98.283
3.2126	105.6
2.9157	100.55
3.2126	106.82
3.3746	114.66
3.6175	123.73
3.8064	128.43
4.0764	134
4.4813	142.19
4.6434	146.03
4.8323	151.08
4.8323	153.52
5.0483	155.79
5.1562	156.83
5.2103	158.05
5.2642	158.58
5.2913	158.58
5.2913	157.36
5.2103	153.87
5.1024	149.34
4.8593	142.55
4.4275	134
4.2385	127.56
3.9685	119.71
3.6716	115.19
3.5095	110.48
2.9967	101.07
2.8616	96.539
2.5646	90.788
2.3487	86.26
2.1867	81.203
2.0517	78.592
1.8627	73.187
1.5118	65.346
1.1608	57.855
0.91788	51.406
0.56693	40.08
0.43193	37.988
-0.080988	18.297
-0.59393	-23.002
-1.1338	-37.117
-1.4848	-47.398
-2.6187	-78.067
-2.9426	-85.21
-3.4016	-96.015
-3.6716	-104.38
-3.9954	-112.4
-4.2923	-119.89
-4.6972	-128.25
-5.0752	-137.14
-5.2913	-144.98
-5.4262	-149.16
-5.6152	-151.08
-5.8042	-153.87
-6.0472	-155.27
-6.1011	-157.7
-6.1821	-158.23
-6.2631	-158.75
-6.2631	-158.05
-6.0201	-152.48
-5.7772	-147.77
-5.4803	-140.1
-5.3452	-134.7
-5.1562	-129.65
-4.9134	-123.37
-4.6972	-119.19
-4.3734	-111.7
-4.1575	-107.17
-3.8875	-101.25
-3.6444	-95.841
-3.3746	-91.833
-3.0505	-85.909
-2.9426	-84.165
-2.7805	-79.286
-2.5916	-73.539
-2.2947	-65.697
-1.9707	-58.727
-1.7818	-51.406
-1.5928	-45.307
-1.3498	-39.208
-1.1069	-29.972
-0.83688	-22.305
-0.6749	-14.986
-0.48593	-9.4097
-0.29695	-0.17426
-0.053993	5.9247
0.10799	12.198
0.32395	20.737
0.6209	31.715
0.86388	36.072
2.2407	83.992
3.4554	107.86
3.6716	113.97
4.0223	121.46
4.0764	123.55
4.3193	131.74
4.6434	138.01
4.7782	140.45
5.0752	147.07
5.2642	152.13
5.5342	155.96
5.6693	157.53
5.8042	158.92
5.8042	157.36
5.7231	154.22
5.6152	148.47
5.3724	142.37
5.1562	135.4
4.8862	129.82
4.5893	123.9
4.2385	116.75
3.8334	108.04
3.4826	98.456
