"Arakawa et al. 1982, Specimen 102"	
-11.77	-154.04
-11.581	-148.47
-11.149	-139.06
-10.663	-130.17
-10.151	-122.16
-9.4485	-110.83
-9.0708	-103.16
-8.2339	-91.486
-7.046	-75.456
-6.2631	-64.3
-5.2642	-51.059
-4.3193	-38.163
-3.3746	-25.267
-2.6457	-13.94
-2.1057	-5.5765
-1.5388	2.0911
-1.2148	5.7504
-0.59393	16.032
-0.18897	22.131
0.51293	31.192
1.1608	41.299
4.6434	90.788
5.9121	102.99
6.857	114.84
7.4239	122.33
8.6119	132.09
9.8265	141.85
10.691	146.9
11.203	149.69
11.473	150.91
11.554	149.69
10.852	136.62
10.529	129.13
10.285	122.68
9.5837	112.92
8.8819	103.34
8.2608	92.879
7.6398	84.69
7.046	77.72
6.209	66.916
5.2372	53.847
3.8064	36.42
2.7267	22.654
1.9437	11.152
1.1069	-0.17426
0.40495	-10.455
-0.40495	-19.691
-4.1844	-74.758
-5.2103	-87.305
-8.4229	-123.73
-9.3137	-132.09
-9.9075	-138.36
-10.529	-143.24
-11.122	-148.12
-11.527	-150.56
-11.905	-151.95
-12.121	-153.17
-12.364	-154.22
-12.364	-153.52
-12.337	-152.82
-12.283	-151.95
-12.067	-147.25
-11.932	-142.37
-11.77	-137.84
-11.473	-134.18
-11.095	-128.08
-10.448	-117.1
-10.015	-109.26
-9.3947	-99.155
-7.2349	-70.576
-4.2923	-33.458
-3.2395	-18.994
-2.6726	-12.198
-2.2407	-4.7051
-1.8357	2.6139
-1.2148	7.8418
-0.94485	11.849
-0.53993	18.297
0.13498	26.313
4.3193	84.165
6.2901	105.43
7.6398	119.89
8.6388	128.61
9.4757	134.7
10.285	139.93
11.069	144.64
11.527	147.77
11.743	149.16
11.932	149.86
12.229	150.21
12.256	150.39
12.175	148.64
12.094	145.33
11.743	140.97
11.419	135.22
11.069	126.51
10.799	120.24
10.313	113.44
9.9347	109.09
9.5026	102.12
8.6657	89.222
7.208	70.923
5.9121	55.587
4.4003	39.208
3.4554	27.707
2.6187	16.38
1.7278	3.8337
1.4038	-1.0455
0.80988	-8.8871
0.080988	-18.646
-5.6693	-92.532
-6.9649	-105.95
-7.7749	-114.49
-8.4767	-121.11
-9.1788	-127.73
-9.9616	-134.35
-10.825	-141.85
-11.392	-146.38
-11.797	-148.99
-12.121	-150.56
-12.715	-153.7
-12.85	-153.87
-12.742	-149.52
-12.337	-141.15
-11.689	-131.04
-11.392	-124.94
-10.907	-117.8
-10.61	-111.52
-9.0437	-90.09
-7.667	-71.448
-6.587	-59.247
-5.6693	-47.398
-4.8054	-35.026
-4.0764	-25.79
-3.1316	-15.335
-3.0505	-14.638
-2.5376	-8.1901
-2.2947	-3.1366
-1.8627	2.0911
-1.5118	5.4021
-1.1878	9.4097
-0.7559	13.418
-0.35095	17.949
0.080988	23.351
4.2113	81.381
4.6434	86.082
5.3993	93.75
6.1821	101.77
7.2619	112.92
8.3957	123.55
9.5837	131.74
10.474	137.84
11.095	141.5
11.689	145.33
12.364	148.47
12.634	149.34
12.607	145.16
12.121	135.92
11.743	127.03
10.988	118.32
10.367	107.17
9.2326	91.486
8.2339	79.637
7.397	68.833
6.479	58.727
5.7503	49.488
5.0213	41.648
4.1844	32.586
3.2664	22.305
2.5916	13.418
1.7008	2.7881
1.0799	-4.7051
0.45893	-13.418
0.026995	-19.691
-0.40495	-24.745
-4.4003	-75.803
-5.4262	-87.305
-6.2901	-96.886
-7.1539	-105.43
-7.7208	-111.35
-8.3957	-117.97
-9.1247	-124.94
-9.9075	-130.34
-10.744	-136.62
-11.419	-142.37
-11.986	-146.38
-12.607	-149.52
-13.093	-151.61
-13.201	-151.95
-13.309	-152.3
-13.309	-152.3
-13.309	-150.73
-13.147	-144.98
-12.823	-139.06
-12.499	-134
-12.121	-128.61
-11.797	-123.9
-11.473	-117.1
-10.96	-109.43
-9.7185	-91.486
-8.6657	-77.373
-6.7221	-55.938
-5.4803	-39.208
-4.6703	-28.578
-4.0495	-21.782
-3.4554	-15.335
-2.9695	-9.9328
-2.3217	-1.394
-1.8627	4.008
-1.4308	8.7127
-0.6749	16.032
