"Saatcioglu and Ozcebe 1989, Spec. U7"	
2008	
-0.054	-0.2105
-0.204	-16.98
-0.266	-20.71
-0.282	-21.88
-0.29	-22.27
-0.272	-22.15
-0.284	-22.25
-0.312	-22.29
-0.724	-45.13
-0.56	-33.82
-0.302	-18.91
-0.11	-3.327
-0.244	-15.02
-0.47	-27.12
-0.65	-43.6
-0.384	-22.79
-0.64	-35.97
-0.38	-23.41
-0.664	-39.25
-0.086	-2.997
-0.244	-14.58
-0.364	-24.57
-0.102	1.356
-0.266	-13
-0.416	-28.24
-0.416	-28.24
-0.394	-23.47
-0.39	-23.73
-0.394	-24.25
-0.204	-9.056
0.03	6.086
0.256	21.41
0.566	36.53
0.86	51.7
1.09	63.29
1.4	75.95
1.73	87.53
2.04	96.85
2.36	105.2
2.68	113.8
3.26	128.5
3.3	129.4
3.97	144.1
4.66	158.4
5.52	172.9
6.5	187.7
7.54	202.1
8.88	216.4
10	230.7
10.5	237.2
10.5	237.2
10.7	234.2
11	226
10.8	225.7
10.6	212.1
10.3	198.3
9.86	183.5
9.44	168.6
9	154.1
8.52	138.9
7.96	123.7
7.38	108.6
6.96	93.72
6.46	79.16
6.02	63.94
5.46	48.96
4.8	33.69
4.44	19.1
3.84	4.516
3.35	-10.44
2.9	-25.06
2.46	-39.73
2.01	-55.52
1.45	-70.4
0.876	-84.95
0.876	-84.95
0.314	-99.16
-0.342	-114.9
-1.03	-128.9
-1.74	-143.5
-2.53	-157.5
-2.86	-162.3
-3.18	-166.2
-4.24	-180.3
-4.36	-182.5
-4.72	-185.1
-5.1	-188.1
-5.76	-195.5
-6.06	-198.8
-6.42	-202.9
-6.64	-202.8
-6.72	-193.2
-6.46	-180.1
-6.32	-165.9
-5.76	-151
-5.3	-135.3
-4.84	-120.1
-4.38	-104.5
-3.86	-88.67
-3.39	-74.45
-3.39	-74.45
-2.9	-59.94
-2.4	-45.41
-1.91	-30.51
-1.4	-15.06
-0.958	-1.108
-0.462	13.93
0.078	29.28
0.686	45.41
1.24	59.19
1.96	75.62
2.53	89.12
3.24	103.7
3.87	118.3
4.58	133.2
5.16	147.5
5.6	156.3
5.46	140.5
5.02	124.9
4.42	107.6
4.38	93.59
3.44	78.48
2.83	62.3
2.27	47.4
1.71	32.06
1.71	32.06
1.06	14.09
0.522	-1.692
0.042	-15.84
-0.406	-29.68
-0.936	-45.16
-1.54	-60.78
-2.07	-75.52
-2.66	-90.77
-3.24	-106
-3.8	-121.2
-4.36	-137.7
-4.86	-152.2
-5.5	-167.4
-5.94	-180.2
-6.98	-194.2
-7.26	-179.9
-5.98	-162.1
-5.68	-148.8
-5.14	-132.8
-4.68	-117.3
-4.16	-102
-3.68	-86.95
-3.2	-73.17
-2.68	-58.51
-2.68	-58.51
-2.14	-43.61
-1.62	-28.48
-1.1	-13.24
-0.612	1.838
-0.156	16.17
0.358	30.79
0.922	45.9
1.54	61.11
2.18	75.71
2.85	91.35
3.5	106.5
4.28	121.7
4.78	135.8
5.4	150.5
5.32	136.5
4.84	120.6
4.42	107
3.92	90.44
3.27	74.73
2.68	59.15
2.06	43.51
1.54	29.69
0.986	14.74
0.462	-0.5419
0.462	-0.5419
-0.078	-16.63
-0.576	-31.57
-1.12	-46.98
-1.7	-62.27
-2.28	-77.33
-2.89	-92.71
-3.46	-108.3
-4.06	-124
-4.56	-138.3
-5.12	-154.1
-5.74	-170.7
-6.54	-186.4
-6.24	-171.7
-6.12	-156.7
-5.3	-141.4
-5	-126.1
-4.58	-110.9
-4	-97.2
-3.56	-84.71
-3.06	-70.09
-2.56	-56.84
-2.05	-42.66
-1.55	-28.13
-1.01	-12.34
-1.01	-12.34
-0.45	4.406
0.002	19.15
0.566	33.77
1.19	49.03
1.77	64.86
2.41	79.43
3.07	93.73
3.65	107.9
4.26	122.9
4.88	137
5.48	151.9
5.66	156.7
5.84	159.3
5.92	153.8
6.32	169
6.98	183.1
7.76	198.1
8.88	213.1
9.94	227.2
10.9	241.7
12	256.5
13.1	271.1
14.3	285.2
15.7	299.5
15.7	299.5
18.4	310.5
21	319.4
21.7	319.3
22	310.6
22.1	303.3
22.1	292.8
21.7	278
21.3	261.7
20.8	246.7
20.4	231.2
19.8	216
19.2	200.2
18.5	184.4
18.1	170
17.3	155.3
16.9	145.9
16.7	151.5
16.5	137.8
16	123.8
15.2	108.5
14.5	93.63
13.6	78.05
12.8	63.71
12	49.17
12	49.17
11.1	33.96
10.2	19.21
9.32	4.677
8.44	-11.25
7.52	-24.87
6.9	-32.18
6.86	-27.13
6.3	-41.82
5	-56.15
4.14	-71.09
3.1	-85.63
1.99	-100.3
1.16	-113.3
0.268	-128.1
-0.572	-143.2
-1.49	-158.9
-2.43	-173.9
-3.6	-188.3
-3.78	-189.9
-4.68	-198.6
-4.62	-192.8
-5.04	-185.9
-5.34	-196
-6.02	-208
-6.02	-208
-7.22	-222.1
-8.32	-235.7
-9.46	-249
-10.8	-262
-12.2	-276.5
-13.5	-290.6
-15.7	-302.8
-18.3	-313.9
-20.7	-321.5
-21.6	-324.4
-22	-316.9
-22.1	-304.2
-21.9	-290
-21.5	-276
-21	-262
-20.6	-247.7
-20.1	-234.3
-19.5	-217.6
-19	-205.1
-18.3	-189.9
-17.8	-175
-17.4	-166.6
-17.6	-167.4
-17.4	-170
-17.4	-170
-16.9	-154.4
-16.3	-139.5
-15.6	-125.5
-15.3	-113.4
-14.4	-100.1
-13.7	-84.86
-12.9	-69.92
-12	-55.4
-11.2	-41.43
-10.4	-27.24
-9.76	-19.66
-9.66	-21.04
-9.02	-6.347
-8.12	7.268
-7.24	21.31
-6.18	34.01
-5.08	46.45
-3.8	59.68
-2.52	72.42
-1.13	86.72
0.144	99.76
1.29	113.4
2.46	127.5
3.55	141.1
3.55	141.1
4.76	154.7
5.78	169.1
7.08	182.2
7.94	196.1
9.9	210
12	224
14.1	238.3
15.9	252.7
17.4	267
18.8	281
20.7	295.5
22	306.2
21.2	293
21.7	277.2
21.2	261.1
20.7	244.7
20.2	228.7
19.6	214
19.1	198.6
18.2	184.2
17.8	169.5
17.1	153.4
16.5	138.7
15.7	123.2
15.7	123.2
14.9	108.6
14.1	93.98
13.3	79.53
12.5	65.75
11.7	50.73
10.7	38.04
9.66	23.49
8.62	8.5
7.82	-5.602
7.04	-19.21
6.46	-25.44
6.76	-23.39
5.44	-37.44
4.5	-52.69
3.4	-65.27
2.18	-78.91
0.862	-93.53
-0.382	-108
-1.6	-123.3
-2.75	-138.5
-3.92	-154.1
-5.32	-169.2
-6.42	-184.3
-8.1	-199.4
-8.1	-199.4
-10.7	-213.7
-12.4	-227
-14.1	-241.8
-15.5	-254.7
-17	-269.4
-18.4	-284.3
-19.9	-299.2
-21.6	-314
-22.1	-314.2
-22.2	-302.2
-21.8	-287.8
-21.3	-271.8
-20.8	-255.4
-20.2	-239.9
-19.6	-223.1
-18.9	-207.1
-18.3	-191.9
-17.7	-176
-17	-162.1
-16.3	-146.4
-15.6	-131.1
-14.9	-116.1
-14.2	-100.3
-13.3	-85.7
-13.3	-85.7
-11.9	-65.25
-11	-48.83
-10.1	-35.31
-9.26	-20.43
-9.1	-19.6
-9	-21.21
-8.28	-6.245
-7.44	8.982
-6.28	23.88
-5.1	38.81
-3.72	53.59
-2.24	68.39
-0.942	81.62
0.52	96.27
1.84	111
3.11	126.8
4.34	141.6
5.4	156
6.58	170.2
7.88	185.4
9.26	200.6
10.7	214.5
12.5	228.1
14.8	242.3
14.8	242.3
16.7	256.6
17.9	270.7
19.3	285.3
21.3	300.2
22	301.5
22	288.6
21.7	273.7
21.2	257.2
20.7	241.5
20.1	225.5
19.5	209.1
18.9	192.5
18.2	176.3
17.5	160
16.8	145.8
16	129.3
15.3	113.2
14.4	97.6
13.4	81.95
12.5	65.92
11.4	50.43
10.2	34.28
9.3	20.5
8.3	5.548
8.3	5.548
7.06	-12.92
6.02	-28.28
6.04	-24.98
5.94	-24.16
5.16	-38.63
3.98	-54.41
2.64	-69.56
1.29	-84.36
0.022	-98.45
-1.33	-113.8
-2.49	-128.1
-3.59	-142.8
-4.72	-158.6
-5.98	-173
-7.3	-187.8
-8.94	-202.5
-11	-215.7
-13	-228.4
-14.7	-242.3
-16.3	-256.8
-17.7	-271.8
-19.1	-285.8
-20.5	-299.8
-22.2	-314.4
-22.2	-314.4
-22.2	-299.8
-21.9	-287.1
-21.4	-272.5
-20.9	-257.3
-20.4	-240.6
-19.5	-223.4
-19.1	-207.5
-18.5	-193.1
-17.8	-176.7
-16.8	-161.7
-16.4	-145.2
-15.5	-129.1
-14.8	-114.5
-14.6	-99.38
-13.2	-84.18
-12.3	-69.45
-11.3	-54.5
-10.3	-39.66
-9.36	-24.88
-8.94	-18.47
-8.96	-23.71
