"Zhou et al. 1985, Specimen 1007"	
889	
0	0
0.0281685	0.94569
0.0281685	1.4711
0.056335	1.7513
0.09859	2.5919
0.119715	3.2224
0.14789	3.7478
0.190145	4.6935
0.20423	5.1837
0.20423	5.6743
0.22535	6.2348
0.260565	6.7249
0.29577	7.0754
0.32394	7.5656
0.352105	8.0558
0.408445	8.6865
0.436615	9.0717
0.457745	9.3168
0.478865	9.4218
0.5141	9.6673
0.5211	9.6673
0.52815	8.8964
0.5493	8.2662
0.56335	7.7057
0.56335	7.5305
0.56335	7.3205
0.5704	6.62
0.54225	6.0946
0.50705	5.3238
0.4507	4.4484
0.40141	3.6076
0.359155	2.5919
0.330985	1.8213
0.30282	1.0157
0.288735	0.45534
0.27465	-0.21015
0.253515	-0.66551
0.22535	-1.1909
0.17606	-1.9965
0.154925	-2.3467
0.133805	-2.732
0.035211	-4.5183
-0.0281685	-5.4639
-0.09155	-6.3749
-0.12676	-7.1804
-0.190145	-7.9157
-0.22535	-8.3711
-0.24648	-8.5464
-0.309855	-9.1068
-0.338025	-9.3168
-0.352105	-9.4218
-0.36619	-9.3871
-0.36619	-9.0014
-0.36619	-8.336
-0.36619	-7.9508
-0.37324	-7.2854
-0.36619	-6.7952
-0.32394	-6.0595
-0.29577	-5.5689
-0.2676	-5.1139
-0.24648	-4.7287
-0.211265	-4.133
-0.183095	-3.6427
-0.133805	-2.8371
-0.10563	-2.2767
-0.084505	-1.9614
-0.056335	-1.5411
-0.0281685	-0.91068
-0.007042	-0.38529
0	0.10508
0.084505	2.0315
0.14789	3.6777
0.20423	5.1837
0.2676	6.515
0.352105	7.8458
0.436615	8.9316
0.5352	10.052
0.5845	10.858
0.6197	11.523
0.65495	12.049
0.72535	12.925
0.7535	13.345
0.7887	13.695
0.83095	14.221
0.85915	13.695
0.8662	12.784
0.85915	12.574
0.85915	12.259
0.85915	11.944
0.84505	11.418
0.82395	10.963
0.77465	10.122
0.6972	9.0717
0.64085	8.4414
0.57745	7.3904
0.5493	6.62
0.5211	5.7793
0.478865	5.0089
0.436615	4.2381
0.387325	3.1173
0.34507	2.1716
0.309855	1.1208
0.288735	0.38529
0.24648	-0.49035
0.211265	-1.366
0.16901	-2.3467
0.119715	-3.0122
0.06338	-4.028
0.0211265	-4.7985
-0.049295	-6.0946
-0.119715	-7.0754
-0.183095	-7.9508
-0.232395	-8.5815
-0.2676	-9.2816
-0.30282	-9.9822
-0.36619	-11.173
-0.42253	-11.944
-0.485915	-12.749
-0.52815	-13.205
-0.5845	-13.975
-0.61265	-14.221
-0.65495	-14.431
-0.69015	-14.431
-0.6972	-14.186
-0.6972	-13.73
-0.7042	-12.679
-0.7042	-11.454
-0.69015	-10.718
-0.66195	-10.193
-0.6338	-9.7371
-0.5986	-9.0014
-0.55635	-8.1959
-0.5141	-7.3205
-0.485915	-6.7952
-0.429575	-5.5342
-0.387325	-4.8336
-0.338025	-4.063
-0.24648	-2.662
-0.16901	-1.8213
-0.07042	-0.59545
-0.0211265	-0.035026
0.0211265	0.80558
0.06338	1.9264
0.09155	2.5218
0.084505	2.8021
0.10563	3.4325
0.133805	4.3082
0.16901	4.9386
0.211265	5.7441
0.253515	6.4798
