"Wight and Sozen, 1973, Spec. WS067W"	
1149	
0	0
0.21434	4.2126
0	7.9294
0.071448	11.523
0.071448	14.125
0.21434	16.603
0.42868	18.585
0.64303	20.567
0.78593	21.93
1.1432	25.028
1.5004	27.877
2.0006	31.346
2.2863	34.692
2.6436	37.913
2.7864	39.895
3.0724	42.621
3.2865	43.86
3.7153	48.941
4.4298	53.523
4.7155	56
5.2873	58.727
5.6444	60.96
5.9301	62.321
6.5733	66.409
7.002	68.762
7.6449	71.986
8.0023	73.597
8.3594	75.456
8.5024	76.074
9.3596	79.045
9.8598	80.905
10.432	83.138
10.86	84.499
11.646	86.976
12.146	88.342
12.789	90.197
13.218	91.064
13.218	91.064
13.432	90.321
13.647	89.703
13.718	88.586
13.647	86.727
13.647	84.374
13.575	82.395
13.432	80.286
13.361	78.427
13.289	75.456
13.289	73.597
13.147	71.986
13.004	70.127
12.861	67.774
12.789	66.284
12.646	64.549
12.36	61.08
12.218	59.345
11.86	57.615
11.503	55.133
11.217	52.78
10.86	50.921
10.646	49.186
10.432	47.207
10.289	45.966
10.074	44.108
9.8598	42.126
9.6454	40.267
9.2883	36.674
9.0739	34.939
8.9309	32.957
8.7168	31.222
8.5024	29.24
8.2166	27.258
8.0023	25.399
7.7879	23.665
7.5021	21.682
7.2878	20.072
7.0734	18.213
6.7876	16.354
6.5019	14.496
6.0731	11.894
5.7158	10.16
5.2156	7.9294
4.7871	6.0711
4.5011	4.5841
4.2154	3.2214
3.9296	1.7346
3.6439	0
3.2151	-1.7346
2.7864	-3.717
2.3578	-5.4515
2.0006	-7.0621
1.7148	-8.5491
0.71448	-13.257
0.42868	-14.744
0.071448	-16.479
-0.071448	-18.213
-0.35725	-19.7
-0.64303	-21.559
-0.92883	-23.293
-1.0717	-25.523
-1.2146	-26.638
-1.5004	-29.116
-1.9291	-32.833
-2.2863	-35.683
-2.5007	-37.417
-2.7864	-39.648
-3.1438	-41.878
-3.3581	-43.736
-3.5725	-45.347
-3.7866	-46.958
-4.001	-48.941
-4.7155	-52.655
-5.1443	-55.382
-5.6444	-58.233
-6.2159	-60.96
-6.859	-63.931
-7.5021	-66.782
-8.2166	-69.754
-8.9309	-72.48
-9.574	-74.339
-10.146	-76.199
-11.575	-80.162
-12.146	-82.021
-12.432	-83.258
-12.718	-84.25
-13.075	-85.241
-13.575	-86.358
-14.361	-87.101
-14.647	-87.474
-14.933	-87.101
-14.933	-85.984
-14.861	-84.374
-14.361	-80.286
-14.147	-78.058
-13.789	-74.833
-13.289	-71.986
-12.718	-69.26
-12.218	-66.039
-12.003	-64.923
-11.718	-63.562
-11.289	-61.329
-11.217	-58.233
-11.003	-54.515
-10.646	-51.913
-10.289	-49.066
-9.9314	-46.584
-9.717	-44.356
-9.431	-42.002
-9.1453	-40.391
-8.9309	-38.161
-8.5024	-34.939
-8.0736	-32.09
-7.7163	-30.107
-7.3591	-28.249
-7.1448	-25.647
-6.859	-23.169
-6.0731	-17.841
-5.7158	-15.611
-5.3586	-13.629
-4.8585	-11.523
-4.4298	-9.1687
-3.8583	-6.3188
-3.3581	-3.717
-2.7864	-1.239
-2.2863	0.61947
-1.2146	6.8143
-1.0003	8.3013
-0.71448	9.4164
0.071448	13.381
0.78593	16.107
1.5004	19.576
2.1434	22.178
2.6436	25.399
3.1438	28.373
3.6439	31.222
4.3584	35.311
4.7871	37.417
5.2156	39.771
5.573	41.63
6.0015	43.984
6.2875	45.717
6.5733	47.7
7.5021	52.905
7.9306	54.764
8.4308	57.117
9.0739	59.345
9.574	61.827
9.9314	64.056
10.289	65.915
10.932	69.509
11.86	74.339
12.432	76.443
12.861	78.552
13.289	80.66
13.789	82.639
14.218	84.623
14.647	86.482
15.218	88.093
15.719	89.209
16.433	90.446
17.362	91.562
18.148	92.305
19.434	93.172
20.72	93.791
22.22	94.533
23.578	94.907
25.865	95.525
27.363	95.899
28.865	96.144
30.724	96.517
31.151	96.642
31.722	96.766
31.722	96.642
31.58	96.023
31.509	94.164
31.366	92.305
31.079	90.819
30.65	89.329
30.079	87.35
29.652	85.366
29.08	83.507
28.58	81.278
28.08	78.676
27.508	75.95
27.008	73.472
26.507	71.119
25.865	67.894
25.436	65.297
25.007	63.064
24.292	59.843
23.578	56.498
22.935	53.772
22.22	50.801
21.649	48.319
21.006	45.472
20.506	43.117
19.863	40.267
19.291	37.17
18.791	34.444
18.219	31.346
17.576	28.868
16.933	26.143
16.362	23.665
15.79	20.815
15.29	18.089
14.933	15.611
14.433	12.762
13.861	9.6642
13.147	6.5666
12.575	4.0886
12.003	1.4868
11.503	-0.3717
10.932	-2.3541
9.717	-5.3278
8.9309	-7.0621
8.145	-8.7968
7.3591	-10.532
6.5733	-12.514
5.43	-15.24
4.3584	-17.594
3.5009	-19.824
2.858	-21.559
1.429	-24.78
-0.50013	-29.488
-1.1432	-31.099
-2.0006	-33.205
-2.7864	-35.683
-3.5725	-38.161
-4.2868	-41.011
-4.9299	-43.241
-5.7158	-46.09
-7.3591	-52.286
-8.145	-55.133
-8.7881	-57.49
-9.3596	-59.719
-10.146	-62.57
-10.932	-65.666
-11.718	-68.762
-12.36	-71.364
-12.861	-73.597
-13.575	-76.817
-14.075	-79.294
-14.79	-82.639
-15.576	-85.366
-16.29	-86.852
-17.291	-87.844
-18.791	-88.835
-19.934	-89.454
-21.72	-89.952
-23.006	-90.321
-24.007	-90.446
-24.864	-90.57
-27.008	-90.939
-27.935	-91.064
-29.08	-91.188
-30.223	-91.188
-30.937	-91.188
-31.295	-91.188
-31.651	-91.188
-31.722	-91.064
-31.651	-90.446
-31.366	-88.462
-30.795	-85.366
-30.579	-83.631
-30.15	-81.403
-29.723	-79.045
-29.152	-76.199
-28.651	-73.348
-28.222	-70.745
-27.793	-68.517
-27.221	-65.541
-26.866	-63.313
-24.435	-51.17
-24.221	-48.941
-23.721	-46.339
-23.221	-43.736
-22.578	-41.63
-21.934	-38.78
-21.363	-35.931
-20.863	-33.453
-20.291	-30.603
-19.577	-28.001
-19.005	-25.275
-18.434	-23.045
-17.648	-20.195
-16.862	-17.47
-15.933	-14.496
-15.218	-12.142
-14.504	-9.9119
-13.861	-7.8058
-13.218	-5.8233
-12.503	-3.593
-11.718	-1.239
-10.789	0.74339
-10.36	1.9824
-9.6454	3.8408
-9.0025	5.5756
-8.3594	7.3098
-7.5735	9.5401
-6.859	11.151
-6.2159	12.514
-5.5014	13.753
-4.3584	15.611
-3.1438	17.718
-2.0006	19.576
-1.1432	20.939
-0.21434	22.55
0.2858	23.788
1.429	26.514
2.3578	28.249
3.0008	29.488
3.4295	30.479
4.144	32.337
5.0013	35.435
5.7158	38.037
6.6446	41.754
6.859	42.497
7.5021	44.605
8.145	46.339
8.6451	47.949
8.8595	48.692
9.574	50.552
10.217	52.411
11.003	54.515
11.718	56.374
12.289	57.735
12.575	58.482
13.932	62.072
15.004	65.297
15.79	67.031
16.647	69.011
17.291	70.376
18.148	72.48
19.434	75.207
20.648	77.311
21.72	79.045
23.221	81.154
23.935	82.515
25.078	84.25
25.794	85.491
27.864	88.342
28.435	89.085
29.365	90.197
30.008	90.939
31.151	92.056
31.438	92.305
31.722	91.562
31.509	90.197
31.008	88.586
30.508	86.607
30.223	84.872
29.865	82.764
29.507	79.294
29.007	76.323
28.435	73.472
27.793	70.745
27.15	68.392
26.365	65.048
25.578	61.329
24.435	57.366
23.721	54.39
21.934	47.576
21.506	45.966
20.934	43.117
20.434	41.011
19.863	38.78
19.291	35.931
18.791	33.205
18.219	29.984
17.505	27.01
16.933	24.284
16.29	21.559
15.79	19.576
15.29	17.222
14.933	15.487
14.361	12.762
13.718	9.7878
13.218	7.3098
12.646	4.956
12.146	2.9736
11.646	0.74339
10.932	-0.86727
9.5026	-2.9736
7.9306	-4.8319
6.2875	-7.0621
5.0729	-9.0446
4.144	-11.275
3.6439	-12.142
3.1438	-13.505
2.1434	-15.859
1.1432	-18.089
0.64303	-19.328
-0.2858	-22.178
-2.3578	-27.877
-2.7864	-30.107
-3.0724	-31.594
-3.5009	-33.081
-4.2154	-35.063
-4.9299	-37.046
-6.3589	-40.515
-7.2161	-42.745
-8.0023	-44.974
-8.7881	-46.958
-9.431	-48.692
-10.146	-50.676
-10.574	-52.162
-11.36	-54.266
-12.218	-56.623
-13.075	-58.482
-13.861	-60.092
-14.718	-61.947
-15.647	-63.931
-16.362	-65.417
-17.291	-66.782
-19.077	-69.754
-19.72	-70.995
-20.434	-72.729
-21.506	-74.833
-22.649	-76.692
-24.007	-78.925
-24.792	-79.913
-26.078	-80.905
-27.008	-81.897
-27.935	-83.138
-28.509	-83.756
-29.007	-84.25
-29.436	-84.499
-29.723	-84.623
-29.794	-82.888
-29.794	-81.029
-29.652	-79.544
-29.436	-77.311
-29.223	-75.825
-28.865	-73.098
-28.509	-70.252
-27.864	-66.907
-27.15	-63.931
-26.579	-60.835
-26.007	-58.233
-25.578	-55.88
-25.15	-53.772
-24.507	-50.676
-23.721	-47.451
-22.721	-42.869
-21.792	-39.028
-20.72	-34.32
-20.006	-30.727
-19.505	-28.249
-18.577	-23.788
-17.791	-20.072
-16.79	-16.726
-16.004	-14.496
-14.861	-11.151
-14.075	-8.7968
-13.218	-6.4429
-12.218	-3.717
-11.146	-0.4956
-10.146	1.8585
-9.2883	3.717
-7.9306	6.8143
-6.7876	9.4164
-5.43	12.266
-4.144	15.116
-2.3578	19.204
-0.85738	22.302
-0.78593	22.55
0.85738	25.399
2.072	28.125
3.4295	30.603
4.2868	32.833
5.2156	35.187
5.8588	36.798
6.6446	38.78
9.2883	45.966
10.717	49.809
11.646	52.411
12.646	54.515
13.504	56.498
14.647	58.976
15.433	60.711
16.147	62.695
17.791	66.409
18.505	68.392
19.148	69.878
20.863	73.846
21.434	75.082
22.863	77.684
24.15	79.913
25.078	81.647
26.507	83.756
27.579	85.117
28.293	85.984
30.437	88.217
31.079	88.835
31.509	89.209
30.008	83.756
28.722	78.552
28.009	74.589
26.65	69.011
25.72	64.923
23.721	56.249
22.506	50.921
21.363	46.339
20.506	42.497
19.72	38.533
18.719	33.948
17.791	29.612
16.576	24.532
15.576	19.7
14.361	13.876
13.504	10.16
12.861	6.9384
12.289	4.2126
11.86	2.6019
10.146	-1.4868
9.2883	-2.6019
