"Sakai et al. 1990, Spec. B5"	
132	
0	0
-0.0025	-0.73575
-0.035	0.24525
-0.065	0.23544
-0.095	-0.01962
-0.135	-0.04905
-0.155	-0.85347
-0.2325	-1.344
-0.3125	-1.9031
0.2225	78.225
0.6425	149.51
1.0575	195.54
1.565	248.14
2.15	298.45
2.505	320.8
2.455	297.14
2.19	248.75
1.845	197.99
1.5675	147.84
1.385	102.81
0.9625	52.846
0.8225	24.339
0.6025	3.2569
0.5075	-20.738
0.2975	-43.507
-0.0275	-95.461
-0.4725	-149.64
-0.93	-198.46
-1.4575	-247.91
-2.1075	-297.37
-2.495	-319.79
-2.4525	-298.61
-2.1925	-246.54
-1.9225	-205.75
-1.5275	-144.81
-1.3375	-99.758
-1.0375	-56.437
-0.6575	-4.1104
-0.245	47.785
0.1375	100.6
0.495	147.97
0.9025	197.66
1.355	248.42
1.995	308.42
2.5075	347.77
3.0125	379.27
3.52	402.69
4.175	405.59
4.7075	380.98
5.0025	387
4.76	333.74
4.4175	299.18
3.8925	249.24
3.63	203.29
3.0575	153.26
2.5575	110.99
1.885	51.395
1.465	6.1116
0.915	-48.314
0.4475	-95.422
-0.0375	-146.98
-0.5475	-197.87
-1.085	-246.86
-1.5075	-282.35
-2.0125	-320.23
-2.52	-342.42
-3.01	-362.84
-3.505	-375.19
-4.03	-381.98
-4.525	-377.63
-5.025	-382.64
-5.03	-354.68
-4.615	-301.33
-4.145	-256.64
-3.6825	-195.81
-3.13	-148.75
-2.6175	-108.65
-1.975	-54.779
-1.4125	-5.4936
-0.78	47.608
-0.2275	97.609
0.3875	148.23
1.0025	196.4
1.705	245.25
2.585	297.66
3.2775	331.28
3.915	356.94
4.5	374.39
5.01	385.53
4.8675	349.42
4.405	301.1
3.7275	232.94
2.89	152.15
1.97	82.002
1.0025	4.8658
0.3	-50.365
-0.25	-95.697
-0.9475	-148.7
-1.6025	-196.71
-2.425	-249.51
-3.165	-292.3
-3.8675	-327.65
-4.385	-347.9
-5.0125	-366.9
-4.79	-316.39
-4.145	-254.93
-3.245	-156.35
-2.005	-59.498
-1.3875	-6.1803
-0.6675	48.098
-0.03	100.48
0.5975	148.44
1.285	197.75
2.1	249.54
3.06	300.65
4.045	343.23
5.04	376.04
6.045	385.1
7.0625	385.08
9.455	297.68
11.51	202.25
12.115	171.5
12.602	155.32
11.945	103.76
10.908	66.943
9.165	9.9375
8.795	5.7094
8.7425	3.561
8.605	2.7762
8.52	2.119
8.405	1.6088
8.2425	1.9914
