"""Thompson and Wallace, 1994, D3"""	
787	
-0.12192	-0.36653341
-0.17272	-1.696996312
-0.2667	-4.411745588
-0.38354	-6.638080198
-0.44196	-8.511670884
-0.55372	-11.28068846
-0.65786	-12.01375528
-0.52324	-8.864414809
-0.4318	-6.774195761
-0.38862	-4.303208995
-0.25654	-1.316673416
-0.16764	1.208136824
-0.09144	3.35306899
-0.03556	5.769342637
0.10414	8.212750432
0.19304	9.950670377
0.26924	11.14501772
0.14732	8.56593918
0.11176	6.339604569
0.01524	3.380203138
-0.07874	0.82825875
-0.18796	-1.343807564
-0.22098	-2.728538761
-0.30226	-5.117678261
-0.37592	-7.50681776
-0.46736	-9.814999637
-0.58166	-12.33980988
-0.64262	-13.69740693
-0.5461	-10.38481675
-0.45974	-8.131347988
-0.37592	-5.877879229
-0.30226	-2.89134365
-0.24384	-0.420801707
-0.10922	2.45719728
-0.00762	4.466013884
0.08382	6.774195761
0.17526	9.16333526
0.23368	11.03648112
0.14224	8.593073328
0.0762	6.068263088
0.01016	3.732947063
-0.07366	1.072466083
-0.16256	-1.615593867
-0.20066	-2.239679274
-0.2667	-3.841928478
-0.48768	-8.783012365
-0.71374	-15.81520494
-0.96012	-20.29456349
-1.22174	-23.87849515
-1.43256	-25.88775658
-1.20396	-19.88755127
-0.97282	-13.94161426
-0.7493	-7.968543099
-0.51308	-1.642728015
-0.28956	4.357477292
-0.03302	9.706018222
0.20574	14.4033396
0.45974	17.66121666
0.7112	21.05476446
0.95504	24.12314731
0.82042	19.23588689
0.56896	13.28994988
0.32512	7.832872359
0.0762	2.049740237
-0.1397	-3.217398249
-0.20574	-4.656397743
-0.1905	-5.036275816
-0.37084	-9.271871852
-0.63246	-14.37620545
-0.89408	-18.88314297
-1.14808	-23.00975759
-1.40208	-26.5122868
-1.31318	-22.5208981
-1.07442	-16.54782694
-0.8255	-10.19487771
-0.62738	-5.171946557
-0.37846	1.235270972
-0.14986	6.882732353
0.08636	11.36253572
0.35306	14.97315671
0.61468	19.23588689
0.86614	22.73841611
0.89154	20.89195957
0.66802	15.00029086
0.41656	9.380408445
0.18796	4.086135811
-0.04064	-1.452344157
-0.1905	-4.927739224
-0.19558	-5.199080705
-0.38608	-9.570347482
-0.82042	-17.19949132
-1.27	-23.82422685
-1.7145	-29.79729801
-2.1209	-33.87008916
-2.4257	-35.77036917
-2.2733	-31.07349262
-1.93294	-23.30823322
-1.50114	-15.10927227
-1.10744	-6.746616791
-0.67818	0.583606595
-0.28956	5.932147526
0.06096	11.57960891
0.46482	17.38987518
0.85852	23.00975759
1.24206	27.46242681
1.6637	31.3448341
1.8288	30.31329165
1.42748	21.76069713
1.0414	14.05015085
0.66548	6.448141162
0.28702	-0.257996818
-0.09398	-5.715074341
-0.20828	-6.828464057
-0.20574	-6.61094605
-0.2032	-6.692348495
-0.24892	-7.887140655
-0.71374	-14.83748597
-1.1557	-20.89195957
-1.59766	-26.07769561
-2.05994	-31.3448341
-2.48158	-35.3904911
-2.21742	-28.43970096
-1.86182	-21.40795321
-1.4859	-14.64754693
-1.12014	-7.724335767
-0.762	-1.126734379
-0.41148	4.059001663
-0.09144	8.674475772
0.2413	13.75167522
0.6223	19.04594786
1.00584	23.71569026
1.40462	28.05982289
1.83388	32.78383359
