"Arakawa et al. 1989, Specimen OA5"	
-0.3125	-25.057
-0.47526	-29.333
-0.68359	-35.27
-0.93099	-40.733
-1.1654	-47.74
-1.4323	-53.799
-1.6341	-59.021
-1.9206	-64.959
-2.168	-68.762
-2.4284	-72.68
-2.6107	-74.104
-2.7344	-74.58
-2.793	-73.628
-2.8255	-68.762
-2.7734	-62.939
-2.6758	-57.953
-2.5585	-52.611
-2.4284	-46.673
-2.168	-36.221
-2.0377	-32.183
-1.8686	-26.483
-1.6666	-19.357
-1.4453	-14.251
-1.1263	-7.244
-0.94402	-3.4439
-0.76822	-0.23751
