"""Mo and Wang, 2000 Test C2-1"""	
738	
-0.0536	0
-0.4208	0
0.2896	19.53
1.3672	41.5
2.972	61.28
3.1456	53.96
3.5112	70.56
2.5936	52.73
1.516	28.81
0.6376	7.57
-0.448	-5.62
-1.7008	-22.46
-2.3792	-39.55
-2.3608	-33.69
-1.9744	-29.54
-2.0592	-27.34
-2.1376	-34.91
-1.9704	-20.02
-0.9088	-1.46
0.7192	12.7
1.4296	33.45
2.1232	41.02
1.8728	38.09
2.0312	49.56
2.8592	52.25
2.4824	55.42
3.216	71.04
2.4896	53.71
1.2288	30.52
0.7016	9.77
-0.376	-2.93
-1.2616	-19.78
-2.3232	-38.09
-2.448	-28.81
-1.7344	-26.12
-1.78	-26.12
-2.1376	-35.64
-1.6032	-21
-0.9088	-2.2
0.7192	11.47
0.7192	11.47
1.8192	36.87
0.9192	36.62
1.8672	56.64
3.5112	81.79
6.1848	108.64
8.0128	132.32
7.5096	110.6
5.3472	73.24
2.8328	36.87
0.3264	2.93
0.0576	-24.9
-0.2176	-35.4
-1.0288	-31.25
-2.808	-55.42
-5.6016	-85.69
-7.4296	-109.13
-6.5912	-87.65
-4.452	-51.27
-2.1216	-17.58
0.1368	8.54
0.4608	41.02
0.808	47.85
2.1144	56.64
4.1576	71.78
5.8256	101.32
8.0048	131.59
7.5016	111.33
5.3392	75.44
2.8168	40.28
0.6696	7.32
-1.4696	-18.55
-0.5296	-28.32
-0.7808	-36.13
-2.816	-45.17
-4.8672	-75.93
-7.4136	-105.71
-6.0328	-86.43
-4.0768	-51.27
-1.7464	-18.55
-0.2064	7.57
-0.2064	7.57
2.7792	42.97
2.6864	46.14
4.2064	66.65
7.0472	110.6
10.5272	151.12
13.1768	181.4
11.5248	149.41
8.4592	103.76
5.4104	60.55
2.1696	16.36
-0.8312	-20.51
-2.136	-28.81
-3.1592	-44.92
-5.8408	-88.38
-9.3208	-127.93
-12.0824	-156.25
-11.0368	-126.22
-7.4848	-81.3
-3.9328	-39.79
-0.5568	-0.73
2.38	36.87
2.8304	48.58
4.2152	61.77
7.4784	101.32
10.04	139.65
13.736	177.73
11.5328	148.19
8.4672	103.76
5.2352	62.5
2.1776	20.02
-1.0552	-15.62
-3.0232	-26.37
-3.008	-37.11
-5.8968	-76.66
-9.3608	-114.75
-12.3136	-151.86
-10.5184	-124.27
-7.7088	-80.32
-4.524	-40.77
-1.3232	-1.71
-1.3232	-1.71
1.7624	38.09
1.6032	52
5.9368	83.74
9.8	134.28
13.9512	184.33
18.956	219.48
16.0824	175.05
11.948	122.31
7.6376	73.97
3.5592	23.19
3.4248	-20.26
-0.1576	-32.71
-4.34	-64.94
-8.7456	-112.55
-13.032	-160.4
-17.5744	-196.29
-15.156	-155.27
-11.0936	-103.03
-6.28	-55.18
-2.3136	-8.79
-1.6024	33.45
1.8112	51.76
5.6256	79.35
10.2552	121.34
14.5256	164.55
18.6128	210.94
16.1064	170.17
11.78	119.63
7.4616	73.49
3.272	25.63
2.5456	-16.85
0.1136	-26.86
-4.5552	-58.35
-8.8016	-100.83
-13.4312	-145.26
-17.5984	-188.72
-15.7224	-151.37
-10.7344	-100.83
-6.28	-54.93
-2.0736	-8.79
-1.654	-1.7955
2.203	39.9945
2.004	54.6
7.421	87.927
12.25	140.994
17.439	193.5465
23.695	230.454
20.103	183.8025
14.935	128.4255
9.547	77.6685
4.449	24.3495
4.281	-21.273
-0.197	-34.3455
-5.425	-68.187
-10.932	-118.1775
-16.29	-168.42
-21.968	-206.1045
-18.945	-163.0335
-13.867	-108.1815
-7.85	-57.939
-2.892	-9.2295
-2.003	35.1225
2.264	54.348
7.032	83.3175
12.819	127.407
18.157	172.7775
23.266	221.487
20.133	178.6785
14.725	125.6115
9.327	77.1645
4.09	26.9115
3.182	-17.6925
0.142	-28.203
-5.694	-61.2675
-11.002	-105.8715
-16.789	-152.523
-21.998	-198.156
-19.653	-158.9385
-13.418	-105.8715
-7.85	-57.6765
-2.592	-9.2295
-2.592	-8.79
2.164	37.11
2.603	51.51
9.906	95.95
16.77	147.95
23.575	205.32
30.3	241.7
26.499	184.33
19.495	124.02
12.52	70.8
7.256	16.85
4.801	-29.05
-1.264	-33.94
-8.089	-83.74
-15.152	-133.54
-21.448	-185.06
-29.002	-221.68
-24.602	-171.87
-17.478	-113.04
-11.502	-60.3
-4.319	-9.77
-2.434	35.89
3.281	56.64
11.123	92.29
15.962	136.96
23.605	184.33
30.55	232.42
26.519	180.18
19.515	122.07
12.281	70.31
6.845	18.31
4.791	-25.88
-1.983	-34.18
-7.889	-77.39
-14.774	-122.56
-21.907	-168.7
-28.533	-214.84
-24.383	-168.7
-17.708	-112.06
-11.732	-60.55
-5.117	-11.23
-5.117	-11.23
2.073	38.57
4.339	55.18
12.121	105.96
20.861	159.18
28.604	217.04
36.716	248.05
32.027	182.13
23.436	115.72
15.903	57.13
12.401	0.98
5.281	-26.12
-2.701	-58.11
-10.483	-98.88
-18.415	-147.71
-26.917	-200.44
-35.418	-232.42
-30.37	-173.83
-22.398	-108.4
-17.036	-51.27
-12.144	-0.24
-3.404	36.62
4.388	55.91
12.22	103.27
20.153	148.19
28.933	195.56
37.325	238.04
31.947	176.76
24.115	112.3
20.544	55.42
13.921	0.73
5.75	-25.15
-2.491	-56.15
-10.293	-94.24
-18.405	-137.94
-26.917	-183.84
-35.179	-225.83
-30.37	-171.14
-22.837	-107.18
-15.746	-51.27
-7.484	-0.49
-7.484	-0.49
1.915	41.02
5.846	63.96
16.053	117.19
25.222	167.97
34.651	221.19
44.229	246.58
37.195	168.7
27.706	99.37
17.978	35.16
8.939	-19.53
5.071	-39.55
-4.248	-77.88
-13.677	-115.23
-23.504	-160.89
-32.683	-208.98
-42.023	-234.86
-35.867	-164.55
-25.57	-93.51
-16.89	-31.49
-6.863	19.04
-0.895	50.29
6.086	74.95
15.823	113.04
25.282	156.01
34.292	199.22
44.519	234.62
37.255	160.4
27.297	93.02
17.799	30.76
8.37	-21.97
5.051	-40.28
-4.487	-76.66
-14.166	-111.08
-23.574	-150.39
-32.783	-192.38
-42.043	-229.74
-35.178	-161.38
-26.269	-91.8
-16.89	-31.25
-6.853	18.07
-6.853	18.07
-2.875	44.68
6.295	76.17
17.948	119.38
28.794	166.75
39.47	212.65
50.516	239.75
43.322	161.87
32.925	86.67
22.08	18.55
16.585	-34.67
6.029	-55.91
-4.946	-90.33
-15.502	-124.02
-26.318	-164.79
-37.193	-208.74
-48.389	-236.82
-42.253	-164.06
-30.619	-86.67
-20.592	-20.26
-12.438	28.81
-3.593	54.2
6.285	84.23
18.008	117.68
28.624	157.47
39.739	196.78
50.556	229.49
43.581	155.27
32.257	82.28
21.342	15.87
16.805	-34.42
6.119	-55.42
-4.746	-89.84
-15.761	-120.85
-26.408	-156.74
-37.213	-196.04
-48.628	-230.96
-41.565	-160.89
-30.839	-84.47
-20.572	-19.53
-12.388	28.56
-12.388	28.56
-2.496	52.25
8.02	86.91
20.423	123.54
32.436	166.26
44.309	208.25
56.792	234.13
49.628	151.86
37.216	72.02
30.453	2.69
18.332	-33.45
6	-68.85
-5.564	-101.32
-17.956	-132.08
-30.159	-168.95
-42.911	-210.21
-55.144	-237.79
-47.651	-158.45
-36.048	-75.68
-24.087	-7.57
-16.993	38.09
-4.162	56.88
7.342	92.77
20.243	123.05
32.725	158.94
44.349	196.04
57.52	225.1
48.97	146.24
37.186	68.85
30.823	1.22
18.551	-28.56
6.449	-67.87
-6.263	-100.1
-18.206	-129.39
-30.229	-162.35
-42.472	-199.46
-55.174	-232.18
-48.14	-154.79
-35.349	-73.49
-23.497	-6.59
-16.335	37.35
-16.335	37.35
-2.565	53.22
9.288	94.48
22.877	128.66
36.716	169.19
49.438	206.3
63.148	229.98
55.445	143.31
41.855	52.73
27.997	-16.36
20.497	-45.17
6.249	-83.98
-6.842	-113.53
-20.511	-142.09
-34.6	-177
-47.7	-213.87
-61.609	-238.53
-53.428	-155.03
-40.218	-66.41
-26.34	1.46
-16.46	40.28
-4.491	69.82
8.36	99.61
22.648	127.93
36.028	160.89
50.147	194.58
63.377	221.68
55.205	136.47
41.386	48.83
28.226	-16.6
19.958	-43.95
6.708	-81.79
-7.141	-111.57
-20.801	-138.18
-34.34	-168.21
-47.521	-202.64
-61.859	-231.93
-53.229	-151.12
-39.779	-64.45
-26.1	1.71
-15.881	39.06
-15.881	39.06
-3.284	67.38
11.084	103.03
26.05	133.54
41.486	168.7
55.145	202.15
71.17	225.34
60.254	127.44
45.048	36.87
32.121	-27.1
20.946	-55.91
6.099	-92.29
-8.688	-120.61
-24.193	-146.97
-38.651	-177.98
-53.907	-212.4
-68.494	-236.57
-58.268	-142.58
-43.95	-51.76
-28.675	12.45
-17.338	46.63
-3.973	78.12
10.295	106.93
25.92	133.3
40.258	163.57
56.033	194.58
70.821	218.99
60.674	124.02
45.988	34.91
36.362	-27.1
21.425	-54.2
6.509	-90.82
-8.548	-118.41
-24.033	-143.8
-38.81	-172.36
-53.807	-204.83
-69.293	-232.42
-58.608	-139.16
-43.572	-49.8
-32.874	12.21
-19.887	44.92
-19.887	44.92
-2.945	73.24
10.784	107.18
28.056	135.01
44.439	166.02
61.132	198.73
76.698	220.7
66.49	124.02
50.157	30.52
38.833	-31.25
23.62	-60.3
7.277	-96.92
-9.356	-124.51
-25.67	-149.41
-42.303	-178.47
-59.165	-210.69
-74.93	-234.13
-64.534	-139.16
-48.151	-44.68
-31.997	17.82
-21.134	49.32
-4.641	83.5
11.463	110.6
28.056	135.25
44.499	162.84
60.923	192.14
76.488	214.36
66.51	120.36
50.177	28.56
38.553	-29.05
23.6	-58.84
6.808	-95.21
-9.027	-123.05
-25.69	-146.48
-42.343	-173.1
-58.976	-202.88
-75.179	-228.27
-64.544	-134.77
-49.059	-42.72
-31.708	17.58
-20.404	49.56
-20.404	49.56
-2.875	78.61
12.78	112.06
30.74	137.94
48.59	166.99
66.41	196.53
83.133	217.04
72.517	117.43
54.877	21.73
42.957	-24.9
25.277	-66.16
7.407	-101.32
-10.164	-128.42
-28.434	-152.1
-46.453	-179.2
-63.705	-207.76
-81.645	-231.45
-70.571	-131.84
-52.831	-35.16
-35.979	24.41
-23.828	52.73
-4.761	88.13
12.52	114.26
30.361	137.7
48.371	163.33
65.742	190.19
84.321	211.18
72.537	114.01
54.687	20.51
43.176	-25.63
25.037	-64.45
7.407	-99.37
-10.164	-126.22
-28.204	-148.93
-46.004	-173.58
-63.944	-201.17
-81.885	-224.85
-71.269	-127.69
-52.821	-32.96
-37.967	23.68
-23.08	53.71
-23.08	53.71
-2.895	82.52
13.678	114.01
33.025	138.67
51.803	165.77
70.781	193.12
90.986	212.65
78.315	109.86
59.467	13.67
45.781	-31.25
26.953	-70.56
7.596	-104.74
-11.471	-130.37
-30.898	-152.34
-49.846	-177.49
-69.023	-204.35
-88.421	-226.81
-76.418	-123.78
-57.99	-26.12
-42.364	29.3
-25.175	57.86
-5.43	90.33
13.688	114.99
31.977	136.96
52.272	161.87
70.811	186.77
91.006	205.81
78.574	105.71
59.258	11.72
46.27	-30.76
26.724	-68.6
7.596	-101.32
-11.362	-125.49
-31.247	-146.73
-50.075	-170.41
-69.263	-196.04
-89.129	-218.51
-76.428	-117.92
-58.209	-23.44
-41.492	29.3
-24.567	53.71
-24.567	53.71
-3.504	82.03
14.147	113.28
35.32	135.74
56.393	160.89
77.007	186.28
97.053	203.86
84.192	99.37
69.687	3.91
49.563	-36.62
28.729	-73.73
7.716	-103.76
-12.409	-126.22
-33.203	-147.22
-53.747	-171.87
-74.461	-198.73
-95.675	-220.21
-82.315	-114.75
-62.011	-17.33
-46.817	33.69
-26.882	60.55
-6.647	90.33
15.115	111.82
35.619	130.86
55.774	152.59
77.287	174.8
98.021	191.41
84.451	91.06
69.238	0.98
49.333	-35.16
28.619	-71.29
7.836	-99.37
-12.499	-120.85
-33.402	-140.87
-53.957	-165.04
-74.531	-190.43
-95.725	-212.4
-83.024	-108.64
-62.47	-14.65
-47.536	33.2
-27.131	58.59
-27.131	58.59
-3.055	81.05
15.993	108.4
38.443	126.95
60.324	147.22
81.876	166.75
104.237	178.96
90.209	75.44
74.657	-8.54
52.337	-43.7
30.445	-75.68
7.926	-99.12
-13.577	-117.43
-35.977	-137.7
-57.928	-161.13
-80.129	-183.59
-102.47	-197.27
-88.153	-92.77
-67.831	-3.17
-49.57	37.84
-27.75	60.55
-6.437	81.3
15.624	94.48
37.854	108.4
60.654	124.02
82.904	139.65
105.265	149.9
90.289	57.62
74.347	-14.16
52.017	-44.19
29.966	-67.87
7.995	-83.25
-13.966	-95.21
-36.376	-110.11
-58.797	-129.39
-80.758	-148.93
-103.079	-165.53
-88.592	-69.82
-66.411	3.91
-49.089	35.89
-28.608	49.8
-28.608	49.8
-2.675	54.44
18.179	72.75
41.556	86.67
64.476	102.54
89.021	117.19
112.968	119.38
95.906	36.62
78.598	-22.22
55.031	-44.19
30.994	-59.33
