"Umehara and Jirsa, 1982, Spec. CUW"	
3.5199	127.64
4.2037	149.18
4.669	162.84
5.7163	197.5
6.2255	213.79
5.5999	183.32
5.0909	161.79
4.669	141.3
4.2619	120.29
3.7236	100.85
3.1999	81.416
2.7927	65.137
2.5018	54.63
2.1964	44.123
1.8763	35.193
1.5127	24.163
0.69817	-1.5758
0.014545	-26.264
-1.0327	-57.255
-1.6146	-76.692
-2.5453	-102.95
-3.2728	-121.87
-4.0726	-143.92
-4.0726	-143.92
-4.0874	-142.87
-4.5382	-154.43
-4.9599	-175.97
-5.411	-193.83
-5.7455	-205.91
-6.0218	-213.26
-5.3381	-180.7
-4.6253	-146.55
-4.1308	-121.34
-3.9273	-112.41
-3.1709	-86.669
-2.3854	-58.304
-1.7454	-35.193
-0.72728	-13.657
0.64	28.89
1.8618	64.607
2.7635	90.873
3.5055	116.09
4.7854	158.63
5.3673	178.07
6.269	209.06
7.3454	228.49
8.1308	245.83
8.5527	255.28
7.8108	214.84
6.8654	164.94
6.2545	128.69
5.4981	89.298
5.2217	74.064
4.2763	52.526
3.3599	29.941
2.5745	8.9298
2.1236	0
1.4254	-10.506
0.66909	-21.536
0.16	-29.416
-0.9018	-53.051
-1.7164	-69.335
-2.6182	-86.669
-3.3891	-105.58
-4.0582	-123.44
-4.7127	-139.2
-5.2365	-152.33
-5.9637	-172.29
-7.0546	-183.84
-7.9418	-194.88
-7.1272	-156.01
-6.0508	-104
-5.3236	-69.335
-4.3345	-44.649
-3.3891	-23.638
-2.2982	0
-1.7745	10.506
-0.65453	7.3539
0.6109	24.688
1.8036	45.174
3.811	84.045
5.7892	120.81
7.0109	145.5
8.2471	171.76
7.1999	131.84
6.4145	99.804
5.8036	73.539
5.178	46.748
4.3782	33.092
3.2873	15.233
2.7346	3.6769
1.7454	-4.7273
0.52365	-17.334
-0.46545	-26.264
-1.6291	-35.719
-2.5601	-41.497
-3.0691	-53.051
-4.2037	-76.163
-5.3528	-97.7
-6.4	-117.66
-7.2436	-131.84
-7.7673	-141.3
-6.9527	-107.68
-5.7018	-57.78
-4.8727	-25.213
-3.7526	-15.233
-3.0691	-9.4551
-2.3273	5.2526
-1.3673	4.7273
-0.21818	5.2526
0.48001	11.556
1.7164	26.264
2.8072	38.345
3.3891	49.377
4.1308	62.508
4.9309	74.589
5.8763	91.922
6.6327	105.06
7.5781	122.92
8.0145	131.84
8.32	137.62
7.7526	118.71
7.1999	100.85
6.5164	78.267
5.8618	56.73
5.3381	37.82
5.1346	29.416
3.7963	9.9804
3.1417	3.1517
2.0945	-2.1011
0.40726	-15.233
-1.0036	-17.86
-1.8327	-22.587
-2.3564	-26.789
-2.9091	-32.567
-3.6944	-43.598
-4.7127	-60.933
-5.8181	-79.317
-6.589	-91.398
-7.4328	-109.26
-7.7381	-115.56
-6.8364	-84.57
-6.0945	-60.408
-5.5273	-40.971
-4.9891	-23.112
-4.7854	-22.062
-4.32	-20.486
-3.7673	-13.132
-2.4291	-12.081
-1.2945	-11.031
-0.37818	-11.556
0.31999	1.5758
1.4691	14.182
2.5164	24.688
3.1417	32.567
3.9855	45.174
5.1346	65.137
5.92	78.792
7.0254	99.279
8.189	119.76
9.0909	133.42
10.022	149.18
10.487	156.53
9.8181	132.37
9.2072	108.21
8.5819	78.792
7.8544	46.224
7.0399	35.719
6.0218	23.638
5.178	14.708
