"""Matamoros et. al 1999 Specimen c10-10 North"""	
1769	
-0.0251714	-0.367867928
-0.037846	-0.362530062
-0.037846	-0.340288954
-0.035306	-0.375429905
-0.037846	-0.37231615
0.00251714	-0.449270384
0.234188	-0.423025876
0.38862	7.02819016
0.54102	11.38744735
0.6477	14.0118981
0.89408	17.92633313
1.37922	24.73211221
2.0066	35.09646858
2.5908	44.08187625
3.1496	49.82008214
3.683	54.71312593
4.2418	59.16134755
5.3086	66.7233243
5.8674	70.2819016
6.5278	73.39565673
6.5278	72.06119024
7.0612	76.0645897
7.6962	80.06798916
8.2804	82.29209997
8.3058	81.40245565
8.8646	85.85067727
9.5758	87.62996591
10.1854	90.74372105
10.8458	90.74372105
11.4808	93.41265402
12.2174	94.30229834
12.9032	94.30229834
12.9286	94.74712051
12.2936	85.4058551
11.7348	80.95763348
11.1506	76.0645897
10.1092	68.50261295
9.4996	64.49921349
8.9408	60.05099187
8.3566	55.60277025
7.6454	49.82008214
7.0612	45.81668269
6.477	41.10156777
5.9436	36.5198995
5.0292	29.53619156
4.445	24.91004107
4.0132	20.15044394
3.5814	15.47981124
3.1242	10.76469632
2.54	5.159937079
2.20726	0.249990055
2.19456	0.4937526
2.1971	1.997251507
2.15138	3.447371756
1.26746	-8.807478808
0.79756	-13.87845145
-0.0075438	-25.39934545
-0.51308	-31.00410469
-0.96012	-37.32057939
-1.49098	-41.81328323
-2.6416	-53.37865944
-3.2004	-57.82688106
-3.7084	-61.38545836
-4.2926	-66.27850214
-5.1562	-71.61636808
-5.7658	-74.73012322
-6.3246	-78.28870051
-7.0358	-81.84727781
-7.6454	-84.51621078
-8.255	-85.85067727
-8.8392	-88.9644324
-9.398	-89.85407672
-10.1854	-92.07818753
-10.7188	-92.07818753
-11.3284	-93.41265402
-12.1158	-93.85747618
-12.7762	-93.41265402
-12.2428	-83.62656646
-11.684	-78.28870051
-11.0998	-73.39565673
-10.16	-67.16814646
-9.5758	-62.27510268
-9.017	-57.3820589
-8.4074	-52.93383728
-7.5946	-47.15114917
-7.0358	-42.34706982
-6.5278	-38.03229485
-5.9436	-33.4951088
-5.1054	-27.71242069
-4.5466	-23.57557459
-3.9878	-19.39424626
-3.4544	-15.34636459
-2.48666	-7.428530105
-1.80086	-2.913585161
-1.34874	-0.140563803
-0.508	9.919534213
-0.015113	14.36775583
0.25908	17.5704754
1.2954	24.95452329
1.82372	29.49170934
2.6162	34.25130647
3.2004	38.21022372
3.7338	41.63535436
4.3688	45.37186052
5.1562	50.70972647
5.7404	54.26830376
6.3246	57.3820589
6.9342	60.94063619
7.6454	65.38885781
8.2804	68.50261295
8.8646	72.06119024
9.4996	75.17494538
10.1854	79.623167
10.8204	82.29209997
11.43	85.4058551
12.065	88.07478808
12.7254	91.18854321
12.065	84.07138862
11.4554	79.623167
10.8712	75.17494538
10.033	68.50261295
9.398	64.05439133
8.8646	60.49581403
8.2804	56.04759241
7.6454	51.15454863
7.0358	47.59597133
6.477	43.3701608
5.8674	39.41124355
5.0292	33.4951088
4.445	29.26929826
3.8354	25.17693437
3.3274	20.90664161
2.5908	14.76809578
2.2606	11.07607183
2.16408	7.561976754
2.0193	3.905538582
0.5588	-2.535486323
-0.0050292	-8.851961024
-0.4826	-12.67743162
-1.37414	-20.99560605
-1.92278	-24.28729005
-2.6162	-31.53789129
-3.175	-35.45232631
-3.7338	-39.2777969
-4.2672	-42.8363742
-5.1816	-49.82008214
-5.7658	-53.8234816
-5.7658	-52.93383728
-6.3754	-56.93723674
-6.9342	-60.49581403
-7.7978	-65.83367998
-8.382	-68.94743511
-8.9662	-71.61636808
-9.5504	-75.17494538
-10.16	-78.73352267
-10.16	-79.623167
-10.795	-82.29209997
-11.3284	-84.96103294
-11.938	-87.62996591
-12.8016	-90.74372105
-12.2174	-83.62656646
-11.3538	-75.61976754
-10.795	-71.61636808
-10.1346	-66.27850214
-9.4742	-61.83028052
-8.9408	-57.82688106
-8.3566	-53.8234816
-7.5438	-47.15114917
-6.985	-43.14774971
-6.4262	-39.09986804
-5.842	-35.4078441
-4.9022	-28.64654723
-4.3942	-24.37625448
-3.81	-20.28389059
-3.2512	-16.72531329
-2.5019	-9.741605348
-1.96088	-6.094063619
-1.46304	-2.513245215
-0.96266	-0.032961322
-0.4445	7.695423403
0.0125984	11.520894
0.48006	16.68083108
1.44272	22.81937691
1.93294	27.53449183
2.6416	32.16064231
3.2258	36.07507734
3.7846	39.45572577
4.3942	42.70292755
5.1816	47.59597133
5.7658	51.15454863
6.3754	54.71312593
7.0612	58.27170322
7.6962	63.164747
8.2804	66.7233243
8.9408	69.83707943
9.4488	73.39565673
10.1854	76.95423403
10.8458	80.51281132
11.4554	84.51621078
12.1158	87.62996591
12.7254	90.29889889
13.3096	92.96783186
13.9954	92.5230097
14.6558	94.30229834
15.3162	94.30229834
15.9258	93.85747618
16.6116	93.85747618
17.2212	95.63676483
18.0086	92.5230097
18.669	92.5230097
19.4056	92.07818753
19.4056	91.63336537
18.796	84.51621078
17.8054	78.73352267
17.2212	74.28530105
16.637	70.72672376
16.0528	67.16814646
15.2146	61.83028052
14.6304	58.27170322
14.0208	54.26830376
13.4112	51.15454863
12.7	46.26150485
12.0396	42.03569431
11.5316	39.23331469
10.9474	36.11955955
10.1092	31.49340907
9.525	27.62345626
8.9154	24.9990055
8.382	21.9742148
7.6962	18.77149524
7.239	15.74670453
6.9596	13.43362929
5.8166	10.49780302
5.08	6.138545836
4.5974	3.647541728
3.9624	0.667233243
3.9624	0.840713886
3.9624	1.347811151
3.937	3.425130647
3.5814	-1.245502054
2.49936	-7.473012322
1.90246	-9.786087564
1.35636	-12.09916281
0.81788	-14.05638032
0.48768	-17.08117102
-0.085598	-19.97251507
-0.63754	-22.77489469
-1.36652	-27.26759853
-1.97358	-30.95962248
-2.5908	-34.78509307
-3.2004	-38.03229485
-3.7846	-41.23501442
-4.3434	-44.92703836
-5.08	-49.37525998
-5.6896	-52.93383728
-6.2484	-56.04759241
-6.8834	-59.16134755
-7.6962	-64.49921349
-8.3312	-67.61296862
-8.9154	-70.72672376
-9.525	-73.39565673
-10.2362	-77.39905619
-10.8458	-80.06798916
-11.43	-83.18174429
-12.0142	-85.4058551
-12.7508	-88.51961024
-13.3858	-89.85407672
-14.0462	-90.74372105
-14.732	-90.74372105
-15.4432	-91.18854321
-16.1798	-91.18854321
-16.8402	-90.74372105
-17.5768	-91.18854321
-18.2372	-91.18854321
-18.9738	-90.74372105
-19.5834	-89.85407672
-19.0246	-83.62656646
-17.7038	-76.0645897
-17.0942	-71.61636808
-16.4592	-67.61296862
-15.9004	-63.60956917
-15.875	-64.05439133
-15.24	-57.82688106
-14.6304	-54.26830376
-14.0716	-50.26490431
-13.4874	-46.26150485
-12.7	-41.14604999
-12.1412	-37.72091934
-11.557	-34.20682426
-10.9728	-30.78169361
-10.1854	-26.24450756
-9.6266	-22.73041248
-8.9662	-20.72871275
-8.382	-17.70392205
-7.5438	-12.8998427
-6.9596	-10.54228524
-6.2738	-8.140245565
-5.6642	-5.515794809
-5.0546	-2.958067377
-4.4704	-0.809576335
-2.7178	4.759597133
-2.45364	7.117154592
-1.85928	9.519194267
-1.36906	12.01019837
-0.7239	15.03498908
0.0226568	17.70392205
0.69596	20.55078388
1.27508	23.70902123
1.85674	26.33347199
2.5654	29.84756707
3.2258	33.05028664
3.8354	34.82957528
4.445	38.25470593
5.2578	41.94672988
5.8674	44.4822162
6.477	48.0407935
7.1882	50.26490431
7.747	53.37865944
8.3566	56.04759241
8.9662	58.27170322
9.6012	61.83028052
10.2362	64.94403565
10.8458	67.16814646
11.4808	68.94743511
12.1158	72.06119024
12.7	73.39565673
13.3096	76.0645897
13.9446	77.84387835
14.605	80.06798916
15.24	81.84727781
15.8242	84.07138862
16.4592	84.51621078
17.1196	87.18514375
17.7038	87.62996591
18.3642	89.40925456
19.05	89.85407672
18.415	82.73692213
17.8308	78.28870051
17.2466	74.28530105
16.6878	70.72672376
16.0782	66.7233243
15.2654	61.38545836
14.6558	57.3820589
14.0462	54.26830376
13.462	50.26490431
12.7254	45.81668269
12.1158	42.43603425
11.5062	39.23331469
10.8966	35.67473739
10.0838	31.49340907
9.4742	28.73551167
8.9154	25.39934545
