"Mugaruma et al. 1989, Spec. AL2"	
237	
0.01	0.052958
0	0.036836
-0.03	0.064162
-0.06	-0.13369
-0.09	-0.23756
-0.11	-0.31645
-0.13	-0.4152
-0.16	-0.48185
-0.18	-0.56363
-0.2	-0.64133
-0.22	-0.72737
-0.25	-0.87273
-0.16	1.7526
0	25.552
0.14	37.641
0.28	50.221
0.45	63.434
0.61	76.37
0.78	89.432
0.98	103.02
1.18	115.12
1.4	128.55
1.61	141
1.85	155.29
2.09	166.49
2.41	182.2
2.52	177.27
2.41	157.22
2.19	132.47
1.91	106.61
1.62	80.608
1.33	55.329
1.02	29.246
0.71	3.3454
0.43	-21.867
0.1	-47.667
-0.23	-74.018
-0.57	-100.23
-0.74	-112.68
-0.96	-126.08
-1.18	-140.14
-1.48	-153.69
-1.74	-166.4
-2.02	-179.54
-2.42	-193.13
-2.48	-191.31
-2.48	-181.28
-2.24	-155.77
-1.93	-130.39
-1.61	-104.27
-1.29	-78.663
-0.97	-52.88
-0.64	-27.036
-0.28	-0.88594
0.05	24.989
0.39	50.989
0.72	76.352
1.07	102.7
1.49	128.02
1.84	155.6
2.25	180.44
2.52	193.59
3.4	207.04
4.03	210.45
5.02	220.75
5.25	209.51
4.87	175.62
4.23	139.25
3.74	112.16
3.31	86.673
2.86	60.686
2.43	33.77
1.99	7.6716
1.6	-18.666
1.19	-45.717
0.8	-71.805
0.4	-97.317
-0.06	-121.99
-0.59	-151.65
-1.1	-177.31
-1.39	-190.56
-1.65	-203.46
-2.09	-217.3
-2.38	-224.08
-2.67	-229.8
-3.04	-236.19
-4.48	-220.45
-4.38	-191.4
-3.89	-165.02
-3.37	-138.23
-2.83	-111.56
-2.29	-84.83
-1.77	-58.316
-1.23	-31.753
-0.68	-4.4438
0.11	23.958
0.56	49.945
1.03	76.404
1.52	102.65
2.06	128.47
2.7	156.46
3.39	182.81
4.34	209.99
5.05	224.78
5.2	218.27
4.88	188.97
4.42	163.1
3.89	136.6
3.36	109.96
2.82	83.389
2.31	57.266
1.79	30.901
1.23	3.339
0.72	-23.274
0.19	-49.957
-0.38	-77.26
-1	-105.37
-1.67	-130.59
-2.32	-157.48
-3.2	-185.22
-4.21	-207.74
-4.57	-215.22
-4.77	-211.66
-4.66	-191.19
-4.21	-166.2
-3.63	-138.95
-3.06	-112
-2.5	-85.638
-1.95	-58.782
-1.37	-31.501
-0.78	-4.3902
-0.25	21.949
0.3	48.951
0.87	75.222
1.49	101.86
2.18	129.4
2.87	156.85
3.68	184.16
4.62	209.17
5.56	227.2
6.7	239.39
7.61	242.14
8.21	221.6
7.99	199.08
7.41	173
6.77	146.14
6.11	119.51
5.41	91.936
4.73	64.957
4.1	37.694
3.36	10.189
2.71	-16.801
2.03	-44.191
1.33	-71.306
0.68	-98.282
-0.22	-126.54
-1.2	-154.95
-2.28	-183.5
-3.77	-213.32
-5.53	-230.73
-7.55	-224.17
-10.05	-203.45
-10.36	-182.97
-9.83	-156.5
-9.07	-128.91
-8.29	-101.57
-7.46	-73.715
-6.65	-46.376
-5.73	-18.388
-4.93	8.7777
-4.07	36.808
-3.14	64.319
-2.06	91.974
-0.86	121.65
0.39	150.17
1.93	179.44
4.24	212.41
5.72	225
7.56	227.78
7.89	199.17
7.3	172.44
6.56	144.88
5.77	117.04
4.97	89.69
4.16	62.395
3.26	34.649
2.3	6.9581
1.4	-20.945
0.36	-49.054
-0.83	-77.628
-2.24	-107.06
-4.01	-138.14
-6.26	-169.37
-7.5	-172.8
-7.58	-148.36
-6.96	-121.47
-6.24	-94.379
-5.49	-67.299
-4.85	-44.822
-3.87	-12.183
-3.06	15.449
-2.18	43.079
-1.28	70.606
-0.2	99.226
1.05	127.12
2.51	157.22
4.56	188.2
6.24	200.78
7.68	197.54
10.12	182.98
10.89	167.12
11.03	156.51
10.59	130.33
9.83	102.96
9	75.319
8.13	47.701
7.16	20.034
6.23	-8.693
5.23	-36.085
4.05	-64.551
2.58	-93.258
0.68	-124.8
-2.48	-158.49
-10.49	-138.01
-12.96	-115.87
-14.42	-90.047
-14.38	-65.744
-13.69	-38.677
-12.96	-11.615
-12.01	16.078
-10.84	44.633
-9.43	73.031
-6.31	107.51
-0.59	111.86
2.02	53.537
3.03	33.232
-2.2	-5.0081
