"Wight and Sozen, 1973, Spec. WS092E"	
-42.009	-44.48
-39.588	-34.742
-37.927	-28.972
-36.472	-23.803
-33.912	-16.349
-31.491	-10.338
-28.722	-4.3277
-25.954	1.9234
-23.046	7.9343
-18.479	15.988
-15.71	19.595
-13.703	22.48
-11.004	26.808
-8.3744	31.376
-6.3673	35.343
-2.2147	40.873
1.2458	44.6
4.7061	48.328
10.658	55.898
14.05	59.986
16.61	63.233
19.725	66.72
24.154	71.648
28.029	75.496
30.729	77.898
34.12	80.544
39.312	84.752
41.178	85.953
43.878	87.514
46.439	88.72
49.484	90.281
51.422	91.482
51.559	85.713
51.283	82.586
51.006	78.859
50.592	72.969
50.038	68.401
49.276	62.632
48.517	58.424
47.546	54.577
46.025	49.528
44.986	46.041
43.533	41.354
41.526	36.184
39.794	31.736
38.204	27.89
36.82	24.404
34.742	19.234
33.429	16.109
31.905	12.623
28.445	5.4097
26.299	0.48087
24.431	-3.4862
22.078	-6.4914
20.763	-7.9343
18.686	-10.338
16.056	-12.623
13.842	-15.027
10.312	-19.234
7.0594	-23.923
4.2908	-27.649
1.1766	-31.857
-1.9378	-37.267
-4.5677	-41.955
-7.2669	-46.642
-9.8969	-50.729
-12.388	-54.337
-16.749	-62.032
-18.686	-65.519
-20.901	-68.642
-23.6	-72.249
-26.299	-75.856
-28.928	-78.378
-31.905	-81.865
-34.536	-84.152
-37.374	-86.554
-39.517	-88.48
-42.08	-90.882
-43.185	-91.722
-44.432	-92.203
-45.331	-91.722
-46.025	-91.122
-47.061	-89.32
-48.585	-85.833
-49.416	-83.186
-50.107	-81.025
-50.8	-78.618
