"Mugaruma et al. 1989, Spec. AL1"	
-13.32	-23.616
-11.2	5.6672
-8.52	36.785
-5.41	69.039
-2.17	101.81
0.96	134.71
3.8	161.86
6.09	180.54
7.56	189.55
8.51	193.75
8.64	191.98
8.49	182.29
8.01	162.11
6.99	135.08
5.98	107.6
4.63	79.517
3.41	52.13
2.03	22.648
0.34	-7.7216
-1.91	-39.863
-4.72	-73.555
-8.12	-107.64
-12.15	-142.43
-15.89	-169.22
-18.7	-186.1
-21.32	-194.85
-23.68	-198.44
-24.92	-197.29
-25.88	-190.36
-25.25	-171.02
-24.09	-143.83
-23.1	-116.64
-21.74	-88.643
-20.22	-60.503
-18.23	-30.79
-16.05	-1.1241
-12.84	30.792
-8.62	64.36
-4.19	101.56
-0.77	129.74
1.02	146.48
2.86	161.02
4.69	174.71
5.59	179.52
6.07	180.97
6.32	179.72
5.93	164.24
5.21	138.13
4.42	111.68
3.01	83.948
1.75	55.122
0.49	26.509
-1.07	-1.8806
-3.2	-34.529
-6.47	-71.143
-10.57	-107.06
-14.93	-138.51
-17.68	-156.78
-20.53	-172.4
-22.62	-183.61
-25.86	-189.71
-29.08	-193.57
-30.11	-192.36
-31.03	-183.62
-30.04	-150.54
-28.93	-124.7
-27.57	-94.98
-26.15	-67.634
-24.3	-38.795
-22.05	-8.9947
-18.79	23.615
-13.76	57.242
-8.86	89.774
-6.41	106.81
-3.59	127.09
-1.74	139.21
0.06	152.59
1.42	160.81
2.02	163.42
2.49	164.54
2.66	162.38
2.18	149.34
2.03	138.72
0.96	111.08
-0.3	79.771
-1.27	56.217
-2.65	27.367
