"Paultre, Legeron, Mongequ, July-August 2001 test 1005552"	
1648	
0.09	5.06
0.43	9.98
0.8	14.89
1.14	19.77
1.61	24.67
1.94	29.56
2.45	34.46
2.88	39.33
3.24	44.23
3.64	49.09
4.15	53.98
4.57	58.86
5.04	63.74
5.51	68.62
5.84	73.5
6.38	78.37
6.89	83.26
7.34	88.14
7.74	93.02
8.16	97.28
7.81	88.02
7.54	83.12
7.12	78.2
6.8	73.31
6.36	68.42
5.89	63.53
5.51	58.64
5.11	53.74
4.82	48.86
4.31	43.97
3.93	39.09
3.48	34.19
3.08	29.3
2.77	24.42
2.25	19.53
1.83	14.64
1.43	9.74
0.98	4.85
0.65	0.01
0.31	-4.86
-0.2	-9.75
-0.65	-14.64
-1.02	-19.52
-1.36	-24.41
-1.78	-29.3
-2.21	-34.18
-2.74	-39.06
-3.14	-43.94
-3.59	-48.82
-4.04	-53.72
-4.41	-58.6
-4.84	-63.47
-5.4	-68.37
-5.8	-73.24
-6.27	-78.1
-6.8	-82.97
-7.2	-87.85
-7.67	-92.72
-8.23	-97.6
-8.76	-98.84
-8.54	-92.53
-8.14	-87.63
-7.83	-82.74
-7.45	-77.84
-7	-72.95
-6.67	-68.05
-6.31	-63.16
-5.84	-58.27
-5.4	-53.38
-5.02	-48.48
-4.57	-43.59
-4.19	-38.71
-3.77	-33.82
-3.34	-28.94
-2.96	-24.04
-2.56	-19.16
-2.21	-14.27
-1.8	-9.39
-1.27	-4.5
-0.56	5.21
-0.11	10.09
0.27	15.02
0.69	19.89
1.18	24.78
1.54	29.67
1.94	34.55
2.41	39.44
2.79	44.34
3.26	49.21
3.7	54.09
4.08	58.98
4.57	63.86
5	68.74
5.47	73.62
5.91	78.5
6.36	83.4
6.8	88.27
7.23	93.16
7.56	98.04
8.12	102.93
8.5	107.79
9.01	112.67
9.44	117.54
9.97	122.43
10.37	127.28
10.95	132.15
11.35	137.02
11.91	141.89
12.49	146.73
13.05	151.6
13.49	156.46
14.03	161.3
14.72	166.17
15.35	170.98
15.93	175.82
16.51	180.65
17.26	185.46
18	190.28
18.65	195.1
19.54	199.86
19.92	201.54
20.92	192.67
20.97	189.31
20.9	182.49
20.94	172.61
21.06	170.38
21.35	168.97
21.68	164.49
25.49	173.65
28.17	178.04
30.44	182.5
31.85	184.05
42.64	184.87
45.66	179.22
45.79	174.22
45.9	169.23
45.95	164.22
46.15	159.22
45.61	154.36
44.87	149.56
44.18	144.75
43.25	139.97
42.4	135.18
41.48	130.4
40.57	125.62
39.81	120.84
38.83	116.05
37.96	111.27
37.09	106.48
36.31	101.69
35.44	96.89
34.48	92.1
33.72	87.31
32.85	82.51
32.01	77.68
31.2	72.92
30.51	68.11
29.71	63.29
28.84	58.49
28.13	53.68
27.37	48.88
26.56	44.06
25.81	39.25
25.07	34.44
24.36	29.62
23.64	24.81
22.97	20
22.26	15.24
21.55	10.42
20.92	5.6
20.27	0.76
19.54	-4.06
18.89	-8.88
18.29	-13.72
17.67	-18.54
17.02	-23.37
16.35	-28.2
15.73	-33.02
15.03	-37.84
14.39	-42.67
13.7	-47.5
13.07	-52.32
12.31	-57.15
11.69	-62
11.02	-66.83
10.33	-71.65
9.75	-76.51
8.99	-81.31
8.3	-86.13
7.58	-90.97
6.96	-95.79
6.2	-100.61
5.53	-105.44
4.84	-110.25
4.11	-115.09
2.77	-119.78
2.21	-124.65
1.63	-129.5
1.03	-134.34
0.34	-139.17
-0.33	-144.01
-1.07	-148.82
-1.76	-153.64
-2.59	-158.45
-3.37	-163.26
-4.26	-168.06
-4.99	-172.85
-5.86	-177.64
-6.87	-182.4
-7.87	-187.16
-9.79	-191.73
-10.1	-192.5
-10.66	-186.53
-10.88	-181.49
-12.76	-176.12
-14.52	-180.7
-16.73	-185.18
-35.13	-176.13
-38.4	-170.48
-38.45	-165.48
-38.6	-160.48
-38.11	-145.64
-37.33	-140.84
-36.46	-136.05
-35.64	-131.25
-34.77	-126.46
-33.65	-121.7
-32.76	-116.92
-31.76	-112.16
-30.84	-107.37
-29.84	-102.6
-29.01	-97.83
-28.08	-93.06
-27.01	-88.29
-26.25	-83.52
-25.31	-78.75
-24.38	-73.98
-23.46	-69.21
-22.48	-64.44
-21.63	-59.65
-20.67	-54.89
-19.83	-50.12
-18.89	-45.32
-18.09	-40.56
-17.19	-35.79
-16.21	-31.03
-15.28	-26.26
-14.47	-21.49
-13.47	-16.73
-12.6	-11.96
-11.64	-7.25
-10.7	-2.48
-9.9	2.28
-8.9	7.05
-7.85	11.81
-6.98	16.58
-5.98	21.36
-4.97	26.15
-3.86	30.87
-2.79	35.63
-1.83	40.38
-0.71	45.13
