"Atalay and Penzien, 1975, Spec. 1"	
1415	
0	0
-0.07986	1.577
0.23958	4.1003
0.75867	7.2542
1.3576	10.724
1.717	13.247
2.0763	15.98
2.3958	17.663
2.7153	19.555
2.9947	21.237
3.4341	22.814
3.7135	24.076
4.2725	26.389
4.5921	27.546
5.111	29.017
5.67	30.699
6.0693	31.856
6.5085	33.118
7.2273	35.641
7.6665	37.218
7.9063	38.059
8.2255	39.215
8.7846	40.477
9.1041	41.423
9.3436	42.369
9.3436	41.739
9.2636	40.161
8.4651	36.377
8.1059	34.064
7.5067	30.91
6.4686	26.704
5.3906	22.288
4.6319	18.819
3.6736	13.247
2.5954	8.7261
1.6771	4.5209
1.0781	1.7873
0.11979	-2.5232
-0.31943	-4.7309
-1.0781	-9.0414
-1.717	-12.406
-2.6355	-16.716
-3.5138	-20.501
-4.4323	-23.445
-5.3106	-26.809
-6.0693	-30.068
-6.7881	-32.592
-7.427	-34.589
-8.5849	-37.533
-8.8643	-37.848
-9.5832	-38.059
-9.9426	-37.744
-10.022	-35.746
-9.4635	-31.751
-8.7447	-28.281
-7.5867	-23.971
-6.5085	-20.081
-5.9096	-17.558
-4.9914	-14.719
-4.3924	-12.196
-3.1943	-8.3058
-2.3559	-5.0463
-1.717	-2.8386
-1.118	-0.52566
0.11979	5.7824
0.67882	9.1469
1.2378	11.354
1.9965	14.719
2.3958	16.401
2.9149	18.399
3.7135	21.447
4.3124	24.812
4.6319	26.494
5.111	28.702
5.8298	31.751
6.0295	32.802
6.4287	34.274
7.0277	35.956
7.4668	37.323
8.0259	38.374
8.3853	38.059
8.4252	37.533
8.3055	35.325
7.427	30.91
6.6284	27.546
6.0693	24.917
5.4305	21.973
4.5921	18.083
3.3939	12.406
1.9166	7.5696
0.75867	2.1027
-0.039929	-1.1565
-0.7986	-4.3105
-1.5573	-7.2542
-2.3159	-10.408
-3.5138	-14.719
-4.8715	-21.237
-5.5903	-23.655
-6.5885	-26.389
-7.4668	-29.122
-8.0658	-31.12
-8.9444	-33.643
-9.4635	-35.22
-9.5832	-34.694
-8.9045	-29.859
-8.2654	-27.02
-7.7066	-24.076
-6.828	-20.712
-5.9896	-17.663
-4.9512	-14.508
-3.953	-11.354
-2.9548	-7.78
-2.276	-3.9951
-1.4774	-0.73597
-0.67882	2.313
-0.07986	4.8363
0.95832	9.1469
1.5972	11.88
2.5555	16.506
4.033	21.973
5.3906	25.968
6.4686	29.333
7.3871	32.907
7.9461	35.115
8.4252	36.797
8.9842	38.269
9.5433	39.741
8.1857	33.328
7.1874	29.648
6.5486	27.23
5.9896	25.127
4.7516	19.871
4.1128	16.927
3.4341	14.299
2.875	11.354
2.3559	9.1469
0.91839	3.5746
0.35936	0.3154
-0.59896	-3.7848
-1.5573	-8.0954
-2.2361	-10.934
-4.4722	-18.819
-5.4704	-21.763
-6.349	-24.707
-7.1476	-27.651
-7.7864	-29.859
-8.5451	-32.487
-9.0241	-33.643
-9.5433	-35.115
-9.5433	-35.115
-9.3038	-31.12
-8.7048	-28.071
-7.986	-24.917
-6.9078	-21.447
-6.349	-19.66
-5.7099	-17.347
-4.7516	-14.088
-4.033	-11.565
-2.5954	-5.9928
-1.7569	-2.6284
-0.83853	0.94622
0.07986	5.0463
0.59896	7.0439
1.9965	15.139
3.3541	19.976
4.2725	22.604
5.0711	24.917
5.5903	26.704
6.3889	29.648
6.9878	31.646
7.7066	33.959
8.1059	35.431
8.5451	36.692
8.9842	37.848
9.1839	38.479
7.9063	32.907
7.3472	30.384
6.0295	25.232
5.5903	23.34
5.191	21.763
4.5519	19.029
2.795	11.144
1.3976	5.1517
-0.11979	-1.7873
-1.118	-7.1493
-2.4757	-12.511
-2.9548	-14.299
-3.953	-19.029
-5.0312	-22.499
-5.9896	-25.653
-6.9878	-28.597
-7.7465	-31.225
-8.4651	-33.223
-9.144	-35.115
-9.064	-32.066
-8.4252	-27.651
-7.3071	-22.604
-6.3889	-19.345
-5.191	-15.245
-4.3124	-12.091
-3.3541	-8.7261
-2.1562	-4.2054
-1.3976	-1.0513
-0.19965	4.7309
0.5191	7.4646
1.6371	11.565
2.276	14.404
3.1943	17.663
3.7932	20.081
4.8715	23.971
5.67	26.809
6.6683	30.174
7.4668	32.697
