Tanaka 90 specimen 1	
-49.721	-20.82
-47.401	-8.3818
-43.975	4.0558
-40.218	15.412
-34.694	27.85
-29.502	38.395
-23.314	47.86
-15.579	58.402
-7.845	67.868
-0.66297	76.519
6.5192	84.361
12.486	90.579
22.209	102.48
26.85	107.89
32.154	112.48
39.776	119.24
47.622	125.19
53.81	129.52
59.004	131.95
64.087	132.76
64.196	124.65
63.091	106.8
60.772	92.741
58.009	76.519
55.578	63.54
53.256	51.374
50.716	40.829
46.96	25.687
42.54	10.275
37.346	-4.5966
33.81	-13.249
29.502	-21.902
24.529	-30.283
20.11	-36.503
16.463	-41.099
10.386	-50.022
4.1986	-61.378
-3.5357	-73.276
-6.7401	-80.033
-10.386	-85.17
-14.916	-87.065
-20.883	-90.579
-24.75	-94.093
-29.611	-98.421
-31.933	-101.4
-35.248	-104.64
-40.439	-110.05
-44.859	-114.38
-49.832	-120.32
-54.361	-124.65
-57.678	-127.08
-59.555	-128.16
-61.986	-128.97
-63.975	-128.97
-64.087	-120.59
-64.087	-109.78
-63.091	-95.178
-61.986	-84.361
-60.551	-72.195
-58.892	-61.378
-57.125	-51.913
-55.245	-41.099
-52.263	-27.579
-48.285	-12.979
-43.754	4.0558
-38.009	20.549
-31.712	33.528
-26.518	42.451
-19.557	52.998
-12.817	61.107
-5.0825	70.572
1.7679	78.681
8.8395	86.522
17.016	94.093
25.303	100.58
32.154	105.99
41.544	112.75
47.069	116.54
53.919	121.13
60.218	124.65
68.064	127.35
75.357	128.44
80.99	128.44
85.41	126.54
85.631	120.32
86.185	113.02
85.743	103.29
82.758	81.385
79.002	62.73
76.462	50.56
73.589	37.313
70.825	26.228
67.18	13.249
61.656	-3.515
56.904	-14.871
53.698	-21.09
49.5	-27.85
45.743	-33.528
41.986	-37.854
37.015	-44.073
28.948	-53.265
24.198	-57.864
18.121	-64.082
12.265	-68.677
5.0825	-73.005
-7.1821	-82.737
-17.126	-89.227
-21.878	-91.66
-27.734	-97.34
-33.589	-103.02
-41.656	-111.13
-49.5	-117.89
-55.908	-122.21
-62.428	-125.73
-66.406	-126.27
-76.792	-126
-82.095	-124.38
-84.968	-123.03
-85.743	-120.32
-85.852	-113.56
-85.631	-100.04
-84.638	-84.903
-82.87	-68.948
-80.107	-51.913
-77.676	-36.232
-75.357	-22.172
-72.593	-8.9227
-69.058	5.1374
-63.866	22.712
-59.997	33.528
-55.687	43.533
-49.5	53.536
-45.192	58.674
-37.899	66.244
-29.723	72.734
-23.424	77.6
-18.01	81.118
-11.712	84.632
-6.5192	86.794
-0.77346	88.956
3.4252	90.85
9.0604	92.474
13.812	95.178
20.994	97.069
28.506	99.23
34.031	101.13
40.218	104.91
47.29	109.51
55.245	114.1
65.192	118.7
71.6	120.32
77.013	121.13
82.649	121.4
85.964	120.59
86.736	118.16
86.406	114.38
85.852	108.15
85.743	99.773
85.522	91.122
84.305	82.47
82.758	74.629
80.66	64.621
78.892	54.617
76.683	47.318
75.136	39.476
72.814	30.554
71.158	24.605
68.616	14.871
66.076	7.0301
62.982	-1.6223
58.671	-11.086
56.241	-17.305
51.379	-27.039
43.203	-39.206
39.004	-44.613
31.933	-52.727
27.071	-57.593
23.093	-61.107
18.342	-64.621
13.922	-68.41
-1.7679	-79.223
-13.812	-84.089
-21.436	-87.336
-23.424	-87.608
-27.513	-89.227
-30.495	-90.85
-34.031	-93.283
-37.236	-94.636
-40.881	-96.53
-48.174	-101.13
-54.031	-104.37
-59.113	-107.34
-63.203	-109.24
-66.959	-110.86
-72.814	-113.02
-78.892	-114.91
-83.642	-114.64
-86.073	-115.46
-85.852	-98.692
-85.301	-88.146
-84.526	-80.033
-83.2	-69.758
-81.432	-54.617
-79.223	-40.829
-77.234	-30.824
-75.024	-20.009
-72.484	-9.4636
-69.058	1.8927
-65.08	14.331
-61.656	25.146
-58.45	32.987
-54.14	41.64
-48.727	50.022
-42.649	56.512
-36.794	62.73
-30.607	68.139
-25.303	72.462
-20.662	75.438
-14.806	79.495
-11.27	81.928
2.2099	90.041
8.8395	92.203
14.585	94.907
20.773	95.988
25.966	97.34
32.375	99.23
36.794	100.85
44.859	104.37
52.263	106.8
59.004	109.51
65.522	111.67
72.372	113.29
79.776	113.83
87.953	114.64
95.133	113.29
101.87	112.48
109.5	111.13
115.58	109.24
123.09	104.64
129.17	98.964
129.5	93.555
129.39	85.17
128.72	72.462
126.96	60.835
125.3	50.294
123.09	39.747
120.88	31.906
118.34	21.902
114.8	11.086
110.82	0
