"Watson and Park 89, Specimen 6"	
490	
0	0
0	11.723
0	17.584
-0.069687	26.05
0.069687	43.634
0.069687	54.706
0.20906	65.452
0.69687	74.566
0.83624	83.685
1.115	93.128
1.4634	103.22
1.6725	114.95
2.23	128.95
2.5784	142.3
2.9268	158.26
3.2055	169.33
3.554	180.72
4.1811	196.03
4.5992	207.1
5.1567	215.89
5.6446	221.43
5.9931	212.31
5.9233	204.49
5.8537	197.33
5.8537	188.54
5.6446	177.79
5.5748	168.67
5.5052	159.88
5.2266	149.14
4.9477	140.02
4.0419	116.25
3.6934	108.43
3.3449	97.687
3.1359	86.291
2.9268	76.194
2.6482	65.123
2.439	55.031
2.1603	46.566
1.8815	33.865
1.6028	25.073
1.4634	17.584
1.1847	9.4431
0.55748	-11.071
0.069687	-28.329
0	-38.098
-0.76655	-59.915
-1.0453	-68.708
-1.3241	-76.523
-1.6028	-86.616
-1.9512	-97.687
-2.439	-116.25
-3.2055	-133.18
-3.4844	-141.32
-4.2509	-157.93
-4.5992	-164.77
-4.8781	-172.58
-5.4356	-183.33
-5.7841	-187.89
-5.8537	-176.49
-5.7142	-153.7
-5.5748	-144.9
-5.4356	-135.46
-5.2962	-127.32
-5.0175	-108.11
-4.3901	-90.526
-4.0419	-79.455
-3.6934	-70.012
-3.2055	-57.308
-2.7874	-47.54
-2.23	-29.958
-1.8815	-16.281
-1.6028	-7.8151
-0.90592	16.607
-0.69687	27.027
-0.41811	40.052
0.27874	59.915
0.62718	72.938
0.90592	84.663
1.115	98.341
1.5331	111.04
1.8118	123.09
2.1603	134.81
2.5087	145.56
3.2753	164.44
4.0419	175.18
4.669	186.58
5.0871	196.03
6.1323	215.24
6.3414	220.77
8.014	249.1
8.5016	256.59
9.129	265.06
9.9652	273.53
10.732	281.34
11.428	286.22
12.125	289.16
12.265	279.06
12.334	270.59
12.334	259.52
12.195	250.4
12.056	241.29
11.847	232.82
11.568	218.17
10.592	197.33
10.035	182.03
9.4772	167.7
9.129	157.6
7.8745	131.22
6.4112	102.9
5.8537	87.27
5.2962	75.22
4.1811	49.168
3.4844	34.842
2.8572	22.143
2.439	12.048
2.0209	0.65123
1.6725	-9.1175
0.76655	-38.098
0.27874	-61.218
0.27874	-70.986
0.13937	-82.381
-0.97561	-104.52
-2.0209	-126.99
-2.439	-140.02
-2.9268	-152.72
-3.4844	-165.74
-3.9721	-177.47
-4.5992	-189.84
-5.3658	-202.86
-5.6446	-208.4
-8.1534	-244.22
-9.2682	-255.29
-10.523	-265.71
-11.707	-271.57
-12.125	-264.73
-12.125	-254.31
-11.986	-244.22
-11.986	-235.75
-10.592	-192.77
-9.2682	-155.97
-8.92	-145.88
-8.0836	-127.97
-6.2022	-84.663
-5.5052	-69.358
-4.8085	-55.355
-4.0419	-37.121
-3.4145	-22.794
-2.8572	-7.8151
-2.23	4.5588
-1.8118	14.327
-1.0453	31.911
-0.20906	51.125
0.55748	72.289
1.115	88.898
1.8118	106.48
2.5784	118.53
3.3449	131.55
4.46	146.21
6.2718	171.93
7.1079	189.52
8.014	206.45
9.2682	229.24
9.8953	239.33
10.523	249.76
11.428	261.8
12.125	267.99
12.195	253.66
12.056	238.68
11.707	225.99
11.289	212.96
