Galeota 1996 Specimen CB1	
2891	
-11.99	-54.62208
-11.65	-52.29907
-11.46	-51.48288
-11.14	-49.72493
-10.94	-48.72038
-10.57	-46.96243
-10.38	-45.76954
-10.07	-43.82323
-9.88	-42.75591
-9.520001	-40.87238
-9.21	-38.80051
-9.05	-37.60762
-8.58	-34.40563
-8.41	-33.27552
-8.100001	-30.88973
-7.79	-28.75507
-7.63	-27.56218
-7.2	-24.54854
-7.01	-23.60678
-6.73	-21.15821
-6.33	-18.96077
-6.28	-17.89344
-5.78	-14.5031
-5.65	-13.24742
-5.32	-11.04998
-5.03	-9.10368
-4.96	-7.973568
-4.43	-4.520448
-4.29	-3.1392
-4.13	-1.444032
-3.78	-0.188352
-3.65	1.757952
-3.2	5.02272
-3.1	6.215616
-2.93	7.53408
-2.59	10.54771
-2.48	11.11277
-2.22	13.31021
-1.97	15.13094
-1.94	15.82157
-1.61	18.39571
-1.39	20.46758
-1.31	21.40934
-0.92	24.42298
-0.78	25.36474
-0.57	27.49939
-0.24	29.69683
-0.14	30.70138
0.24	34.09171
0.43	35.47296
0.71	37.85875
1.02	40.55846
1.14	41.75136
1.48	44.3255
1.67	45.76954
1.86	47.21357
2.21	49.91328
2.35	51.10617
2.55	52.73856
2.85	55.43827
3.02	56.88231
3.19	58.20077
3.59	60.64935
3.69	62.4073
4.25	66.23712
4.42	67.43002
4.74	70.00416
4.97	70.50643
5.31	73.26893
5.51	74.65018
5.85	77.09875
6.01	78.22887
6.21	79.61012
6.58	82.05869
6.73	82.24704
7.08	84.94675
7.27	86.45357
7.44	87.5209
7.89	91.16237
8.12	92.92032
8.51	94.176
8.770001	95.3689
8.850001	96.68736
9.26	99.26151
9.42	100.266
9.770001	102.024
10.01	103.0913
10.18	104.5981
10.52	106.7956
10.71	107.9257
11.08	109.3697
11.25	110.751
11.59	113.1368
11.73	114.518
12.1	116.6527
12.45	118.2851
12.67	119.478
12.99	122.0521
13.18	122.9939
13.79	125.6308
13.93	127.0748
14.29	129.2095
14.43	130.4024
14.78	132.537
15.01	132.9765
15.3	135.174
15.54	136.4924
15.86	138.5015
16.05	139.6944
16.36	141.0129
16.56	142.2058
16.93	144.0893
17.13	145.2822
17.47	147.2285
17.66	147.4168
17.97	149.7398
18.36	151.435
18.51	152.6279
18.93	153.3813
19.26	155.516
19.43	156.081
20.05	157.1483
20.19	158.0901
20.72	160.727
20.93	160.727
21.47	163.2384
21.65	164.0546
22.17	165.2475
22.37	166.0637
22.81	167.2566
23.52	168.9517
23.73	169.3912
24.27	171.0236
24.87	171.4003
25.06	171.5259
25.56	171.212
26.3	170.5841
27.03	169.454
27.71	169.9563
28.27	168.7634
28.57	168.7634
29.26	168.8262
29.79	167.7589
30.49	168.0728
31.02	167.2566
31.76	167.8216
32.29	166.6287
33.01	166.6915
33.31	165.687
33.58	165.687
34.24	166.1893
34.81	165.1847
35.55	164.3057
36.1	164.6196
36.84	163.8662
37.55	163.6151
38.31	164.1174
38.54	163.1128
38.84	163.2384
39.58	162.6106
40.09	162.9245
40.61	162.2966
41.27	162.8617
41.86	162.0455
42.54	161.4177
43.34	160.9154
43.69	160.5387
43.46	157.5251
43.08	152.314
42.95	149.0492
42.77	147.2285
42.63	145.5961
42.17	142.0174
41.97	140.2595
41.78	137.8737
41.36	134.6717
41.14	132.4115
40.89	130.5907
40.49	127.2632
40.26	125.0029
40.04	123.3078
39.61	119.5407
39.39	117.6572
39.18	116.1504
38.73	112.195
38.53	110.9393
38.32	108.7419
37.88	105.4771
37.64	103.2169
37.43	101.3962
37	97.88026
36.77	95.93395
36.54	94.74106
36.12	90.59731
35.9	88.83936
35.65	87.1442
35.35	85.38624
35.09	82.8121
34.81	80.11238
34.54	78.22887
34.35	77.03596
33.92	73.58285
33.7	71.51098
33.5	70.19251
33.03	66.7394
32.79	65.16979
32.59	63.78854
32.15	60.46099
31.93	58.70304
31.7	57.13344
31.27	54.24538
31.03	52.55021
30.82	50.91782
30.35	48.15533
30.15	46.52295
29.94	44.82778
29.46	42.3792
29.24	40.55846
28.8	37.60762
28.62	36.60307
28.4	34.90791
27.96	31.89427
27.76	30.70138
27.32	28.50394
27.15	27.31104
26.95	25.74144
26.67	23.23008
26.51	22.3511
26.02	20.27923
25.81	18.89798
25.63	17.6423
25.24	15.06816
25.05	14.1264
24.64	12.24288
24.52	12.05453
24.13	9.543168
23.87	7.973568
23.6	6.717888
23.26	5.148288
23.08	3.641472
22.71	2.323008
22.18	0.816192
22.05	0
21.63	-2.009088
21.41	-3.1392
21.03	-5.33664
20.84	-6.2784
20.24	-8.726976
20.01	-9.857088
19.54	-11.86618
19.33	-12.9335
18.9	-14.81702
18.67	-15.25651
18.18	-17.45395
17.96	-18.27014
17.66	-20.46758
17.44	-21.5977
16.8	-23.79514
16.62	-24.7369
16.12	-26.6832
15.92	-28.06445
15.47	-30.45024
15.22	-30.70138
14.57	-33.46387
14.3	-34.02893
13.88	-36.41472
13.59	-37.04256
13.18	-38.98886
12.92	-39.6167
12.21	-42.00249
12	-42.81869
11.48	-44.57664
11.29	-45.70675
10.53	-46.96243
10.33	-47.90419
9.8	-49.47379
9.34	-51.10617
9.08	-51.35731
8.36	-53.11526
8.05	-53.86867
7.6	-55.50106
7.07	-56.06611
6.86	-56.81952
6.3	-58.38912
5.57	-59.77037
5.34	-60.64935
4.83	-61.84224
4.34	-62.84678
4.08	-63.34906
3.31	-65.16979
3.08	-65.60928
2.54	-66.92774
2.1	-68.56013
1.81	-68.6857
1.13	-70.94592
0.83	-71.57376
0.59	-72.07603
-0.13	-74.08512
-0.34	-74.71296
-0.86	-76.34534
-1.06	-77.09875
-1.51	-78.41721
-2.02	-79.79846
-2.26	-80.0496
-2.96	-82.56096
-3.16	-83.1888
-3.62	-85.44902
-3.83	-85.63737
-4.53	-88.14874
-4.73	-88.77657
-5.18	-90.91123
-5.4	-91.28793
-6.03	-93.92487
-6.28	-94.92941
-6.86	-96.68736
-7.16	-97.6919
-7.6	-100.0149
-7.77	-100.58
-8.41	-103.1541
-8.649999	-103.782
-9.3	-106.2305
-9.520001	-106.9212
-9.97	-108.8047
-10.17	-109.5581
-10.59	-111.5672
-10.79	-112.3206
-11.44	-114.7691
-11.64	-115.2714
-12.29	-118.0339
-12.5	-118.8501
-13.15	-121.0476
-13.33	-121.9893
-13.79	-123.6217
-13.96	-124.3751
-14.61	-126.7609
-14.84	-126.9492
-15.51	-129.9629
-15.68	-130.7163
-16.38	-132.3487
-16.56	-132.9765
-16.99	-135.0484
-17.26	-135.4879
-17.67	-137.1203
-18.09	-138.4387
-18.32	-138.941
-18.96	-141.2012
-19.2	-141.264
-19.84	-143.4614
-20.05	-144.2148
-20.52	-145.5961
-21.22	-147.0401
-21.39	-147.7308
-21.91	-148.547
-22.3	-149.8026
-22.52	-150.556
-23.25	-151.6234
-23.49	-152.314
-23.9	-153.193
-24.4	-154.1347
-24.88	-155.4532
-25.19	-155.5788
-25.77	-156.7717
-26.49	-157.9018
-26.75	-158.5296
-26.99	-158.9063
-27.5	-159.2202
-28.19	-160.2248
-28.72	-160.2876
-29.66	-160.4759
-30	-161.2293
-30.5	-160.6015
-31.06	-161.2293
-31.6	-160.7898
-32.27	-160.7898
-33.02	-160.2248
-33.99	-159.8481
-34.64	-159.0947
-35.22	-159.4086
-35.88	-158.9063
-36.59	-158.3412
-36.61	-158.2157
-37.37	-158.2785
-37.98	-157.4623
-38.53	-156.8972
-39.4	-156.1438
-39.9	-156.2694
-40.3	-155.7043
-40.47	-155.6415
-41.12	-155.8299
-42.03	-155.0765
-42.92	-150.9327
-43.33	-148.9236
-43.95	-149.4259
-44.56	-148.9864
-45.36	-149.4259
-45.99	-148.4214
-46.31	-148.4214
-47.08	-147.9819
-47.62	-148.1075
-48.29	-147.2285
-48.94	-147.4168
-49.46	-146.5379
-49.95	-145.5961
-50.38	-145.5333
-51.09	-145.1566
-51.86	-144.9683
-52.52	-144.1521
-53.35	-143.2731
-54.01	-143.2731
-54.11	-142.4569
-54.56	-142.3941
-55.17	-141.6407
-55.72	-141.8918
-56.48	-140.8873
-57.03	-140.8245
-57.38	-139.6944
-57.53	-139.82
-58.29	-138.8782
-58.84	-138.8782
-59.34	-135.9274
-58.72	-130.9674
-58.17	-127.012
-57.88	-125.0657
-57.52	-123.4333
-56.88	-120.2314
-56.67	-118.3478
-56.54	-116.7155
-56.16	-115.3342
-55.91	-113.5763
-55.41	-110.3115
-55.16	-108.6163
-54.93	-107.0467
-54.61	-105.6027
-54.35	-104.0331
-54.03	-102.5891
-53.8	-100.8939
-53.22	-97.88026
-53.05	-96.05952
-52.69	-94.5527
-52.53	-93.17146
-52.28	-91.47629
-52.02	-89.90668
-51.73	-88.21152
-51.44	-86.76749
-51.28	-85.32346
-50.71	-82.3726
-50.44	-80.67744
-50.17	-79.10784
-49.94	-77.60102
-49.68	-76.03143
-49.4	-74.71296
-49.14	-73.14336
-48.64	-70.12973
-48.4	-68.56013
-48.11	-66.99052
-47.83	-65.60928
-47.56	-64.16525
-47.32	-62.59565
-47.01	-61.46553
-46.72	-60.0215
-46.5	-58.57747
-45.97	-55.68941
-45.71	-54.43373
-45.45	-53.05248
-45.06	-51.73402
-44.78	-50.54112
-44.53	-49.28544
-44.25	-47.90419
-43.96	-46.7113
-43.38	-44.38829
-43.08	-42.94426
-42.8	-41.75136
-42.5	-40.55846
-41.95	-38.0471
-41.58	-36.85421
-41.1	-34.28006
-40.76	-33.08717
-40.44	-31.64314
-40.26	-30.26189
-39.95	-28.94342
-39.69	-27.56218
-39.46	-26.11814
-38.91	-23.41843
-38.65	-22.16275
-38.35	-20.84429
-38.11	-19.58861
-37.83	-18.27014
-37.51	-17.01446
-37.25	-15.63322
-36.97	-14.1264
-36.7	-13.05907
-36.43	-11.67782
-36.18	-10.29658
-35.88	-8.915328
-35.6	-7.722432
-35.37	-6.466752
-35.06	-5.148288
-34.81	-3.76704
-34.27	-1.192896
-34.01	0
-33.56	1.5696
-33.39	2.448576
-32.99	4.206528
-32.72	5.524992
-32.47	6.969024
-32.19	8.099136
-31.85	10.10822
-31.47	11.3639
-30.96	13.12186
-30.87	13.81248
-30.26	16.00992
-30.12	16.63776
-29.58	18.89798
-29.37	20.21645
-28.87	22.03718
-28.55	22.53946
-28.02	24.61133
-27.71	25.17638
-27.11	26.93434
-26.82	28.00166
-26.46	28.94342
-25.84	31.07808
-25.49	31.7687
-24.85	33.52666
-24.51	34.5312
-24.18	35.47296
-23.5	37.10534
-23.19	38.10989
-22.43	39.99341
-22.08	40.68403
-21.36	42.44198
-20.98	43.5721
-20.65	44.01159
-19.86	45.58118
-19.5	46.33459
-19.11	47.52749
-18.34	48.53203
-17.95	49.72493
-17.57	50.47834
-16.81	51.54567
-16.44	52.67578
-16.07	53.30362
-15.26	54.49651
-14.88	55.43827
-14.45	56.25446
-13.68	57.32179
-13.31	58.0752
-12.95	59.07974
-12.15	60.08429
-11.75	60.8377
-11.36	61.77946
-10.62	62.84678
-10.22	63.41184
-9.82	64.16525
-9.05	65.73485
-8.67	66.23712
-8.26	67.1161
-7.52	68.30899
-7.11	69.18797
-6.73	70.19251
-5.98	71.51098
-5.6	72.13882
-5.19	72.89223
-4.42	74.33626
-4.03	75.46637
-3.68	76.15699
-2.91	77.66381
-2.54	78.22887
-2.15	79.10784
-1.46	80.99136
-1.06	81.68198
-0.33	83.37715
0.06	84.19334
0.43	85.07232
1.19	86.95584
1.55	88.02317
2.52	90.53453
3	91.41351
3.72	93.48537
4.08	94.5527
4.85	96.43623
5.2	97.3152
5.89	100.0149
6.24	101.5845
6.61	103.4053
7.03	104.1587
7.69	106.5444
8.08	107.4234
8.75	109.9976
9.109999	111.0021
9.8	113.3251
10.17	114.3924
10.88	116.276
11.22	117.6572
11.62	118.8501
11.96	119.4152
12.61	121.4243
13	122.1149
13.78	124.2495
14.07	125.1913
14.8	127.2632
15.15	128.0166
15.87	129.5862
16.26	130.7791
16.6	131.5953
17.38	133.416
17.75	134.295
18.44	135.6762
18.82	136.6808
19.16	137.3714
19.93	138.5015
20.35	139.6316
20.71	140.1339
21.48	141.264
21.83	142.2058
22.24	142.708
22.98	144.0893
23.78	145.031
24.18	145.2822
24.88	146.789
25.7	147.6052
