"Wight and Soze, 1973, Spec. WS147E"	
-50.267	-95.33
-49.934	-91.624
-49.466	-87.452
-48.933	-83.978
-48.067	-77.609
-46.866	-69.616
-46.266	-66.257
-45.601	-62.784
-44.534	-58.149
-43.266	-51.779
-42.2	-47.838
-41.267	-43.669
-39.934	-38.109
-38.4	-32.317
-36.934	-26.642
-35.867	-23.283
-34.468	-18.881
-33.332	-14.479
-32.334	-10.541
-31.399	-8.1083
-30.401	-6.1391
-29.467	-4.2858
-28.199	-1.7375
-26.733	0.81083
-25.667	2.6642
-24.133	4.4017
-21.667	6.2552
-19.533	7.8765
-17.667	9.3826
-14.8	12.626
-12.933	15.637
-11.667	18.417
-9.2667	21.893
-8	23.977
-7	25.367
-5.7333	27.453
-1.6667	33.36
0	36.603
2.0667	40.194
4.1999	43.553
6.6667	47.029
8.1999	49.924
10.267	53.976
12.2	57.455
13.8	60.35
15.8	63.709
18.467	67.645
20.2	70.425
21.933	72.974
23.867	76.101
26.8	80.157
29.334	84.556
31.534	88.497
33.599	92.087
35.799	96.259
37.932	99.27
40.201	102.4
42.266	105.06
43.934	107.38
45.268	109
47.132	111.2
48.999	113.4
50.135	114.21
50.599	111.43
50.533	108.19
50	102.98
49.667	98.808
49.4	93.479
48.801	87.804
47.8	80.389
45.535	70.772
44.534	66.257
43.401	60.697
42.134	54.675
40.932	49.115
39.266	41.932
36.065	29.769
35.067	25.136
33.8	19.692
32.4	14.711
30.866	9.6144
29.667	5.7917
28.334	1.7375
27	-2.085
25.867	-4.5174
24.533	-6.95
22.333	-9.73
20.2	-11.583
17.933	-13.089
13.933	-17.838
12.4	-20.039
9.9334	-23.398
7.8666	-26.294
5.9334	-29.074
3.7333	-32.665
1.4	-36.256
-1.0667	-40.194
-3.4666	-44.133
-5.6667	-48.416
-6.7333	-50.04
-9.6667	-55.947
-13.467	-62.085
-15.333	-65.328
-17.467	-69.153
-19.733	-72.974
-21.8	-76.216
-24.2	-79.695
-26.332	-82.822
-28.6	-85.717
-30.401	-88.15
-33	-91.162
-35.199	-93.826
-37.201	-95.912
-39.4	-98.456
-41.6	-100.31
-43.266	-101.7
-44.933	-103.09
-47.201	-104.95
-48.732	-106.45
-50.066	-107.61
-50.267	-101.82
-49.868	-95.792
-49.466	-90.815
-49.068	-85.717
-48.334	-79.348
-47.267	-73.436
-46.2	-66.836
-45.133	-60.813
-43.866	-55.137
-42.733	-49.809
-41.399	-45.058
-40.066	-40.773
-38.466	-34.171
-36.2	-26.642
-34.666	-21.197
-33.332	-15.869
-32.068	-11.699
-30.734	-7.8765
