Tanaka 90 Specimen 3	
38.001	15.115
35.799	5.6071
33.899	-0.97518
31.699	-7.5576
28.001	-17.309
25.1	-24.135
22.4	-29.499
19.7	-35.106
17	-40.713
10.7	-52.415
3.4999	-66.555
-0.7	-75.821
-3.3	-80.94
-7	-89.472
-11	-97.273
-15.8	-106.54
-19.4	-112.63
-23.5	-119.94
-27.399	-125.8
-32.499	-132.87
-37.099	-138.48
-40	-141.16
-42.2	-142.86
-46.2	-144.57
-48.6	-144.57
-52.299	-143.83
-54.199	-143.59
-54.9	-143.35
-55.999	-143.35
-56.7	-141.16
-57	-137.26
-57.201	-130.67
-57.201	-121.9
-57	-114.34
-56.101	-104.1
-55.199	-93.617
-54.099	-84.841
-53.2	-76.795
-52.1	-69.238
-50.899	-60.462
-49.4	-51.686
-47.201	-40.225
-45.7	-31.693
-43.701	-22.917
-41.699	-12.19
-40	-4.8759
-38.801	2.9255
-37.399	9.508
-34.999	19.259
-32.601	27.061
-29.799	34.862
-26.7	41.932
-23.5	48.514
-20.7	54.363
-16.2	61.68
-12.2	68.019
-7	74.602
-3	80.206
0.1	84.841
5.1999	91.18
9	96.784
13	102.15
16.5	106.54
20.3	111.17
24.4	115.8
28.801	120.43
32.499	124.09
35.301	127.02
38.699	130.67
43.099	134.33
47	137.99
50.399	139.2
51.999	138.23
53	137.26
54.399	135.06
55.601	131.89
55.199	123.6
55.1	117.51
54.3	110.44
53.5	104.83
52.1	93.372
50.701	83.863
49.5	76.55
48.499	69.722
47.3	62.165
46.401	55.827
42.799	34.618
40.201	23.404
38.4	14.383
35.7	3.6569
33.899	-1.7066
31.1	-9.9955
28.999	-15.603
27	-21.454
24.6	-27.548
21.1	-35.35
18.3	-41.445
7.1001	-61.191
0.7	-71.186
-2	-74.602
-5.7	-79.232
-11	-86.06
-14.4	-90.935
-19.4	-97.029
-24.2	-104.1
-28.9	-108.98
-34.6	-115.56
-38.4	-119.94
-42.4	-123.85
-46.799	-127.26
-53.099	-130.67
-55.7	-131.4
-57.201	-130.92
-57.399	-125.06
-57.399	-118
-57.399	-109.46
-57.099	-99.222
-56.599	-91.664
-56.101	-85.326
-55.199	-78.013
-54.199	-69.722
-53.401	-63.629
-51.801	-54.853
-50.899	-49.244
-49.2	-40.957
-47.6	-32.912
-45.799	-24.623
-43.8	-15.603
-41.399	-4.8759
-39.799	1.219
-36.8	11.702
-34.501	19.016
-31.6	25.354
-29.101	31.693
-25.799	39.738
-23.9	44.126
-21.2	49.733
-19.4	53.145
-16	59.243
-13.2	64.118
-10.7	68.748
-7.3	74.357
-4.3	78.743
1.7	86.06
4.3	88.982
8.1999	92.883
13.6	97.518
17.5	100.93
21.6	104.1
25.1	106.54
28.999	109.46
32.901	111.17
35.799	112.63
38.801	114.34
41.6	115.07
44.501	115.8
47.6	114.83
52.901	111.66
56.401	110.19
60.701	106.29
63.401	104.34
67.399	101.66
69.901	99.222
73	96.539
73.701	94.836
74.099	91.909
74.3	87.034
74.399	82.404
74.099	75.576
73.5	69.482
72.299	60.946
71.498	53.389
70.099	44.858
68.6	35.838
66.899	25.842
64.699	13.652
62.601	3.6569
60.201	-5.3634
57.6	-16.334
55.301	-22.917
51.999	-32.424
49.101	-40.713
45.199	-48.759
41.199	-56.316
37.201	-62.41
32.601	-67.53
27.699	-71.675
23.7	-74.357
18.7	-77.284
12.8	-80.451
6.4	-82.404
-1.1	-85.081
-5.5999	-84.841
-10.4	-87.763
-14.2	-89.716
-17.8	-90.935
-20.6	-91.909
-22.1	-92.398
-24	-93.372
-27.201	-95.08
-30.201	-97.273
-34.699	-99.466
-38.6	-101.9
-42.601	-102.88
-50	-101.66
-53.701	-100.93
-56.2	-99.955
-58.801	-98.492
-63.299	-95.81
-67.201	-93.617
-69.901	-91.909
-71.498	-90.201
-73.5	-87.763
-74.699	-86.06
-75.9	-83.133
-76.098	-81.18
-76.401	-79.477
-76.599	-75.821
-76.599	-72.894
-76.7	-68.993
-76.599	-63.144
-76.299	-58.509
-75.9	-54.363
-75.199	-49.488
-74.6	-44.613
-73.701	-38.763
-72.901	-33.156
-72.1	-28.28
-71.001	-21.697
-68.999	-9.9955
-66.799	0.73138
-64.3	12.433
-61.498	23.648
-58.4	34.618
-55.499	43.395
-52.499	51.196
-48.9	58.509
-45.1	62.655
-41.501	67.045
-37.8	69.238
-33.401	71.675
-28.801	73.138
-24.7	74.113
-21.2	74.113
-16.8	74.357
-13.2	74.842
-9.1001	75.087
-4.5999	75.087
-0.1	75.087
4	74.602
10.6	73.623
14.4	73.383
18.7	72.405
22.2	71.43
26.2	70.946
29.901	70.212
32.799	69.482
36.8	68.993
39.901	68.748
41.999	68.504
45.499	67.045
47.699	65.826
50.399	64.603
