"Aboutaha, Engelhardt, Jirsa and Kreger, Test SC9"	
1.895782848	176.3305962
2.179271232	220.4164144
2.176235424	206.5354074
1.986003648	157.614791
1.76229264	121.5770061
1.517123712	88.51969248
1.129076736	51.08852704
0.36722304	0.550155328
-0.69689472	-51.1915872
-1.21029984	-93.881712
-1.62190176	-138.9595232
-1.9927824	-183.7193024
-2.2573488	-224.5310368
-2.24844864	-189.4229728
-2.07300576	-156.09144
-1.67054784	-107.6754048
-1.3996416	-79.3919072
-1.0753344	-48.9738144
-0.38855904	0.301583296
-0.3816096	-1.06071456
0.52809648	37.97081459
1.092939648	82.5622192
1.572780192	130.0275389
1.908389376	170.7114378
2.1966936	218.2180794
2.58628896	263.7624413
2.594262528	238.0964582
2.30221536	179.3920211
2.181356064	163.3592051
1.705258464	98.04619648
1.34002272	62.22049216
0.887321568	28.49937238
0.090574368	-8.4974592
-0.23323296	-22.400128
-0.72261984	-54.0227392
-1.24394976	-96.3321152
-1.66103808	-140.205408
-2.02521312	-182.8546112
-2.27185728	-223.3056128
-2.71930368	-270.5175744
-2.8035504	-259.0897728
-2.74173696	-217.645088
-2.34013248	-159.7872832
-1.94962272	-113.7166784
-1.30905504	-53.8310304
-0.6364224	-5.30428448
0.492361728	38.90038877
1.294473408	100.1165626
1.617280992	134.7389939
1.951963584	171.8093376
2.277721632	215.7456586
2.681130528	263.6324707
2.67663168	238.9407331
2.197071552	158.0585235
1.90335408	116.3604806
1.419319488	66.99461952
0.721412832	17.77346074
0.15556992	-5.55550752
-0.8083296	-54.4021536
-1.34428992	-96.7555648
-1.81014624	-141.875632
-2.17358976	-179.9398368
-2.5469088	-229.496784
-2.87462976	-270.0732192
-2.92388544	-263.3562944
-2.88657792	-232.26344
-2.65870944	-191.3253824
-2.21809056	-133.8901376
-1.69615104	-85.8766464
-1.18847616	-42.91101248
-0.545592	-0.59607648
-0.52072032	-2.24414944
0.349191072	31.14462022
0.895697472	65.60097216
1.284134592	93.58952288
1.68139872	134.8012214
2.046890496	175.4026544
2.369966304	217.4348755
2.700247584	259.3031434
2.885834208	281.5042678
3.242925696	315.5345814
3.15480192	243.0392093
3.062898624	234.3137901
2.501993472	159.2001027
1.92292224	93.7998688
1.333999872	44.7517728
0.579997824	3.546683968
-0.64690752	-47.9601152
