"""Thompson and Wallace, 1994, A3"""							
4.6355	61.69889681						
5.08508	63.78911068						
4.7752	56.94731888						
4.3688	49.77991811						
4.03098	43.45367385						
3.6322	37.26354481						
3.22072	31.26335434						
2.79146	27.10961585						
2.45364	23.36288856						
2.04724	17.93251379						
1.6002	13.34418518						
1.2573	8.64732024						
1.24968	8.837258807						
1.2573	9.624591977						
1.2573	9.054776276						
0.77978	2.131137411						
-0.27178	-12.23124304						
-1.36652	-25.39883428						
-2.4892	-37.39921522						
-3.27914	-43.26373528						
-3.69062	-46.14172715						
-3.92176	-46.9561944						
-4.17322	-48.99258494						
-4.3942	-48.04200246						
-4.13512	-43.61647833						
-3.91922	-38.51260218						
-3.6957	-35.49893991						
-3.50012	-31.94215119						
-3.2639	-26.8649643						
-2.7686	-17.98678196						
-1.9558	-7.58864626						
-1.13792	2.61999569						
-0.23876	12.55685201						
0.66294	24.12308765						
1.55448	33.51681753						
2.2987	40.95600393						
3.11658	48.66653115						
4.09702	55.99718123						
5.11048	63.59917212						
6.11124	68.75776125						
6.95198	71.03835852						
7.31266	68.67635901						
7.05612	64.44077345						
6.78688	61.48137934						
6.54558	56.7845144						
6.29666	53.44524315						
5.92582	46.98332848						
5.461	40.65752904						
4.99618	36.66615021						
4.50342	33.59821977						
4.0132	29.22696381						
3.52806	25.58921767						
3.0607	21.43503435						
2.58064	16.05937256						
2.11074	11.90518924						
1.63068	7.887121151						
1.35636	3.950455301						
1.3716	5.036263362						
1.36144	5.389451236						
0.74676	-3.651535589						
-0.39878	-15.869434						
-1.51638	-27.19101809						
-2.6797	-37.5620197						
-3.82524	-46.57587245						
-3.95224	-40.63039496						
-3.39852	-31.29048842						
-3.09118	-25.18176163						
-2.70764	-18.06862902						
-2.01422	-9.923511689						
-1.08458	0.556471071						
-0.20066	10.3305229						
0.94488	23.60709529						
2.08788	36.25913899						
3.34518	46.98332848						
4.51866	53.93365661						
5.6896	61.50851342						
6.89356	67.18309491						
6.97484	61.88883537						
6.38048	52.57606292						
5.89788	45.49006439						
5.3975	39.48987392						
4.9403	35.98735336						
4.45262	32.29489424						
3.77698	25.64348583						
2.77876	17.74257523						
1.74244	7.751450746						
1.41986	5.850730613						
1.40716	5.823596532						
1.40462	6.203918487						
0.3683	-7.751450746						
-1.2065	-24.15022173						
-2.7686	-38.05087798						
-4.09194	-47.8520639						
-5.35432	-54.50391713						
-6.3246	-56.89305072						
-6.09854	-49.20965759						
-5.8547	-45.86994152						
-5.75564	-44.02393437						
-5.6515	-41.68906894						
-5.58292	-40.87460169						
-5.52704	-39.81548289						
-5.47116	-37.75240309						
-5.19684	-33.29974488						
-4.31038	-22.87403028						
-3.13436	-11.87805516						
-1.86436	-0.692141476						
-0.71628	9.516055653						
0.5461	23.44429081						
1.95326	37.48061746						
3.4036	47.79779573						
4.75996	56.13285163						
5.97916	62.78470487						
7.15772	67.18309491						
8.22706	71.47294864						
9.2837	73.1561513						
9.92632	69.08337023						
9.525	62.5947663						
9.3853	59.87957892						
9.271	57.19197043						
9.1313	55.23698214						
8.78078	50.9742625						
8.2677	44.34954334						
7.7216	38.67540667						
7.04088	34.11421213						
6.3246	30.34035077						
5.67182	26.81069613						
4.96316	23.03683477						
3.8989	17.00951022						
2.67716	9.651726058						
1.59004	2.022601087						
1.54178	2.755666095						
0.74422	-5.823596532						
-0.84836	-21.86962447						
-2.4511	-34.27701662						
-3.90906	-42.74774292						
-5.0038	-48.36805626						
-5.68198	-51.87013199						
-5.9436	-52.65790998						
-6.08838	-52.54892884						
-6.20522	-53.25485976						
-6.33476	-54.44964897						
-6.39826	-52.49466067						
-6.26618	-50.15979524						
-6.13918	-48.50372666						
-5.97408	-45.43579622						
-5.72262	-40.35860933						
-5.36194	-36.36767532						
-4.93522	-28.79281851						
-3.94462	-18.6655788						
-2.7178	-7.642914422						
-1.47828	1.615589872						
-0.3048	14.26718875						
0.92964	26.64789165						
2.01676	35.68887847						
3.02768	41.7433371						
4.06146	48.20525177						
5.10286	53.0649212						
6.15696	57.21910451						
7.34568	62.05163986						
8.56996	65.06530213						
9.31164	67.04742451						
9.79424	67.31876532						
10.0838	67.26449716						
9.85774	62.92037527						
9.6774	60.17805381						
9.43356	56.02431531						
9.21512	54.04219293						
9.0424	50.89286025						
8.8392	48.50372666						
8.63346	45.65286887						
8.42264	43.37227161						
8.19912	40.73893129						
7.83844	37.26354481						
7.14502	33.00082517						
6.4897	29.22696381						
5.78866	25.26316387						
5.11556	22.16809936						
4.43992	19.26297341						
3.73888	14.9459856						
3.03022	11.55244619						
1.9685	4.71065439						
1.58496	1.534187629						
1.59004	2.837068338						
1.5875	2.972738743						
1.53162	1.018195269						
1.4986	1.724126196						
1.51384	2.10400333						
1.52908	2.402923042						
1.5113	1.751260277						
1.47574	1.04532935						
1.42748	0.991061188						
1.39192	0.52933699						
1.40462	0.230862099						
1.47066	-0.77398854						
1.53416	-0.52933699						
1.52908	0.366532504						
1.55956	-0.339398423						
1.55702	-0.420800666						
1.55702	0.502202909						
1.54178	0.230862099						
1.36144	13.61597081						
0.42418	-7.126922062						
-0.95504	-21.46216843						
-2.14884	-32.3491624						
-3.19024	-40.25007301						
-4.15036	-44.48565857						
-4.98348	-49.64380288						
-5.60578	-52.52179475						
-6.07314	-54.47678305						
-6.37032	-53.98792477						
-5.91566	-44.94693795						
-5.59308	-40.16867076						
-5.28574	-35.03721571						
-4.99872	-30.77449606						
-4.70662	-27.19101809						
-4.14782	-19.23583932						
-3.19278	-11.71525068						
-2.286	-4.520715823						
-1.37922	3.244524374						
-0.28194	14.43043806						
0.98552	27.48949298						
2.2352	38.05087798						
3.62204	46.33166572						
4.60756	51.59879118						
5.35432	53.74371804						
6.10362	57.49044532						
6.80974	59.0108435						
7.5438	61.50851342						
8.10768	63.70770844						
8.69188	64.46790753						
9.25068	66.63996847						
9.8171	67.02029043						
9.9187	63.73484252						
9.36752	56.3227902						
8.87984	49.80705219						
8.16356	40.41287749						
7.25678	34.00567581						
6.28904	27.5980293						
5.33146	23.06396885						
4.3561	18.12289718						
3.03022	10.62944262						
1.78816	2.402923042						
1.51638	0.828256702						
1.53416	1.724126196						
1.51384	1.968332925						
0.82804	-5.76932837						
-0.78232	-20.1588429						
-2.3876	-33.43541529						
-3.55092	-40.65752904						
-4.60756	-47.49932084						
-5.59562	-51.46312077						
-6.51764	-54.36824673						
-7.32028	-56.70311215						
-7.85622	-58.19637625						
-8.46328	-57.76178613						
-8.70966	-57.02872113						
-8.5598	-52.52179475						
-8.4328	-50.75718985						
-8.26262	-46.60300653						
-8.13816	-45.02834019						
-7.95782	-43.12806488						
-7.79272	-39.48987392						
-7.63016	-37.39921522						
-7.43204	-34.7658749						
-6.97992	-27.0006347						
-6.40842	-22.52084241						
-5.5499	-16.73816941						
-4.14782	-8.91866105						
-2.49682	1.04532935						
-0.95758	12.77392466						
0.62992	26.45795308						
2.19456	39.6526784						
3.99796	48.8836038						
5.60832	54.63958754						
7.16026	59.25505023						
8.68426	64.11516448						
10.27176	66.7485048						
11.82878	68.94769982						
11.62558	57.51757941						
10.76452	45.40866214						
10.34796	41.28161291						
9.92886	38.18654839						
9.56056	35.90595112						
9.13384	33.65248793						
8.73252	30.5845575						
8.3185	29.19982972						
7.38886	24.01410651						
6.01218	18.96449851						
4.6736	14.02298203						
3.302	9.000063293						
2.02692	1.859796601						
1.6383	-1.018195269						
1.23444	-4.004723463						
-0.37084	-17.66117298						
-1.99644	-30.17754628						
-3.63982	-38.89247931						
-5.24256	-44.59419489						
-6.36016	-48.55799482						
-7.3152	-50.91999433						
-8.30834	-51.78872975						
-8.8646	-49.75278403						
-8.34136	-40.16867076						
-7.8105	-33.43541529						
-7.31012	-26.75642797						
-6.83768	-20.45776261						
-6.11632	-15.48911204						
-5.12318	-9.869243527						
-4.12242	-4.058991625						
-3.03276	1.696992115						
-1.46558	10.60230854						
0.12954	22.73835988						
1.61544	34.63020449						
2.8448	42.58493844						
4.22148	47.28180337						
5.6134	52.33185619						
7.13994	56.89305072						
8.5979	61.21003853						
9.65454	63.1921609						
10.86866	65.30950886						
12.0777	66.47716399						
11.8364	56.05144939						
10.81532	43.45367385						
9.78154	34.22274846						
8.64108	29.11842748						
7.4676	23.8784361						
6.25856	18.44850615						
4.9149	13.99584794						
3.08356	7.289726548						
1.75514	0.393666585						
1.64338	-0.312264342						
1.60274	0.502202909						
1.6383	0.475068828						
0.37338	-10.05918209						
-1.62814	-24.23162398						
-3.60934	-34.27701662						
-5.32638	-41.11880842						
-6.89356	-45.43579622						
-8.41502	-49.34532799						
-9.97966	-51.32745037						
-10.96772	-47.25466929						
-10.46226	-39.78834881						
-10.07618	-32.89228885						
-9.78154	-29.71582208						
-9.49452	-25.5073706						
-8.83666	-19.67042944						
-7.5057	-12.4211816						
-5.06984	-2.239673735						
-2.6289	7.968523394						
-0.16002	23.63422937						
2.31394	40.60281606						
4.98602	51.73446158						
7.4041	56.97445296						
9.16686	61.15577036						
10.58926	63.7619766						
11.96594	64.76682724						
13.51534	65.74409898						
15.08506	64.68498018						
13.70584	47.28180337						
11.98626	33.02795925						
9.36752	22.11383119						
6.47192	12.61112017						
3.6068	5.308048993						
1.84404	-2.918470581						
1.78308	-2.837068338						
-0.42418	-17.0366443						
-2.9845	-32.07782159						
-5.70484	-40.35860933						
-8.50138	-46.52160429						
-11.16584	-50.62151944						
-8.93826	-19.88750209						
-6.34238	-6.828447171						
-3.69062	4.384600597						
-1.07442	17.55263666						
1.51638	34.19561438						
4.21386	47.17326705						
6.96976	53.71658396						
9.652	58.71236861						
11.82878	62.1330421						
13.78204	63.59917212						
14.97838	59.74390851						
13.30452	39.40847167						
10.62228	24.06837467						
7.79272	15.51624612						
4.9403	8.294577187						
2.27584	-2.239673735						
1.80594	-3.271658455						
1.80848	-3.353060698						
-0.3302	-17.33556401						
-3.80492	-34.46695519						
-7.50316	-43.56221017						
-10.56132	-48.53086074						
-13.5763	-50.32259973						
-15.88516	-42.82914516						
-13.29944	-15.81516583						
-10.5791	-4.683520309						
-7.72414	3.597267427						
-4.91236	9.70599422						
-1.57988	20.94617607						
1.79578	40.22293893						
5.4229	51.59879118						
9.12622	57.19197043						
12.93368	62.26871251						
16.88338	62.89324119						
20.23872	60.01524932						
18.7833	39.43560576						
16.9926	27.65229747						
14.46276	17.14518062						
11.40968	11.17212424						
8.128	4.493136921						
4.45516	-1.072463431						
2.02438	-8.810124726						
1.89992	-7.34399471						
1.93294	-6.692331945						
-1.016	-23.68849753						
-4.46786	-36.09588969						
-8.12038	-40.87460169						
-11.85418	-45.21872358						
-15.86992	-46.820524						
-13.3858	-14.5118403						
-9.74598	-0.77398854						
-6.08584	8.810124726						
-2.39522	18.36710391						
1.17602	34.98294755						
4.9403	48.34092218						
8.88746	54.8295261						
12.8397	57.51757941						
16.95196	57.87032246						
19.88566	49.56240064						
16.3068	21.81491148						
12.34186	11.60671435						
8.4328	3.380194779						
4.6101	-1.370938322						
2.05994	-9.651726058						
1.93802	-8.91866105						
1.92024	-7.642914422						
-1.80086	-26.51222124						
-6.44906	-37.75240309						
-11.04646	-43.07379671						
-15.80642	-45.86994152						
-20.45208	-43.77972764						
-17.96288	-8.37597943						
-13.52804	5.443719398						
-8.77062	13.75164122						
-3.99034	19.39864381						
0.55626	36.66615021						
5.34924	50.34973381						
10.34034	54.34111264						
15.43304	57.32764084						
20.70608	55.78010858						
25.5905	49.69851587						
21.06168	14.89171744						
16.00962	3.760071913						
11.03122	-1.208133836						
6.05536	-6.013535099						
2.22758	-13.4527215						
2.08788	-13.39845334						
2.10058	-12.47544977						
2.05486	-12.20410896						
2.24282	-7.262592467						
2.49936	-4.113259787						
2.6162	-2.61999569						
2.7051	-4.086125706						
2.81178	-4.19466203						
2.96418	-4.113259787						
3.07848	-4.303198354						
3.15722	-3.651535589						
0.46736	-19.37150973						
-3.86588	-33.95140765						
-8.39978	-40.14153668						
-11.62304	-40.5485479						
-15.5702	-42.23219538						
-19.35734	-41.03740618						
-19.89328	-20.67483526						
-16.66748	-0.176593937						
-12.9667	8.701588402						
-9.25322	14.67464479						
-5.55244	19.64329536						
-1.97866	27.62516338						
1.55702	40.68466312						
5.24256	48.34092218						
9.03478	51.19177996						
12.91336	53.93365661						
16.9418	52.92925079						
20.99056	52.46752659						
25.10536	50.37686789						
22.71268	20.45776261						
18.9865	6.774179009						
15.15618	-0.393666585						
11.18108	-3.13598805						
6.41604	-8.484515754						
2.38506	-15.35344164						
2.02184	-14.56610847						
2.00406	-13.96871386						
-1.47066	-25.86055848						
-6.9215	-36.42194348						
-12.50442	-37.8880735						
-18.27276	-39.78834881						
-23.87092	-37.53488562						
-23.71598	-6.339588892						
-18.68932	12.09557263						
-13.04798	19.48004605						
-7.45998	22.76549396						
-2.02692	32.45814355						
3.38582	45.51719847						
9.11352	49.9427226						
14.97838	50.32259973						
21.0312	49.26392575						
27.1272	46.30453164						
29.19222	22.68409172						
23.82774	-0.203728018						
17.95272	-9.380385248						
11.9761	-14.18578651						
6.24078	-18.15003126						
2.41554	-24.53009887						
2.28346	-23.7427657						
-0.78994	-31.96928527						
-6.30428	-36.04162153						
-11.92276	-37.99660982						
-17.78	-36.91080176						
-23.37562	-36.61188205						
-24.15794	-10.14058434						
-19.1643	10.52046147						
-13.59408	19.26297341						
-7.91464	24.25875806						
-2.36982	29.77009025						
3.11912	37.99660982						
8.8519	43.86112988						
14.68374	45.68000295						
20.74926	43.1009308						
26.88082	40.82033353						
29.92882	21.95102671						
24.638	-3.651535589						
18.77568	-15.51624612						
12.78382	-20.89190791						
7.10946	-26.94636654						
2.79146	-32.45814355						
2.60096	-32.02355343						
2.61112	-31.69794446						
2.6416	-31.29048842						
0.09906	-36.80182061						
-6.41096	-38.0237439						
-13.081	-38.10514614						
-19.92376	-34.19561438						
-26.6319	-29.77009025						
-29.7434	-9.000063293						
-23.66772	23.00970069						
-17.30502	32.05068751						
-10.54608	36.20487083						
-3.9878	40.5485479						
2.53746	42.2050613						
9.30656	42.36786579						
16.26616	39.21853311						
23.52548	32.24062608						
30.7086	24.17735581						
36.53282	12.99144213						
30.39872	-20.40349445						
23.56104	-31.42615883						
16.49222	-34.84727714						
9.63168	-38.32221879						
3.58394	-38.56687034						
3.05816	-36.93793584						
3.03784	-36.8289547						
3.01752	-36.5304798						
2.97434	-37.75240309						
