"Sugano 1996, No.UC20H"	
944	
-0.654885462	-6
-0.317115052	29.5
-0.317115052	28
-0.01134	61
0.375840087	100.75
0.812430883	144.25
1.215002952	181.75
1.615551941	217.25
2.020558579	252.25
2.445819083	285.5
2.837467604	312.75
3.071162682	327.25
3.248966452	337.25
3.462818348	349.5
3.658445598	357.25
3.89052693	367.75
4.056994912	371
3.924144465	349.5
3.685582405	323
3.251396578	276.5
2.850833138	233.75
2.443389012	189.25
2.01812853	143.5
1.617576967	100
1.21054792	56.25
0.915706264	25.5
0.625320402	-3.5
0.3936601	-27
-0.01134	-69.25
-0.411885115	-109.5
-0.823365919	-149.25
-1.24416317	-187.5
-1.644712324	-222.5
-2.027443718	-255.75
-2.43447875	-288.75
-2.839492685	-317.25
-3.053341856	-331.25
-3.253421684	-344.25
-3.458363085	-356.25
-3.653990304	-366
-3.845163579	-374.5
-4.043223797	-380.5
-3.813976321	-346.75
-3.55718909	-317.75
-3.262737172	-287
-2.837467604	-241.5
-2.447844143	-200.75
-2.01812853	-153.75
-1.653622443	-114.75
-1.201637856	-67.25
-0.796635832	-26
-0.562545293	-3.75
-0.238545022	25.75
-0.047385	45.5
0.398115104	88.5
0.789750811	126.25
1.170047637	160.5
1.61312191	199.5
2.040808991	234.5
2.38709239	260.25
2.866628776	296.5
3.233170632	321
3.631713845	345
4.065905638	366.25
4.302041055	374.25
4.592454427	377.5
4.70951193	378.5
4.869100007	380.25
5.11901579	386.25
5.256329037	387
5.537439474	390
5.724173709	390.75
5.931163422	391.75
6.059571212	391.5
5.983012507	369.5
5.719717989	344.5
5.346251516	312.5
4.907579547	275.5
4.362796686	229.25
3.903892933	185.75
3.334426024	134.75
2.711102801	79
2.184587162	33.25
1.948467177	16
1.734623591	-2.75
1.485140392	-22.75
1.095932167	-56.5
0.535410253	-103.5
0.164430007	-134
-0.166455008	-159.75
-0.584820329	-192.25
-0.9695715	-219.75
-1.498505539	-257.75
-2.040808991	-293.75
-2.382637265	-315.75
-2.835037508	-341.75
-3.24451122	-363.5
-3.638194267	-376.75
-4.038768438	-390.5
-4.338089377	-399.5
-4.551950246	-403.5
-4.839936613	-406
-5.040030727	-407.5
-5.242557164	-408.75
