"Tanaka 90, Specimen 7"	
620	
0	0
0.58651	53.847
0.82111	80.771
1.4076	112.74
1.5249	137.99
1.6422	163.22
1.7595	182.58
1.8768	216.23
2.2287	241.47
3.0498	270.92
3.5189	297
4.4574	325.61
4.8092	338.23
5.2786	352.53
5.6304	339.91
5.7478	320.56
5.8651	308.78
5.8651	294.48
5.7478	280.18
5.5131	268.4
5.3957	259.14
5.2786	240.63
4.8092	219.6
4.3401	201.09
4.1057	166.59
3.6363	143.03
3.0498	118.63
2.698	93.39
2.2287	57.215
1.9941	36.179
1.8768	20.193
1.6422	4.2068
1.6422	-39.544
0.58651	-77.404
-0.1173	-106.01
-0.70381	-134.62
-1.5249	-155.65
-2.5806	-181.74
-3.5189	-210.34
-4.8092	-238.11
-5.6304	-263.35
-6.4516	-286.9
-7.0381	-302.89
-7.9764	-324.77
-9.1496	-350.01
-9.5014	-337.39
-9.1496	-312.99
-9.1496	-296.16
-9.1496	-282.7
-8.9149	-265.03
-8.2111	-244
-7.3899	-220.44
-6.5689	-203.61
-5.8651	-182.58
-5.1613	-164.91
-4.4574	-144.72
-3.871	-127.89
-3.1671	-106.01
-2.4633	-85.82
-1.8768	-70.674
-1.0557	-43.751
-0.70381	-26.924
-0.1173	-10.938
0	2.5241
0	33.654
0.82111	79.931
1.4076	110.22
1.6422	133.78
1.8768	150.6
2.1114	172.48
2.1114	193.51
2.346	221.28
2.698	242.31
3.2845	273.45
3.871	299.52
4.5748	322.24
5.1613	349.17
5.8651	369.36
6.4516	392.08
8.0937	429.09
9.5014	462.77
10.792	491.37
12.434	519.13
14.076	543.5
15.249	558.67
16.539	571.3
17.947	576.33
19.003	574.64
20.058	566.23
20.528	552.8
20.293	535.94
19.472	511.56
19.237	491.37
16.305	398.81
14.897	358.42
13.02	308.78
12.082	281.86
10.323	235.58
9.0322	197.72
7.6246	152.29
6.3343	95.917
5.8651	74.041
4.3401	31.131
3.2845	3.3654
2.2287	-31.131
0.82111	-63.944
0	-95.076
-0.46921	-119.47
-1.5249	-158.18
-2.5806	-191.83
-3.7536	-220.44
-5.9825	-275.97
-7.8593	-323.08
-8.9149	-354.22
-9.8532	-383.66
-11.261	-421.52
-12.903	-451.83
-14.545	-481.27
-16.657	-514.9
-18.064	-538.47
-20.41	-561.2
-21.114	-544.35
-20.762	-498.93
-20.058	-469.49
-19.237	-439.19
-17.947	-399.65
-17.009	-364.31
-15.601	-327.29
-13.49	-280.18
-11.73	-238.95
-9.7361	-185.94
-7.7419	-142.19
-5.8651	-96.757
-3.9883	-56.37
-2.1114	-18.51
-0.82111	15.145
0.70381	68.993
1.8768	127.05
3.5189	180.89
5.0439	230.54
6.4516	276.81
7.6246	306.26
9.384	345.8
10.792	381.14
13.02	428.25
14.663	473.67
16.891	513.21
18.768	541.86
19.941	551.95
18.651	475.36
17.83	448.45
17.126	420.68
15.953	384.5
13.372	316.36
9.7361	220.44
5.0439	86.66
3.0498	31.972
1.9941	-9.255
0.70381	-63.104
0	-104.33
-0.82111	-137.14
-1.8768	-169.11
-3.9883	-219.6
-5.2786	-249.04
-7.1554	-282.7
-9.0322	-319.72
-10.44	-346.64
-12.434	-387.03
-13.724	-413.11
-14.78	-440.88
-15.836	-466.95
-17.243	-489.68
-18.534	-514.06
-20.058	-534.25
-20.88	-544.35
-20.88	-511.56
-20.176	-473.67
-18.885	-429.09
-17.126	-372.72
-14.897	-316.36
-12.903	-265.03
-10.792	-219.6
-9.1496	-175.85
-7.6246	-132.94
-4.5748	-63.944
-1.7595	-4.2068
1.6422	109.38
4.2228	192.67
6.2169	253.25
8.5628	313.83
10.44	362.63
12.903	406.38
15.718	462.77
17.595	502.31
20.058	536.78
21.818	564.54
23.343	580.55
25.806	585.58
28.387	588.11
32.258	581.4
35.895	573.79
38.943	567.92
39.883	561.2
40.587	550.26
40.82	515.75
38.826	448.45
37.889	416.48
36.246	374.41
34.018	329.81
31.788	291.95
29.794	259.98
26.863	217.07
21.583	145.56
17.947	99.279
15.249	66.466
12.669	36.179
9.5014	0
5.5131	-45.432
1.4076	-109.38
-0.9384	-147.24
-3.4018	-197.72
-5.0439	-239.79
-6.9207	-279.33
-9.2667	-320.56
-11.496	-370.2
-13.49	-414.79
-15.249	-451.83
-16.539	-477.05
-18.064	-509.87
-20.058	-540.17
-22.756	-574.64
-25.573	-599.9
-27.683	-614.18
-29.794	-616.72
-31.554	-616.72
-34.018	-612.53
-36.129	-610.84
-38.006	-601.59
-40	-594.83
-41.524	-583.04
-42.228	-572.15
-42.111	-543.5
-41.524	-517.44
-40.587	-492.22
-38.357	-436.67
-36.363	-384.5
-35.072	-359.26
-32.258	-306.26
-29.794	-273.45
-26.98	-234.74
-24.281	-198.56
-22.053	-168.27
-19.355	-132.09
-15.601	-94.231
-12.434	-61.418
-9.8532	-34.496
-7.1554	-6.7307
-5.7478	12.62
-4.3401	36.179
-3.0498	60.577
-1.2903	91.709
0.2346	131.25
6.686	242.31
10.674	301.21
13.49	336.54
16.07	372.72
18.416	398.81
21.349	427.41
24.281	454.32
27.567	478.74
30.615	498.93
34.018	515.75
37.186	530.07
40.587	541.01
40.937	537.63
40.35	501.47
39.766	470.33
38.826	434.14
36.716	387.03
34.955	350.01
33.078	314.67
30.968	276.81
27.447	228.01
19.589	118.63
12.903	40.386
9.9705	8.4138
6.686	-29.448
3.4018	-72.356
-3.2845	-165.75
-5.3957	-190.15
-7.1554	-219.6
-8.4458	-254.93
-9.5014	-274.29
-12.082	-305.42
-14.545	-339.91
-17.947	-375.25
-20.997	-408.9
-25.102	-450.14
-28.857	-487.99
-31.085	-510.72
-32.962	-527.53
-34.486	-537.63
-36.949	-554.44
-39.53	-565.39
-40.234	-565.39
-40.937	-556.98
-41.29	-535.09
-40.937	-504.8
-37.653	-419
-34.252	-350.01
-31.085	-293.63
-27.683	-243.15
-24.633	-201.09
-21.466	-160.7
-17.009	-109.38
-11.496	-52.166
-9.1496	-23.558
-6.9207	0
-5.2786	27.765
-2.8153	63.104
-1.173	98.439
3.4018	172.48
9.2667	271.76
13.372	323.08
17.595	368.52
20.88	400.49
23.578	426.57
26.157	446.76
28.857	467.8
32.609	490.53
37.186	512.41
41.641	528.38
46.098	537.63
52.786	544.35
57.948	545.19
60.528	543.5
61.115	537.63
61.465	526.69
61.582	514.9
61.699	498.09
60.996	477.05
58.415	407.22
55.601	353.37
52.083	297
47.859	238.95
45.865	217.07
43.637	191.83
41.057	162.38
