"Tanaka 90, Specimen 7"	
37.066	125.36
34.486	99.279
31.318	74.041
26.51	38.703
22.17	10.097
18.651	-10.938
14.545	-38.703
11.026	-65.626
7.3899	-94.231
3.871	-123.68
0.1173	-160.7
-4.9266	-233.9
-8.6802	-277.65
-11.378	-309.62
-15.014	-346.64
-19.472	-392.92
-23.812	-434.14
-28.034	-469.49
-31.788	-495.55
-31.788	-495.55
-35.659	-513.21
-39.06	-530.91
-42.697	-545.19
-46.568	-554.44
-51.377	-562.05
-56.304	-566.23
-59.941	-567.08
-61.699	-567.08
-62.286	-556.98
-62.405	-523.31
-61.582	-481.27
-60.528	-449.29
-59.238	-423.2
-57.125	-382.82
-54.193	-334.02
-51.26	-287.75
-48.092	-248.2
-44.691	-204.45
-41.057	-164.06
-37.77	-132.94
-34.605	-105.17
-29.444	-63.944
-24.751	-28.606
-20.88	0
-16.774	28.606
-10.557	70.674
-4.8092	116.95
-2.1114	143.03
-0.46921	163.22
2.5806	202.77
6.9207	248.2
8.6802	262.51
12.786	308.78
16.657	337.39
21.231	369.36
24.868	392.92
28.153	417.32
33.315	445.91
38.357	469.49
43.167	486.3
47.155	497.24
52.786	505.65
56.421	510.72
60.996	512.41
60.879	488.84
59.941	456.01
57.594	397.97
55.248	342.43
52.55	296.16
49.736	254.93
47.272	222.96
44.928	191.83
42.464	160.7
38.123	117.79
34.252	79.09
30.734	51.321
26.98	26.082
23.226	-1.6827
19.589	-26.924
16.539	-49.64
12.903	-76.563
5.8651	-122
0.35189	-165.75
-6.3343	-241.47
-10.909	-283.54
-15.836	-327.29
-22.756	-367.68
-24.985	-381.98
-27.33	-399.65
-32.141	-428.25
-35.309	-446.76
-39.18	-464.42
-43.401	-484.61
-47.038	-500.62
-50.439	-514.06
-54.077	-523.31
-58.064	-534.25
-60.292	-535.94
-61.465	-530.07
-62.052	-516.59
-61.819	-493.06
-60.058	-444.24
-58.181	-405.54
-55.131	-350.01
-52.786	-307.94
-50.439	-280.18
-47.272	-235.58
-44.574	-201.93
-41.29	-168.27
-37.066	-127.89
-33.548	-95.917
-29.091	-63.944
-24.281	-26.924
-18.534	17.669
-12.903	51.321
-8.0937	89.187
-3.871	124.52
-0.58651	160.7
2.698	202.77
6.0996	233.06
12.199	291.11
17.361	323.08
21.349	348.32
26.627	378.61
31.438	403.86
35.542	424.89
39.18	441.72
43.637	461.08
47.742	476.2
54.427	493.86
59.825	498.09
65.22	503.96
71.084	507.34
77.419	504.8
81.054	505.65
82.344	495.55
82.814	482.96
82.814	448.45
81.407	405.54
78.593	342.43
75.189	281.86
73.431	259.14
67.8	191.83
64.986	159.02
62.405	133.78
58.534	100.12
54.897	72.356
48.679	34.496
41.877	-3.3654
27.917	-69.834
19.472	-106.85
15.132	-125.36
10.909	-148.08
4.9266	-179.21
0.82111	-206.13
-2.9324	-233.06
-6.0996	-257.46
-12.903	-307.1
-16.07	-330.66
-20.176	-350.85
-24.398	-372.72
-28.387	-395.44
-32.492	-419.84
-36.246	-439.19
-41.641	-464.42
-45.395	-479.58
-50.206	-495.55
-54.31	-509.03
-59.119	-518.28
-64.516	-525.84
-69.911	-528.38
-74.839	-529.22
-79.883	-527.53
-80.82	-527.53
-81.994	-525.84
-82.814	-509.87
-82.697	-472.87
-81.524	-430.78
-79.53	-392.92
-76.949	-347.48
-73.312	-297
-69.911	-249.04
-66.744	-213.71
-62.989	-175
-59.588	-144.72
-55.834	-115.27
-52.2	-90.028
-47.859	-62.263
-43.401	-37.02
-38.826	-12.62
-33.665	13.462
-29.207	36.179
-25.806	56.37
-21.231	79.931
-16.187	106.01
-10.44	137.99
-5.2786	167.43
-1.0557	195.2
6.686	244
14.194	291.11
19.941	320.56
25.337	345.8
29.444	365.15
33.899	382.82
39.413	403.02
45.982	427.41
51.73	440.03
60.645	460.23
66.157	470.33
70.147	474.51
75.425	478.74
79.53	480.43
82.464	482.96
82.931	464.42
82.58	436.67
81.173	397.12
79.53	358.42
78.123	330.66
76.479	304.57
73.548	262.51
70.264	220.44
67.33	169.11
64.516	140.51
60.292	97.598
56.187	64.785
51.963	36.179
47.859	10.097
43.167	-17.669
36.599	-50.48
31.201	-75.723
20.528	-124.52
15.718	-145.56
11.965	-163.22
5.8651	-194.36
3.9883	-205.29
1.6422	-212.02
-0.9384	-222.12
-7.0381	-263.35
-12.317	-291.95
-17.243	-312.99
-22.756	-337.39
-28.387	-364.31
-34.955	-393.76
-40.703	-415.63
-45.982	-434.98
-52.433	-456.85
-57.244	-469.49
-62.522	-481.27
-67.683	-489.68
-70.498	-494.71
-74.135	-498.09
-77.653	-502.31
-80.82	-507.34
-82.111	-497.24
-82.697	-476.2
-82.697	-455.16
-81.994	-424.89
-80.587	-381.14
-78.826	-347.48
-75.072	-294.48
-72.375	-257.46
-70.028	-228.01
-67.683	-197.72
-65.22	-170.8
-62.405	-148.08
-59.355	-120.31
-56.657	-100.97
-52.55	-73.201
-48.796	-48.799
-44.808	-28.606
-42.228	-14.303
-39.18	0
