"Wehbe et al. 1998,Specimen B1"	
3445	
0	0
0	0
0	0
0.2794	-2.69467
0.2794	-2.69467
0.2794	-2.69467
0.2794	-2.69467
0.1397	-3.67455
0.2794	-3.42958
0.2794	-3.67455
0.1397	-4.65443
0.2794	-4.8994
0.2794	-4.8994
0.1397	-4.65443
0.9779	9.06389
0.9779	12.73844
1.2573	16.41299
1.6764	23.51712
2.095499898	30.62125
2.374900076	36.50053
2.9337	46.5443
3.4925	53.8934
3.7719	60.50759
4.190999746	65.89693
4.3307	70.30639
4.749800254	77.16555
5.4483	86.47441
5.7277	87.20932
6.007099746	92.10872
6.565900254	97.74303
7.124699746	104.11225
7.543799746	108.76668
7.962899746	113.17614
8.381999492	116.85069
8.5217	116.85069
8.9408	121.99506
9.359899746	126.15955
9.499600254	126.40452
9.6393	129.58913
9.778999746	129.58913
9.778999746	121.26015
9.6393	121.01518
9.778999746	121.01518
9.778999746	121.01518
9.778999746	121.01518
10.19809975	129.34416
10.19809975	130.81398
10.47749975	132.77374
10.7569	136.44829
11.03630025	140.12284
11.73480025	147.47194
12.573	156.04589
12.85239949	157.51571
13.27149949	160.70032
13.55090051	163.63996
13.83029975	166.33463
14.38910025	171.479
14.52880076	172.45888
14.66849975	173.9287
15.08759949	178.09319
15.6464	183.23756
16.06549975	186.1772
16.48459975	189.60678
16.90369975	195.73103
17.18310051	195.976
17.4625	198.18073
17.4625	197.93576
18.02130025	202.59019
18.02130025	201.85528
18.02130025	201.12037
18.30069975	195.73103
18.30069975	195.73103
18.30069975	195.48606
18.30069975	195.48606
17.60220051	182.99259
17.0434	173.19379
16.48459975	165.10978
15.6464	153.35122
14.8082	140.12284
14.38910025	133.50865
13.69059924	124.9347
12.85239949	115.38087
11.8745	103.37734
10.61719949	88.1892
9.778999746	78.14543
9.080499746	68.5916
8.381999492	61.97741
7.683500254	52.91352
6.845299746	43.60466
6.426199746	38.95023
5.867400254	30.37628
4.6101	17.1479
3.7719	6.12425
3.2131	-2.93964
2.2352	-12.2485
1.397	-24.25203
0.6985	-30.62125
0	-38.95023
-0.6985	-45.56442
-1.816100076	-58.30286
-2.9337	-68.34663
-3.632200254	-76.43064
-4.4704	-84.02471
-5.7277	-96.27321
-6.426199746	-101.66255
-6.7056	-104.84716
-7.264400254	-109.50159
-7.8232	-114.89093
-8.5217	-121.99506
-9.080499746	-125.17967
-9.220200254	-125.91458
-9.359899746	-127.87434
-9.6393	-130.81398
-9.778999746	-131.30392
-9.918700254	-133.26368
-10.0584	-134.24356
-10.19809975	-134.24356
-10.33780025	-135.46841
-10.47749975	-136.93823
-10.61719949	-137.91811
-10.7569	-130.32404
-10.89659975	-130.32404
-10.7569	-130.07907
-10.7569	-130.32404
-11.03630025	-132.2838
-11.176	-134.97847
-11.31569975	-138.16308
-11.73480025	-142.0826
-11.8745	-143.30745
-12.01419975	-145.02224
-12.15390025	-146.00212
-12.2936	-147.71691
-12.43329975	-150.41158
-12.9921	-155.06601
-13.27149949	-158.74056
-13.55090051	-162.17014
-13.83029975	-164.37487
-14.24939975	-168.04942
-14.52880076	-171.23403
-15.08759949	-175.39852
-15.50669949	-179.56301
-16.06549975	-184.46241
-16.62430025	-188.87187
-16.90369975	-191.0766
-18.16099924	-202.10025
-18.58009924	-204.30498
-18.85950025	-207.48959
-19.13889949	-209.20438
-19.41830051	-210.6742
-19.6977	-200.14049
-19.55799949	-199.89552
-19.55799949	-199.89552
-19.41830051	-197.44582
-19.13889949	-192.54642
-18.58009924	-184.46241
-18.16099924	-178.8281
-17.4625	-171.72397
-17.0434	-165.59972
-16.48459975	-157.51571
-15.6464	-147.47194
-14.94790051	-138.89799
-14.38910025	-133.50865
-14.10969924	-128.85422
-13.27149949	-120.0353
-12.2936	-108.52171
-11.73480025	-102.15249
-11.176	-95.5383
-9.080499746	-73.491
-7.8232	-59.77268
-6.565900254	-46.05436
-4.749800254	-26.21179
-2.9337	-4.16449
-1.6764	9.30886
-0.6985	19.35263
0.2794	31.35616
0.9779	38.21532
1.397	42.37981
2.2352	51.68867
3.2131	61.97741
4.4704	74.96082
5.867400254	87.94423
6.845299746	96.51818
7.683500254	106.31698
9.359899746	120.52524
10.47749975	131.05895
11.73480025	142.0826
12.9921	152.61631
13.55090051	156.53583
13.83029975	158.98553
14.38910025	163.63996
15.08759949	170.00918
15.78610051	176.86834
16.62430025	185.68726
17.74189949	196.71091
18.58009924	204.30498
18.85950025	207.48959
19.41830051	212.63396
19.83740051	216.06354
20.1168	218.0233
20.39619924	219.98306
20.53589975	221.45288
20.67560025	222.18779
20.81529924	222.67773
21.09470025	216.55348
21.09470025	216.55348
20.95499975	216.55348
21.09470025	216.55348
21.37409949	220.71797
21.37409949	222.43276
21.65350051	225.3724
21.9329	228.55701
22.352	231.98659
22.352	232.96647
