"""Mo and Wang, 2000 Test C1-2"""	
674	
1.2452	-4.275
1.6884	6.35
2.45	24.535
3.3468	47.61
3.4896	54.2
4.106	64.575
4.472	69.58
2.6388	51.395
1.2212	33.325
0.4108	11.595
-1.2452	4.275
-1.6884	-6.35
-2.45	-24.535
-3.3468	-47.61
-3.4896	-54.2
-4.106	-64.575
-4.472	-69.58
-2.6388	-51.395
-1.2212	-33.325
-0.4108	-11.595
0.8224	10.985
1.788	21.36
2.838	31.865
3.1836	48.585
3.8608	59.935
4.242	67.75
4.2084	71.29
2.682	53.1
1.3168	33.69
0.2272	13.43
-0.8224	-10.985
-1.788	-21.36
-2.838	-31.865
-3.1836	-48.585
-3.8608	-59.935
-4.242	-67.75
-4.2084	-71.29
-2.682	-53.1
-1.3168	-33.69
-0.2272	-13.43
-1.1444	-11.595
1.1408	24.78
1.1684	46.385
2.2352	54.44
3.4388	71.045
5.4496	108.28
7.8484	137.82
6.5236	115.475
4.2928	74.22
2.1776	35.645
1.1444	11.595
-1.1408	-24.78
-1.1684	-46.385
-2.2352	-54.44
-3.4388	-71.045
-5.4496	-108.28
-7.8484	-137.82
-6.5236	-115.475
-4.2928	-74.22
-2.1776	-35.645
-0.522	-0.61
0.7212	23.075
1.2328	46.02
2.2196	53.1
3.5548	67.505
5.5736	102.905
7.7604	136.84
6.4276	115.36
4.564	74.585
2.6364	36.62
0.522	0.61
-0.7212	-23.075
-1.2328	-46.02
-2.2196	-53.1
-3.5548	-67.505
-5.5736	-102.905
-7.7604	-136.84
-6.4276	-115.36
-4.564	-74.585
-2.6364	-36.62
-0.1552	29.05
-1.0164	-7.935
0.6008	24.905
1.1108	44.435
3.3548	69.58
6.284	116.085
9.2168	163.695
12.426	203.37
10.7656	168.58
7.812	114.87
4.5556	64.575
1.0164	7.935
-0.6008	-24.905
-1.1108	-44.435
-3.3548	-69.58
-6.284	-116.085
-9.2168	-163.695
-12.426	-203.37
-10.7656	-168.58
-7.812	-114.87
-4.5556	-64.575
-1.4868	-16.845
0.214	23.19
1.4028	49.805
3.2992	65.305
6.3516	110.35
9.3528	154.42
12.358	199.465
10.9732	166.87
7.8324	114.505
4.48	65.43
1.4868	16.845
-0.214	-23.19
-1.4028	-49.805
-3.2992	-65.305
-6.3516	-110.35
-9.3528	-154.42
-12.358	-199.465
-10.9732	-166.87
-7.8324	-114.505
-4.48	-65.43
-0.5024	12.45
-2.186	-10.985
-1.0436	35.035
0.9524	50.785
5.182	97.17
9.1648	153.08
13.4628	210.45
17.8572	244.385
15.6704	196.78
11.2328	133.665
6.9464	76.175
2.186	10.985
1.0436	-35.035
-0.9524	-50.785
-5.182	-97.17
-9.1648	-153.08
-13.4628	-210.45
-17.8572	-244.385
-15.6704	-196.78
-11.2328	-133.665
-6.9464	-76.175
-3.5724	-18.675
-2.7576	30.275
0.8128	46.02
4.9548	90.085
9.2448	139.89
13.4788	190.185
17.9612	237.67
15.8624	193.235
11.1448	131.595
7.1344	76.175
3.5724	18.675
2.7576	-30.275
-0.8128	-46.02
-4.9548	-90.085
-9.2448	-139.89
-13.4788	-190.185
-17.9612	-237.67
-15.8624	-193.235
-11.1448	-131.595
-7.1344	-76.175
-1.8048	-0.24
-0.50161	-37.9728
-5.98842	-80.6868
-10.81809	-140.5404
-16.2637	-202.5
-22.10174	-249.4368
-19.46082	-197.7588
-13.58364	-128.142
-8.0752	-63.5472
-4.65766	0
-4.28686	48.2544
-0.09064	-35.5968
-6.03992	-74.6172
-10.90049	-129.4596
-16.76737	-185.6196
-22.12234	-241.7904
-19.70802	-193.7952
-13.34674	-125.7768
-8.78487	-63.5472
-4.64736	-0.2592
-5.284	-0.24
-1.968	49.07
1.8035	69.34
8.603	131.35
15.183	190.43
21.9175	245.61
28.8875	266.6
24.9215	208.74
18.122	138.43
11.6465	75.93
5.284	10.5
1.968	-40.04
-1.8035	-45.17
-8.603	-99.85
-15.183	-155.76
-21.9175	-217.29
-28.8875	-254.88
-24.9215	-195.8
-18.122	-123.54
-11.6465	-59.08
-6.262	1.22
-3.9825	47.36
2.2075	74.22
8.663	127.2
15.4125	177
22.072	221.92
29.027	258.3
24.9365	203.12
18.147	135.01
11.4225	74.22
6.262	10.99
3.9825	-38.57
-2.2075	-47.12
-8.663	-94.97
-15.4125	-145.02
-22.072	-196.53
-29.027	-245.36
-24.9365	-191.41
-18.147	-121.09
-11.4225	-59.57
-3.099	0
-8.4495	0
-2.998	45.65
3.315	80.32
11.2715	141.85
19.2535	197.02
27.4005	245.61
35.9065	267.58
31.1575	200.93
23.046	124.51
14.85	55.91
8.4495	-4.88
2.998	-38.09
-3.315	-69.82
-11.2715	-116.21
-19.2535	-172.12
-27.4005	-229.49
-35.9065	-261.47
-31.1575	-193.85
-23.046	-114.26
-14.85	-45.65
-10.703	16.11
-4.312	46.63
3.6195	86.43
11.551	137.21
19.3485	184.57
27.55	225.83
35.9315	257.32
31.0725	194.34
22.7165	119.14
14.8555	53.22
10.703	-6.1
4.312	-31.74
-3.6195	-68.36
-11.551	-110.6
-19.3485	-158.94
-27.55	-208.74
-35.9315	-252.69
-31.0725	-189.21
-22.7165	-111.82
-14.8555	-44.92
-4.802	15.62
-12.1515	15.62
-3.8985	48.83
4.0035	93.02
13.282	151.12
22.9105	202.39
32.464	244.63
42.248	265.14
36.4955	190.67
27.1925	105.96
17.7195	31.25
12.1515	-27.1
3.8985	-46.63
-4.0035	-84.47
-13.282	-127.93
-22.9105	-181.4
-32.464	-233.64
-42.248	-260.25
-36.4955	-184.57
-27.1925	-99.12
-17.7195	-24.66
-13.8805	35.16
-5.171	60.3
4.3925	96.92
14.1555	145.26
23.3245	190.92
32.6085	229.25
42.0335	256.59
36.965	184.57
27.197	103.27
17.6395	29.05
13.8805	-29.05
5.171	-48.58
-4.3925	-84.23
-14.1555	-122.31
-23.3245	-169.19
-32.6085	-214.6
-42.0335	-252.93
-36.965	-180.66
-27.197	-96.44
-17.6395	-23.93
-6.73	34.18
-15.1675	34.18
-4.552	57.37
5.5345	101.07
16.2655	154.54
26.8965	202.88
37.862	241.21
48.7485	261.72
42.937	180.66
31.7675	91.55
24.792	12.7
15.1675	-26.61
4.552	-62.99
-5.5345	-96.44
-16.2655	-136.47
-26.8965	-186.28
-37.862	-232.18
