Bayrak_&_Sheikh_02_RS-12HT	
26	
0	0
4.187543281	104.826434
11.28355534	163.003527
13.40991486	172.2944125
16.24913438	173.9094115
23.52030633	173.9094115
29.19874537	169.4728049
31.68357163	164.6185261
30.08676525	153.7126415
31.68357163	152.905142
31.32917838	144.4217561
35.58597092	143.205866
43.39076948	137.5533692
46.93877551	132.2999814
45.34196912	120.1782068
44.09955599	114.924819
48.18118864	108.8639317
46.93877551	99.98143679
43.56592937	81.79877483
41.61472972	72.09949879
46.58438226	64.02450343
53.32600106	51.49433822
57.22840034	42.20345276
60.77640637	32.91256729
63.08199927	21.59829218
59.17959998	1.401522183
