Galeota 1996 Specimen BA1	
1693	
0.01	1.14777
0.09	2.317612
0.15	3.597817
0.2	4.701443
0.24	5.82714
0.29	7.08527
0.35	8.233045
0.39	9.53532
0.44	10.72723
0.53	12.00744
0.57	13.13314
0.6	14.39127
0.68	15.60526
0.71	16.73096
0.78	17.96701
0.82	19.24722
0.9	20.68193
0.97	22.20494
1.02	23.63965
1.08	24.83156
1.13	25.97933
1.18	27.19332
1.24	28.31902
1.32	29.73166
1.36	31.12222
1.42	32.51279
1.49	33.81507
1.57	35.27185
1.61	36.37548
1.68	37.89848
1.75	39.00211
1.79	40.14988
1.88	41.82739
1.93	42.97516
2	44.145
2.05	45.35899
2.11	46.50676
2.18	47.72075
2.24	48.91266
2.29	50.1046
2.39	51.2744
2.44	52.53255
2.5	53.7686
2.58	55.09295
2.65	56.329
2.74	57.58715
2.81	58.88945
2.87	60.1034
2.98	61.36155
3.04	62.5093
3.1	63.76745
3.2	64.9373
3.27	66.19545
3.34	67.4315
3.42	68.5572
3.52	69.7491
3.59	71.00725
3.69	72.155
3.75	73.30275
3.83	74.4947
3.94	75.6866
4.01	76.79025
4.1	77.9159
4.17	79.08575
4.26	80.29975
4.34	81.42545
4.49	83.10295
4.57	84.22865
4.68	85.90615
4.79	87.03185
4.9	88.64315
4.98	89.813
5.11	91.4022
5.24	92.9473
5.32	94.05095
5.45	95.70635
5.59	97.31765
5.73	98.9069
5.85	100.5403
5.99	102.0412
6.13	103.5641
6.25	104.9326
6.38	106.2791
6.52	107.5152
6.65	108.6408
6.8	109.8327
6.94	110.9585
7.13	112.3711
7.31	113.7396
7.51	115.1081
7.7	116.4103
7.91	117.7788
8.09	119.0591
8.29	120.2289
8.48	121.3546
8.68	122.5686
8.89	123.7384
9.13	125.0848
9.4	126.343
9.65	127.6452
9.9	128.8593
10.14	129.9629
10.45	131.2872
10.75	132.5453
11.06	133.7814
11.32	134.8851
11.7	136.0108
12.22	136.1653
12.35	134.8188
12.26	133.6931
12.15	132.4129
12.03	131.0444
11.92	129.8084
11.81	128.6165
11.69	127.2479
11.6	126.0781
11.46	124.842
11.34	123.5839
11.23	122.3478
11.1	121.1339
11	119.8757
10.86	118.6397
10.73	117.4477
10.6	116.1675
10.51	114.9536
10.37	113.7617
10.27	112.5477
10.09	111.0468
9.93	109.303
9.79	107.9345
9.65	106.566
9.51	105.1534
9.36	103.807
9.25	102.3723
9.11	101.0038
8.97	99.63525
8.81	98.26675
8.69	96.9424
8.56	95.5739
8.41	94.2275
8.28	92.7928
8.14	91.4243
7.99	90.122
7.87	88.7094
7.72	87.4071
7.57	85.99445
7.46	84.55975
7.31	83.2354
7.18	81.889
7.05	80.47635
6.93	79.10785
6.77	77.6952
6.65	76.2605
6.51	74.9582
6.38	73.4352
6.24	71.95635
6.08	70.3009
5.95	68.6896
5.78	67.1004
5.62	65.4229
5.48	63.70125
5.33	62.0237
5.19	60.32415
5.07	58.64665
4.9	56.925
4.78	55.26955
4.64	53.56995
4.51	51.9145
4.37	50.19285
4.26	48.51535
4.13	46.92614
4	45.29277
3.9	43.68148
3.77	42.07019
3.64	40.43682
3.55	38.78138
3.4	37.12595
3.28	35.40429
3.2	33.793
3.07	32.15963
2.97	30.96772
2.87	29.51093
2.79	28.14244
2.67	26.50908
2.59	25.38338
2.47	23.79416
2.41	22.49187
2.31	20.92473
2.2	19.37966
2.11	18.18774
2.05	16.84132
1.96	15.71562
1.88	14.41334
1.76	13.13314
1.66	11.61014
1.57	10.50651
1.5	9.336665
1.42	8.10061
1.35	6.79833
1.28	5.429835
1.15	3.641963
1.05	2.163105
0.95	0.2869425
0.85	-1.368495
0.76	-3.17844
0.64	-4.900095
0.56	-6.665895
0.44	-8.166825
0.38	-9.35874
0.28	-10.72723
0.18	-12.58132
0.08	-13.94982
0	-15.62733
-0.15	-16.92961
-0.21	-18.51883
-0.32	-20.15219
-0.39	-21.6752
-0.5	-23.46307
-0.63	-25.00814
-0.73	-26.79601
-0.85	-28.47352
-0.93	-30.17311
-1.03	-31.91684
